epoch	batch	iter	loss	acc	lr
1	1	1	10477087744.0	0.125	0.001
1	2	2	5231758336.0	0.125	0.001
1	3	3	2614092288.0	0.0	0.001
1	4	4	1306562048.0	0.0	0.001
1	5	5	652587584.0	0.125	0.001
1	6	6	326202496.0	0.125	0.001
1	7	7	163014768.0	0.0	0.001
1	8	8	81466512.0	0.0	0.001
1	9	9	40715120.0	0.125	0.001
1	10	10	20346934.0	0.0	0.001
1	11	11	10174077.0	0.125	0.001
1	12	12	5083407.5	0.0	0.001
1	13	13	2541264.5	0.0	0.001
1	14	14	1270179.875	0.0	0.001
1	15	15	635025.25	0.0	0.001
2	1	16	10401742848.0	0.0	0.001
2	2	17	5198667776.0	0.0	0.001
2	3	18	2599059200.0	0.0	0.001
2	4	19	1298474880.0	0.0	0.001
2	5	20	648950144.0	0.0	0.001
2	6	21	324358624.0	0.125	0.001
2	7	22	162136288.0	0.125	0.001
2	8	23	81021744.0	0.0	0.001
2	9	24	40512496.0	0.0	0.001
2	10	25	20245348.0	0.0	0.001
2	11	26	10115701.0	0.125	0.001
2	12	27	5056942.0	0.125	0.001
2	13	28	2527867.75	0.0	0.001
2	14	29	1264059.875	0.0	0.001
2	15	30	631763.4375	0.3333333333333333	0.001
3	1	31	10350245888.0	0.0	0.001
3	2	32	5174151168.0	0.125	0.001
3	3	33	2585433088.0	0.0	0.001
3	4	34	1292532992.0	0.0	0.001
3	5	35	645818112.0	0.0	0.001
3	6	36	322763520.0	0.0	0.001
3	7	37	161427088.0	0.125	0.001
3	8	38	80649344.0	0.25	0.001
3	9	39	40305216.0	0.0	0.001
3	10	40	20144142.0	0.25	0.001
3	11	41	10073570.0	0.25	0.001
3	12	42	5036066.0	0.375	0.001
3	13	43	2516859.75	0.125	0.001
3	14	44	1258376.875	0.125	0.001
3	15	45	628909.4375	0.0	0.001
4	1	46	10303494144.0	0.0	0.001
4	2	47	5150247424.0	0.125	0.001
4	3	48	2573638656.0	0.125	0.001
4	4	49	1286430208.0	0.125	0.001
4	5	50	642897088.0	0.25	0.001
4	6	51	321471712.0	0.25	0.001
4	7	52	160630672.0	0.0	0.001
4	8	53	80275656.0	0.0	0.001
4	9	54	40143064.0	0.25	0.001
4	10	55	20058996.0	0.125	0.001
4	11	56	10024889.0	0.125	0.001
4	12	57	5013257.0	0.0	0.001
4	13	58	2505921.0	0.125	0.001
4	14	59	1252544.375	0.25	0.001
4	15	60	626326.75	0.0	0.001
5	1	61	10257305600.0	0.375	0.001
5	2	62	5127824384.0	0.125	0.001
5	3	63	2562449920.0	0.0	0.001
5	4	64	1281088128.0	0.0	0.001
5	5	65	640174656.0	0.0	0.001
5	6	66	319909376.0	0.125	0.001
5	7	67	159908912.0	0.125	0.001
5	8	68	79938432.0	0.25	0.001
5	9	69	39954280.0	0.25	0.001
5	10	70	19974838.0	0.125	0.001
5	11	71	9979965.0	0.125	0.001
5	12	72	4990464.0	0.0	0.001
5	13	73	2495116.25	0.0	0.001
5	14	74	1247616.0	0.0	0.001
5	15	75	623516.75	0.0	0.001
6	1	76	10214467584.0	0.125	0.001
6	2	77	5105054208.0	0.125	0.001
6	3	78	2551532032.0	0.125	0.001
6	4	79	1275849600.0	0.0	0.001
6	5	80	637404544.0	0.0	0.001
6	6	81	318527296.0	0.0	0.001
6	7	82	159251776.0	0.125	0.001
6	8	83	79622728.0	0.25	0.001
6	9	84	39787048.0	0.25	0.001
6	10	85	19881314.0	0.25	0.001
6	11	86	9940347.0	0.25	0.001
6	12	87	4968712.0	0.375	0.001
6	13	88	2484148.5	0.0	0.001
6	14	89	1241796.625	0.125	0.001
6	15	90	620937.5	0.0	0.001
7	1	91	10169243648.0	0.25	0.001
7	2	92	5083555840.0	0.25	0.001
7	3	93	2540503552.0	0.125	0.001
7	4	94	1269713792.0	0.125	0.001
7	5	95	634624384.0	0.0	0.001
7	6	96	317232064.0	0.0	0.001
7	7	97	158538272.0	0.25	0.001
7	8	98	79276304.0	0.375	0.001
7	9	99	39624308.0	0.125	0.001
7	10	100	19804570.0	0.125	0.001
7	11	101	9895956.0	0.125	0.001
7	12	102	4947177.5	0.0	0.001
7	13	103	2472433.25	0.0	0.001
7	14	104	1236974.0	0.375	0.001
7	15	105	618115.8125	0.0	0.001
8	1	106	10131503104.0	0.375	0.001
8	2	107	5061932544.0	0.25	0.001
8	3	108	2530711808.0	0.0	0.001
8	4	109	1264426240.0	0.375	0.001
8	5	110	632118528.0	0.0	0.001
8	6	111	315832192.0	0.5	0.001
8	7	112	157840928.0	0.0	0.001
8	8	113	78930120.0	0.25	0.001
8	9	114	39447336.0	0.125	0.001
8	10	115	19714852.0	0.125	0.001
8	11	116	9858856.0	0.125	0.001
8	12	117	4927202.0	0.125	0.001
8	13	118	2462853.75	0.125	0.001
8	14	119	1231324.125	0.125	0.001
8	15	120	615556.5	0.0	0.001
9	1	121	10088650752.0	0.25	0.001
9	2	122	5040689152.0	0.5	0.001
9	3	123	2519051264.0	0.0	0.001
9	4	124	1259251072.0	0.25	0.001
9	5	125	629199488.0	0.125	0.001
9	6	126	314500512.0	0.375	0.001
9	7	127	157209296.0	0.125	0.001
9	8	128	78582168.0	0.25	0.001
9	9	129	39279348.0	0.25	0.001
9	10	130	19638984.0	0.5	0.001
9	11	131	9813170.0	0.25	0.001
9	12	132	4905437.0	0.0	0.001
9	13	133	2453243.5	0.0	0.001
9	14	134	1226361.875	0.25	0.001
9	15	135	612995.25	0.0	0.001
10	1	136	10047939584.0	0.125	0.001
10	2	137	5020518912.0	0.125	0.001
10	3	138	2509199872.0	0.0	0.001
10	4	139	1254206336.0	0.0	0.001
10	5	140	626840576.0	0.125	0.001
10	6	141	313284288.0	0.0	0.001
10	7	142	156600128.0	0.125	0.001
10	8	143	78266360.0	0.0	0.001
10	9	144	39130092.0	0.25	0.001
10	10	145	19556980.0	0.0	0.001
10	11	146	9775684.0	0.0	0.001
10	12	147	4885334.5	0.25	0.001
10	13	148	2443257.0	0.0	0.001
10	14	149	1221382.0	0.0	0.001
10	15	150	610610.375	0.0	0.001
11	1	151	9998182400.0	0.125	0.001
11	2	152	4998353408.0	0.125	0.001
11	3	153	2499136000.0	0.125	0.001
11	4	154	1248832768.0	0.0	0.001
11	5	155	624253312.0	0.125	0.001
11	6	156	311985920.0	0.25	0.001
11	7	157	155884816.0	0.25	0.001
11	8	158	77929160.0	0.125	0.001
11	9	159	38971284.0	0.375	0.001
11	10	160	19473292.0	0.0	0.001
11	11	161	9735910.0	0.25	0.001
11	12	162	4866975.0	0.125	0.001
11	13	163	2433599.75	0.25	0.001
11	14	164	1216115.25	0.0	0.001
11	15	165	608199.25	0.3333333333333333	0.001
12	1	166	9960933376.0	0.25	0.001
12	2	167	4980845056.0	0.0	0.001
12	3	168	2488459008.0	0.0	0.001
12	4	169	1243174144.0	0.0	0.001
12	5	170	621765632.0	0.125	0.001
12	6	171	310620352.0	0.125	0.001
12	7	172	155324000.0	0.25	0.001
12	8	173	77651832.0	0.0	0.001
12	9	174	38802668.0	0.375	0.001
12	10	175	19402320.0	0.25	0.001
12	11	176	9696370.0	0.0	0.001
12	12	177	4846155.5	0.0	0.001
12	13	178	2423171.5	0.125	0.001
12	14	179	1211184.875	0.0	0.001
12	15	180	605635.9375	0.0	0.001
13	1	181	9917046784.0	0.125	0.001
13	2	182	4958052352.0	0.0	0.001
13	3	183	2478344192.0	0.0	0.001
13	4	184	1238770944.0	0.0	0.001
13	5	185	619049472.0	0.0	0.001
13	6	186	309269824.0	0.0	0.001
13	7	187	154674320.0	0.125	0.001
13	8	188	77317680.0	0.125	0.001
13	9	189	38644944.0	0.375	0.001
13	10	190	19323930.0	0.125	0.001
13	11	191	9654994.0	0.375	0.001
13	12	192	4825992.0	0.0	0.001
13	13	193	2413473.0	0.25	0.001
13	14	194	1206077.875	0.0	0.001
13	15	195	603061.875	0.0	0.001
14	1	196	9879854080.0	0.125	0.001
14	2	197	4937765888.0	0.125	0.001
14	3	198	2467989504.0	0.125	0.001
14	4	199	1233800960.0	0.125	0.001
14	5	200	616568320.0	0.125	0.001
14	6	201	308218880.0	0.0	0.001
14	7	202	154037968.0	0.0	0.001
14	8	203	76993048.0	0.0	0.001
14	9	204	38476604.0	0.125	0.001
14	10	205	19241334.0	0.5	0.001
14	11	206	9618189.0	0.125	0.001
14	12	207	4808286.5	0.125	0.001
14	13	208	2403205.5	0.25	0.001
14	14	209	1201317.25	0.25	0.001
14	15	210	600741.1875	0.0	0.001
15	1	211	9841346560.0	0.375	0.001
15	2	212	4917385728.0	0.125	0.001
15	3	213	2458904064.0	0.125	0.001
15	4	214	1228129280.0	0.0	0.001
15	5	215	614087168.0	0.25	0.001
15	6	216	306981376.0	0.125	0.001
15	7	217	153428496.0	0.125	0.001
15	8	218	76673568.0	0.125	0.001
15	9	219	38338844.0	0.125	0.001
15	10	220	19162460.0	0.25	0.001
15	11	221	9576401.0	0.0	0.001
15	12	222	4788732.5	0.0	0.001
15	13	223	2393539.0	0.25	0.001
15	14	224	1196679.25	0.25	0.001
15	15	225	598257.875	0.3333333333333333	0.001
16	1	226	9798113280.0	0.375	0.001
16	2	227	4899304448.0	0.25	0.001
16	3	228	2448014848.0	0.125	0.001
