epoch	batch	iter	loss	acc	lr
1	1	1	18865934.0	0.16	0.0001
1	2	2	9432357.0	0.08	0.0001
1	3	3	4716792.0	0.12	0.0001
1	4	4	2358829.75	0.12	0.0001
1	5	5	1178902.0	0.12	0.0001
1	6	6	589379.125	0.16	0.0001
1	7	7	294629.3125	0.08	0.0001
1	8	8	147351.71875	0.0	0.0001
1	9	9	73691.1875	0.08	0.0001
1	10	10	36841.515625	0.0	0.0001
1	11	11	18422.3828125	0.04	0.0001
1	12	12	9213.337890625	0.04	0.0001
1	13	13	4610.83203125	0.0	0.0001
1	14	14	2307.9775390625	0.12	0.0001
1	15	15	1158.865234375	0.12	0.0001
1	16	16	582.4515380859375	0.04	0.0001
1	17	17	296.1455383300781	0.08	0.0001
1	18	18	151.05477905273438	0.08	0.0001
1	19	19	81.81228637695312	0.04	0.0001
1	20	20	46.53044891357422	0.0	0.0001
2	1	21	18855834.0	0.12	0.0001
2	2	22	9427299.0	0.08	0.0001
2	3	23	4712917.0	0.04	0.0001
2	4	24	2357006.75	0.12	0.0001
2	5	25	1178502.375	0.0	0.0001
2	6	26	588995.75	0.04	0.0001
2	7	27	294491.71875	0.12	0.0001
2	8	28	147314.453125	0.08	0.0001
2	9	29	73630.984375	0.08	0.0001
2	10	30	36826.375	0.04	0.0001
2	11	31	18411.583984375	0.08	0.0001
2	12	32	9211.302734375	0.04	0.0001
2	13	33	4607.15966796875	0.12	0.0001
2	14	34	2308.625244140625	0.08	0.0001
2	15	35	1157.705810546875	0.0	0.0001
2	16	36	581.8310546875	0.24	0.0001
2	17	37	295.5916442871094	0.08	0.0001
2	18	38	150.2498016357422	0.2	0.0001
2	19	39	79.3541030883789	0.12	0.0001
2	20	40	45.42543029785156	0.0	0.0001
3	1	41	18844804.0	0.12	0.0001
3	2	42	9421363.0	0.08	0.0001
3	3	43	4708618.5	0.04	0.0001
3	4	44	2355797.5	0.12	0.0001
3	5	45	1177912.0	0.24	0.0001
3	6	46	588865.25	0.0	0.0001
3	7	47	294327.4375	0.0	0.0001
3	8	48	147210.65625	0.08	0.0001
3	9	49	73592.09375	0.04	0.0001
3	10	50	36797.828125	0.04	0.0001
3	11	51	18409.427734375	0.12	0.0001
3	12	52	9205.0693359375	0.08	0.0001
3	13	53	4604.2353515625	0.04	0.0001
3	14	54	2305.804931640625	0.12	0.0001
3	15	55	1156.9000244140625	0.12	0.0001
3	16	56	581.1616821289062	0.08	0.0001
3	17	57	295.7649841308594	0.08	0.0001
3	18	58	151.4441375732422	0.0	0.0001
3	19	59	79.6645278930664	0.16	0.0001
3	20	60	42.19963455200195	0.0	0.0001
4	1	61	18831114.0	0.12	0.0001
4	2	62	9418275.0	0.04	0.0001
4	3	63	4708225.0	0.12	0.0001
4	4	64	2353491.75	0.16	0.0001
4	5	65	1176540.0	0.08	0.0001
4	6	66	588471.1875	0.04	0.0001
4	7	67	294127.46875	0.0	0.0001
4	8	68	147103.609375	0.12	0.0001
4	9	69	73549.375	0.16	0.0001
4	10	70	36766.37109375	0.16	0.0001
4	11	71	18391.50390625	0.12	0.0001
4	12	72	9198.9306640625	0.04	0.0001
4	13	73	4602.67333984375	0.16	0.0001
4	14	74	2304.84326171875	0.16	0.0001
4	15	75	1155.8087158203125	0.08	0.0001
4	16	76	580.7385864257812	0.2	0.0001
4	17	77	294.8091735839844	0.0	0.0001
4	18	78	151.65992736816406	0.04	0.0001
4	19	79	77.05390167236328	0.08	0.0001
4	20	80	45.18687057495117	0.25	0.0001
5	1	81	18818746.0	0.04	0.0001
5	2	82	9409178.0	0.2	0.0001
5	3	83	4705529.0	0.12	0.0001
5	4	84	2352676.75	0.04	0.0001
5	5	85	1176039.375	0.12	0.0001
5	6	86	588031.4375	0.12	0.0001
5	7	87	293996.9375	0.12	0.0001
5	8	88	147006.203125	0.0	0.0001
5	9	89	73494.2578125	0.16	0.0001
5	10	90	36752.62109375	0.24	0.0001
5	11	91	18377.53515625	0.08	0.0001
5	12	92	9190.2265625	0.12	0.0001
5	13	93	4598.28125	0.08	0.0001
5	14	94	2303.16552734375	0.12	0.0001
5	15	95	1153.6385498046875	0.08	0.0001
5	16	96	579.3461303710938	0.16	0.0001
5	17	97	293.80755615234375	0.0	0.0001
5	18	98	150.47146606445312	0.08	0.0001
5	19	99	78.92056274414062	0.08	0.0001
5	20	100	38.32579803466797	0.5	0.0001
6	1	101	18811990.0	0.16	0.0001
6	2	102	9401196.0	0.08	0.0001
6	3	103	4701672.0	0.24	0.0001
6	4	104	2350583.5	0.08	0.0001
6	5	105	1175671.875	0.16	0.0001
6	6	106	587793.9375	0.16	0.0001
6	7	107	293809.5625	0.08	0.0001
6	8	108	146901.328125	0.08	0.0001
6	9	109	73460.4765625	0.12	0.0001
6	10	110	36723.05859375	0.08	0.0001
6	11	111	18364.833984375	0.16	0.0001
6	12	112	9187.94921875	0.12	0.0001
6	13	113	4596.55126953125	0.04	0.0001
6	14	114	2300.902099609375	0.16	0.0001
6	15	115	1154.8260498046875	0.0	0.0001
6	16	116	581.79833984375	0.0	0.0001
6	17	117	293.2506103515625	0.04	0.0001
6	18	118	149.36390686035156	0.08	0.0001
6	19	119	78.13289642333984	0.08	0.0001
6	20	120	39.534034729003906	0.25	0.0001
7	1	121	18795090.0	0.12	0.0001
7	2	122	9396146.0	0.08	0.0001
7	3	123	4699715.0	0.08	0.0001
7	4	124	2349698.0	0.04	0.0001
7	5	125	1174674.5	0.16	0.0001
7	6	126	587340.625	0.04	0.0001
7	7	127	293634.84375	0.08	0.0001
7	8	128	146792.078125	0.08	0.0001
7	9	129	73413.390625	0.04	0.0001
7	10	130	36718.2734375	0.08	0.0001
7	11	131	18353.607421875	0.12	0.0001
7	12	132	9176.751953125	0.04	0.0001
7	13	133	4592.2109375	0.04	0.0001
7	14	134	2299.828125	0.0	0.0001
7	15	135	1152.8297119140625	0.04	0.0001
7	16	136	580.2705688476562	0.04	0.0001
7	17	137	293.5582275390625	0.04	0.0001
7	18	138	149.73480224609375	0.08	0.0001
7	19	139	76.04686737060547	0.2	0.0001
7	20	140	42.842994689941406	0.0	0.0001
8	1	141	18790736.0	0.04	0.0001
8	2	142	9394276.0	0.08	0.0001
8	3	143	4696051.0	0.04	0.0001
8	4	144	2347808.5	0.16	0.0001
8	5	145	1174079.375	0.08	0.0001
8	6	146	586831.4375	0.2	0.0001
8	7	147	293487.125	0.04	0.0001
8	8	148	146701.109375	0.08	0.0001
8	9	149	73358.8671875	0.32	0.0001
8	10	150	36684.6953125	0.04	0.0001
8	11	151	18344.998046875	0.12	0.0001
8	12	152	9171.744140625	0.08	0.0001
8	13	153	4590.125	0.12	0.0001
8	14	154	2297.48681640625	0.12	0.0001
8	15	155	1152.369384765625	0.12	0.0001
8	16	156	579.3458862304688	0.04	0.0001
8	17	157	293.8152770996094	0.0	0.0001
8	18	158	148.99343872070312	0.08	0.0001
8	19	159	76.21573638916016	0.2	0.0001
8	20	160	40.13007736206055	0.25	0.0001
9	1	161	18771436.0	0.12	0.0001
9	2	162	9385824.0	0.08	0.0001
9	3	163	4692085.0	0.04	0.0001
9	4	164	2346138.0	0.0	0.0001
9	5	165	1173529.0	0.12	0.0001
9	6	166	586567.9375	0.12	0.0001
9	7	167	293311.1875	0.08	0.0001
9	8	168	146626.53125	0.04	0.0001
9	9	169	73315.640625	0.12	0.0001
9	10	170	36657.625	0.08	0.0001
9	11	171	18337.041015625	0.12	0.0001
9	12	172	9171.44140625	0.16	0.0001
9	13	173	4587.28857421875	0.0	0.0001
9	14	174	2296.458251953125	0.04	0.0001
9	15	175	1150.70458984375	0.16	0.0001
9	16	176	578.2637939453125	0.04	0.0001
9	17	177	292.7837219238281	0.04	0.0001
9	18	178	148.04110717773438	0.04	0.0001
