epoch	batch	iter	loss	acc	lr
1	1	1	3.013139009475708	0.06	0.001
1	2	2	4.079523086547852	0.04	0.001
1	3	3	4.104443550109863	0.12	0.001
1	4	4	4.451629161834717	0.0	0.001
1	5	5	3.793161630630493	0.04	0.001
1	6	6	3.2917392253875732	0.04	0.001
1	7	7	3.1243507862091064	0.08	0.001
1	8	8	3.16800594329834	0.06	0.001
1	9	9	3.0690550804138184	0.08	0.001
1	10	10	3.0084640979766846	0.1	0.001
1	11	11	3.034536123275757	0.06	0.001
1	12	12	3.3321750164031982	0.04	0.001
1	13	13	3.4546120166778564	0.08	0.001
1	14	14	3.5340819358825684	0.0	0.001
2	1	15	3.2169034481048584	0.0	0.001
2	2	16	2.8344216346740723	0.14	0.001
2	3	17	3.03134822845459	0.16	0.001
2	4	18	3.0696346759796143	0.04	0.001
2	5	19	3.139484167098999	0.04	0.001
2	6	20	2.8135058879852295	0.12	0.001
2	7	21	3.3256752490997314	0.08	0.001
2	8	22	3.158674716949463	0.12	0.001
2	9	23	2.931636333465576	0.08	0.001
2	10	24	3.009798526763916	0.04	0.001
2	11	25	2.9327645301818848	0.06	0.001
2	12	26	3.020153522491455	0.06	0.001
2	13	27	2.908823251724243	0.08	0.001
2	14	28	2.70745587348938	0.0	0.001
3	1	29	3.0039260387420654	0.12	0.001
3	2	30	2.7050647735595703	0.26	0.001
3	3	31	2.803183078765869	0.08	0.001
3	4	32	2.814858913421631	0.1	0.001
3	5	33	3.0571281909942627	0.12	0.001
3	6	34	2.8596105575561523	0.06	0.001
3	7	35	2.8451101779937744	0.02	0.001
3	8	36	2.9437923431396484	0.1	0.001
3	9	37	2.952803611755371	0.16	0.001
3	10	38	2.772773027420044	0.16	0.001
3	11	39	2.8661367893218994	0.1	0.001
3	12	40	2.835420608520508	0.12	0.001
3	13	41	2.905808448791504	0.04	0.001
3	14	42	2.9567925930023193	0.0	0.001
4	1	43	2.6593446731567383	0.12	0.001
4	2	44	2.977365732192993	0.12	0.001
4	3	45	2.789438247680664	0.12	0.001
4	4	46	2.9192774295806885	0.12	0.001
4	5	47	2.918215751647949	0.18	0.001
4	6	48	2.7613818645477295	0.22	0.001
4	7	49	2.7656567096710205	0.08	0.001
4	8	50	2.7789249420166016	0.14	0.001
4	9	51	2.6875901222229004	0.08	0.001
4	10	52	2.8708128929138184	0.1	0.001
4	11	53	2.855626106262207	0.12	0.001
4	12	54	3.0116472244262695	0.14	0.001
4	13	55	2.9095730781555176	0.24	0.001
4	14	56	2.6440653800964355	0.3	0.001
5	1	57	2.5864925384521484	0.24	0.001
5	2	58	2.7049286365509033	0.16	0.001
5	3	59	2.602689266204834	0.08	0.001
5	4	60	2.6354057788848877	0.18	0.001
5	5	61	2.7838425636291504	0.1	0.001
5	6	62	2.8262805938720703	0.14	0.001
5	7	63	2.7321062088012695	0.26	0.001
5	8	64	2.8833093643188477	0.1	0.001
5	9	65	2.3744373321533203	0.24	0.001
5	10	66	2.8367295265197754	0.18	0.001
5	11	67	2.4915218353271484	0.2	0.001
5	12	68	2.6497445106506348	0.22	0.001
5	13	69	3.1095569133758545	0.08	0.001
5	14	70	3.085681200027466	0.1	0.001
6	1	71	2.5905447006225586	0.18	0.001
6	2	72	2.620478630065918	0.26	0.001
