epoch	loss	acc	lr
1	3.007253646850586	0.19	0.001
2	2.972053050994873	0.12	0.001
3	2.3228952646255494	0.22	0.001
4	2.1384435176849363	0.27	0.001
5	1.990374755859375	0.29	0.001
6	2.070268416404724	0.28	0.001
7	1.9732689142227173	0.26	0.001
8	1.8544357538223266	0.27	0.001
9	1.8554952502250672	0.27	0.001
10	1.6988771200180053	0.34	0.001
11	1.8307687640190125	0.25	0.001
12	1.866259253025055	0.34	0.001
13	1.5674398303031922	0.4	0.001
14	1.603590476512909	0.38	0.001
15	1.5372308373451233	0.41	0.001
16	1.7121972799301148	0.4	0.001
17	1.6239827513694762	0.38	0.001
18	1.4952570438385009	0.36	0.001
19	1.6259935259819032	0.34	0.001
20	1.4995272517204286	0.49	0.001
21	1.6684962034225463	0.41	0.001
22	1.4963879942893983	0.45	0.001
23	1.5344479918479919	0.43	0.001
24	1.3684930086135865	0.51	0.001
25	1.5542447090148925	0.36	0.001
26	1.3142635226249695	0.44	0.001
27	1.3747143983840941	0.52	0.001
28	1.535830795764923	0.43	0.001
29	1.5749302983283997	0.38	0.001
30	1.4132389545440673	0.54	0.001
31	1.6852412939071655	0.46	0.001
32	1.589264416694641	0.46	0.0001
33	1.3090762376785279	0.51	0.0001
34	1.1716480255126953	0.62	0.0001
35	1.2581941604614257	0.56	0.0001
36	1.182055914402008	0.58	0.0001
37	1.179102647304535	0.62	0.0001
38	1.1125684022903441	0.6	0.0001
39	1.1363763332366943	0.57	0.0001
40	1.0895883738994598	0.68	0.0001
41	0.9784425139427185	0.67	0.0001
42	1.1089016199111938	0.53	0.0001
43	0.9894418001174927	0.67	0.0001
44	1.0406558811664581	0.62	0.0001
45	0.9885621786117553	0.7	0.0001
46	1.046702265739441	0.62	0.0001
47	1.1498046517372131	0.64	0.0001
48	1.1516694188117982	0.54	0.0001
49	1.0052475810050965	0.64	0.0001
50	0.997889518737793	0.63	0.0001
51	0.8944439470767975	0.63	0.0001
52	0.9041572213172913	0.71	0.0001
53	1.0426213026046753	0.57	0.0001
54	0.8988103806972504	0.61	0.0001
55	1.004720538854599	0.61	0.0001
56	0.8283958852291107	0.69	0.0001
57	0.91871577501297	0.66	0.0001
58	1.0745934844017029	0.6	0.0001
59	0.8509823262691498	0.68	0.0001
60	0.8324247062206268	0.7	0.0001
61	0.7898387908935547	0.69	0.0001
62	0.7341529905796051	0.72	0.0001
63	0.7807016849517823	0.74	0.0001
