epoch	batch	iter	loss	acc	lr
1	1	1	2.478797674179077	0.1	0.001
1	2	2	3.092571496963501	0.26666666666666666	0.001
1	3	3	3.4255871772766113	0.16666666666666666	0.001
1	4	4	3.081667423248291	0.3	0.001
2	1	5	2.7082459926605225	0.2	0.001
2	2	6	3.989849805831909	0.06666666666666667	0.001
2	3	7	2.401587724685669	0.1	0.001
2	4	8	2.4214799404144287	0.1	0.001
3	1	9	2.125739812850952	0.26666666666666666	0.001
3	2	10	2.208172082901001	0.2	0.001
3	3	11	2.226443290710449	0.23333333333333334	0.001
3	4	12	3.547887086868286	0.1	0.001
4	1	13	2.1879217624664307	0.2	0.001
4	2	14	1.990818738937378	0.3	0.001
4	3	15	2.2662882804870605	0.3333333333333333	0.001
4	4	16	2.049348831176758	0.2	0.001
5	1	17	2.0158121585845947	0.23333333333333334	0.001
5	2	18	1.9182285070419312	0.36666666666666664	0.001
5	3	19	1.9240723848342896	0.3	0.001
5	4	20	2.3294084072113037	0.2	0.001
6	1	21	2.0403707027435303	0.23333333333333334	0.001
6	2	22	1.9976437091827393	0.3333333333333333	0.001
6	3	23	2.217129707336426	0.2	0.001
6	4	24	1.9372518062591553	0.5	0.001
7	1	25	1.741880178451538	0.23333333333333334	0.001
7	2	26	2.1619255542755127	0.23333333333333334	0.001
7	3	27	2.099628210067749	0.23333333333333334	0.001
7	4	28	1.7223873138427734	0.5	0.001
8	1	29	1.8516809940338135	0.13333333333333333	0.001
8	2	30	1.8090838193893433	0.36666666666666664	0.001
8	3	31	1.8081761598587036	0.3	0.001
8	4	32	2.1375346183776855	0.3	0.001
9	1	33	1.9395281076431274	0.3	0.001
9	2	34	2.034776210784912	0.26666666666666666	0.001
9	3	35	1.602068543434143	0.3333333333333333	0.001
9	4	36	1.8258339166641235	0.0	0.001
10	1	37	1.697396159172058	0.36666666666666664	0.001
10	2	38	1.6551563739776611	0.4	0.001
10	3	39	1.848489761352539	0.23333333333333334	0.001
10	4	40	1.3856443166732788	0.4	0.001
11	1	41	1.8080397844314575	0.3333333333333333	0.001
11	2	42	1.6623739004135132	0.3	0.001
11	3	43	1.9432159662246704	0.2	0.001
11	4	44	2.066798686981201	0.0	0.001
12	1	45	1.5773264169692993	0.43333333333333335	0.001
12	2	46	1.8677401542663574	0.43333333333333335	0.001
12	3	47	2.0915565490722656	0.23333333333333334	0.001
12	4	48	2.0527231693267822	0.1	0.001
13	1	49	1.4391652345657349	0.4	0.001
13	2	50	1.4260293245315552	0.5666666666666667	0.001
13	3	51	1.6120492219924927	0.3333333333333333	0.001
13	4	52	2.2426669597625732	0.1	0.001
14	1	53	1.78707754611969	0.23333333333333334	0.001
14	2	54	1.5047529935836792	0.5666666666666667	0.001
14	3	55	1.5164679288864136	0.3333333333333333	0.001
14	4	56	1.6110093593597412	0.4	0.001
15	1	57	1.5429993867874146	0.36666666666666664	0.001
15	2	58	1.2515465021133423	0.4666666666666667	0.001
15	3	59	1.8766611814498901	0.4	0.001
15	4	60	1.358687162399292	0.4	0.001
16	1	61	1.656775712966919	0.4666666666666667	0.001
16	2	62	1.4491294622421265	0.5	0.001
16	3	63	1.9621332883834839	0.3333333333333333	0.001
16	4	64	1.9178574085235596	0.1	0.001
17	1	65	1.47396981716156	0.5666666666666667	0.001
17	2	66	1.5161000490188599	0.3	0.001
17	3	67	1.8971503973007202	0.3	0.001
17	4	68	1.5781667232513428	0.3	0.001
18	1	69	1.3699965476989746	0.43333333333333335	0.001
18	2	70	1.5028278827667236	0.3	0.001
18	3	71	1.4888437986373901	0.36666666666666664	0.001
18	4	72	1.8675657510757446	0.3	0.001
19	1	73	1.3849067687988281	0.3333333333333333	0.001
19	2	74	1.7259975671768188	0.36666666666666664	0.001
19	3	75	1.7501270771026611	0.26666666666666666	0.001
19	4	76	1.6768410205841064	0.5	0.001
20	1	77	1.3012309074401855	0.7	0.001
20	2	78	1.4550565481185913	0.5666666666666667	0.001
20	3	79	1.3345348834991455	0.3	0.001
20	4	80	2.7228055000305176	0.2	0.001
21	1	81	1.4885653257369995	0.36666666666666664	0.001
21	2	82	1.8253886699676514	0.3333333333333333	0.001
21	3	83	1.3451937437057495	0.6	0.001
21	4	84	2.7075188159942627	0.2	0.001
22	1	85	1.468540072441101	0.43333333333333335	0.001
22	2	86	1.289228916168213	0.6333333333333333	0.001
22	3	87	1.7021336555480957	0.3	0.001
22	4	88	1.584172010421753	0.4	0.001
23	1	89	1.41311514377594	0.4	0.001
23	2	90	1.578959345817566	0.4666666666666667	0.001
23	3	91	1.5999915599822998	0.36666666666666664	0.001
23	4	92	1.5682817697525024	0.6	0.001
24	1	93	1.6300032138824463	0.4666666666666667	0.001
24	2	94	1.3196543455123901	0.4666666666666667	0.001
24	3	95	1.2366691827774048	0.5666666666666667	0.001
24	4	96	1.1259498596191406	0.6	0.001
25	1	97	1.458321213722229	0.36666666666666664	0.001
25	2	98	1.4999381303787231	0.3	0.001
25	3	99	1.3653085231781006	0.5	0.001
25	4	100	2.5717434883117676	0.1	0.001
26	1	101	1.2434977293014526	0.5	0.001
26	2	102	1.164273977279663	0.4666666666666667	0.001
26	3	103	1.463258981704712	0.36666666666666664	0.001
26	4	104	1.529543161392212	0.4	0.001
27	1	105	1.1639002561569214	0.6333333333333333	0.001
27	2	106	1.5260990858078003	0.4666666666666667	0.001
27	3	107	1.5104596614837646	0.43333333333333335	0.001
27	4	108	1.1457669734954834	0.6	0.001
28	1	109	1.3563271760940552	0.4666666666666667	0.001
28	2	110	1.5033174753189087	0.5	0.001
28	3	111	1.7703464031219482	0.36666666666666664	0.001
28	4	112	1.4683347940444946	0.3	0.001
29	1	113	1.4040733575820923	0.36666666666666664	0.001
29	2	114	1.9103232622146606	0.4	0.001
29	3	115	1.4651706218719482	0.4	0.001
29	4	116	1.410601258277893	0.3	0.001
30	1	117	1.0639363527297974	0.6	0.001
30	2	118	1.6115527153015137	0.4	0.001
30	3	119	1.4293962717056274	0.6333333333333333	0.001
30	4	120	1.8177335262298584	0.5	0.001
31	1	121	1.5828475952148438	0.5333333333333333	0.001
31	2	122	1.585990071296692	0.5333333333333333	0.001
31	3	123	1.5999375581741333	0.4	0.001
31	4	124	2.5460872650146484	0.2	0.001
32	1	125	1.5331814289093018	0.6	0.0001
32	2	126	2.0213301181793213	0.3	0.0001
32	3	127	1.2227855920791626	0.5	0.0001
32	4	128	1.5607527494430542	0.4	0.0001
33	1	129	1.2460358142852783	0.5	0.0001
33	2	130	1.1856837272644043	0.5666666666666667	0.0001
33	3	131	1.4036253690719604	0.5	0.0001
33	4	132	1.5847276449203491	0.4	0.0001
34	1	133	1.0392407178878784	0.6	0.0001
34	2	134	1.0470050573349	0.7666666666666667	0.0001
34	3	135	1.4503411054611206	0.5	0.0001
34	4	136	1.1067196130752563	0.6	0.0001
35	1	137	1.2522923946380615	0.6333333333333333	0.0001
35	2	138	1.285455346107483	0.5333333333333333	0.0001
35	3	139	1.1882461309432983	0.6333333333333333	0.0001
35	4	140	1.4039599895477295	0.2	0.0001
36	1	141	1.0319453477859497	0.7	0.0001
36	2	142	1.4827162027359009	0.43333333333333335	0.0001
36	3	143	1.070563793182373	0.6333333333333333	0.0001
36	4	144	1.0648831129074097	0.5	0.0001
37	1	145	0.8875583410263062	0.7	0.0001
37	2	146	1.1435219049453735	0.6666666666666666	0.0001
37	3	147	1.2631447315216064	0.6	0.0001
37	4	148	1.9083515405654907	0.3	0.0001
38	1	149	1.1502437591552734	0.5666666666666667	0.0001
38	2	150	0.871944785118103	0.7333333333333333	0.0001
38	3	151	1.2978425025939941	0.5	0.0001
38	4	152	1.1655908823013306	0.6	0.0001
39	1	153	0.879246711730957	0.7333333333333333	0.0001
39	2	154	1.4766663312911987	0.36666666666666664	0.0001
39	3	155	1.0587929487228394	0.5666666666666667	0.0001
39	4	156	1.119645357131958	0.7	0.0001
40	1	157	1.0861968994140625	0.6333333333333333	0.0001
40	2	158	1.1060575246810913	0.7333333333333333	0.0001
40	3	159	0.7548384070396423	0.8	0.0001
40	4	160	2.05460524559021	0.3	0.0001
41	1	161	0.9141550064086914	0.7666666666666667	0.0001
41	2	162	0.9786614775657654	0.7	0.0001
41	3	163	0.9528951048851013	0.6333333333333333	0.0001
41	4	164	1.2472903728485107	0.4	0.0001
42	1	165	0.9018203020095825	0.6666666666666666	0.0001
42	2	166	1.0302479267120361	0.6	0.0001
42	3	167	1.2663474082946777	0.4	0.0001
42	4	168	1.4937692880630493	0.3	0.0001
43	1	169	0.9497423768043518	0.6	0.0001
43	2	170	0.9044186472892761	0.7666666666666667	0.0001
43	3	171	1.0976344347000122	0.6333333333333333	0.0001
43	4	172	1.0390316247940063	0.7	0.0001
44	1	173	1.2523350715637207	0.5	0.0001
44	2	174	1.0674861669540405	0.6333333333333333	0.0001
44	3	175	0.8225266337394714	0.7333333333333333	0.0001
44	4	176	0.9795151948928833	0.6	0.0001
45	1	177	1.0769919157028198	0.7666666666666667	0.0001
45	2	178	0.7799661159515381	0.7333333333333333	0.0001
45	3	179	1.0333545207977295	0.6666666666666666	0.0001
45	4	180	1.2146841287612915	0.5	0.0001
46	1	181	1.295122504234314	0.5333333333333333	0.0001
46	2	182	0.9210619330406189	0.6666666666666666	0.0001
46	3	183	1.0552308559417725	0.5666666666666667	0.0001
46	4	184	0.6527767777442932	0.9	0.0001
47	1	185	1.2170239686965942	0.6333333333333333	0.0001
47	2	186	0.9890186786651611	0.7333333333333333	0.0001
47	3	187	1.1224411725997925	0.5666666666666667	0.0001
47	4	188	1.5125950574874878	0.6	0.0001
48	1	189	1.3575297594070435	0.5333333333333333	0.0001
48	2	190	1.1650125980377197	0.4666666666666667	0.0001
48	3	191	1.0809365510940552	0.5333333333333333	0.0001
48	4	192	0.7062574625015259	0.8	0.0001
49	1	193	1.198716402053833	0.5	0.0001
49	2	194	0.9703369736671448	0.6333333333333333	0.0001
49	3	195	0.7317613959312439	0.8	0.0001
49	4	196	1.3500314950942993	0.6	0.0001
50	1	197	1.0614516735076904	0.6	0.0001
50	2	198	0.6593992710113525	0.7666666666666667	0.0001
50	3	199	1.23104727268219	0.5	0.0001
50	4	200	1.123200535774231	0.7	0.0001
51	1	201	0.8498074412345886	0.7333333333333333	0.0001
51	2	202	0.9775254726409912	0.5666666666666667	0.0001
51	3	203	0.8412964940071106	0.6	0.0001
51	4	204	0.9385512471199036	0.6	0.0001
52	1	205	0.8199145197868347	0.7333333333333333	0.0001
52	2	206	0.8888849020004272	0.6666666666666666	0.0001
52	3	207	0.9570627808570862	0.7666666666666667	0.0001
52	4	208	1.0439856052398682	0.6	0.0001
53	1	209	1.0784022808074951	0.6333333333333333	0.0001
53	2	210	0.9008969664573669	0.5666666666666667	0.0001
53	3	211	1.2267651557922363	0.4666666666666667	0.0001
53	4	212	0.8080198168754578	0.7	0.0001
54	1	213	0.9511098861694336	0.6	0.0001
54	2	214	0.7890255451202393	0.6333333333333333	0.0001
54	3	215	0.9234990477561951	0.6	0.0001
54	4	216	0.9972003698348999	0.6	0.0001
55	1	217	1.0337295532226562	0.6333333333333333	0.0001
55	2	218	1.086337924003601	0.6	0.0001
55	3	219	0.782842218875885	0.6333333333333333	0.0001
55	4	220	1.338476300239563	0.5	0.0001
56	1	221	0.8413447737693787	0.6666666666666666	0.0001
56	2	222	0.8244736790657043	0.6333333333333333	0.0001
56	3	223	0.7402910590171814	0.7333333333333333	0.0001
56	4	224	1.065630316734314	0.8	0.0001
57	1	225	0.7712328433990479	0.6666666666666666	0.0001
57	2	226	0.7882831692695618	0.8	0.0001
57	3	227	0.7952681183815002	0.6333333333333333	0.0001
57	4	228	2.12280535697937	0.3	0.0001
58	1	229	0.9254192113876343	0.6333333333333333	0.0001
58	2	230	0.7684354782104492	0.6666666666666666	0.0001
58	3	231	1.1419532299041748	0.5666666666666667	0.0001
58	4	232	2.238511085510254	0.4	0.0001
59	1	233	0.940838098526001	0.6666666666666666	0.0001
59	2	234	0.7003852128982544	0.7666666666666667	0.0001
59	3	235	0.8441155552864075	0.6333333333333333	0.0001
59	4	236	1.0538066625595093	0.6	0.0001
60	1	237	0.9165063500404358	0.6	0.0001
60	2	238	0.6747646927833557	0.7666666666666667	0.0001
60	3	239	0.7825133204460144	0.7333333333333333	0.0001
60	4	240	1.2028939723968506	0.7	0.0001
61	1	241	0.5592902302742004	0.8333333333333334	0.0001
61	2	242	0.8043290376663208	0.6333333333333333	0.0001
61	3	243	0.9056445956230164	0.6333333333333333	0.0001
61	4	244	1.090596318244934	0.6	0.0001
62	1	245	0.7472202777862549	0.7	0.0001
62	2	246	0.6864693760871887	0.7666666666666667	0.0001
62	3	247	0.7133007049560547	0.7	0.0001
62	4	248	0.9005588293075562	0.7	0.0001
63	1	249	0.7396253347396851	0.8333333333333334	0.0001
63	2	250	0.645575761795044	0.8	0.0001
63	3	251	1.000807285308838	0.5666666666666667	0.0001
63	4	252	0.6489917039871216	0.8	0.0001
64	1	253	0.6046622395515442	0.8	0.0001
64	2	254	0.6739418506622314	0.7333333333333333	0.0001
64	3	255	0.8730159997940063	0.6333333333333333	0.0001
64	4	256	1.3567346334457397	0.5	0.0001
65	1	257	0.73440021276474	0.7666666666666667	0.0001
65	2	258	0.9018936157226562	0.7	0.0001
65	3	259	1.0457310676574707	0.6	0.0001
65	4	260	0.9385841488838196	0.5	0.0001
66	1	261	0.8917683362960815	0.7333333333333333	0.0001
66	2	262	0.9561808109283447	0.6333333333333333	0.0001
66	3	263	0.9892622828483582	0.5333333333333333	0.0001
66	4	264	1.069227933883667	0.6	0.0001
67	1	265	0.7161638736724854	0.7666666666666667	0.0001
67	2	266	0.9123629331588745	0.6666666666666666	0.0001
67	3	267	0.7439525723457336	0.6666666666666666	0.0001
67	4	268	0.8202669024467468	0.7	0.0001
68	1	269	0.7525723576545715	0.8	0.0001
68	2	270	0.802008330821991	0.6666666666666666	0.0001
68	3	271	0.972091019153595	0.6	0.0001
68	4	272	0.600462794303894	0.8	0.0001
69	1	273	0.7078456878662109	0.7666666666666667	0.0001
69	2	274	0.6607183814048767	0.7	0.0001
69	3	275	1.0275019407272339	0.6333333333333333	0.0001
69	4	276	0.9266713857650757	0.8	0.0001
70	1	277	0.724270761013031	0.7333333333333333	0.0001
70	2	278	0.8262840509414673	0.5666666666666667	0.0001
70	3	279	0.6841367483139038	0.8333333333333334	0.0001
70	4	280	0.9867967367172241	0.6	0.0001
71	1	281	0.9727084040641785	0.7	0.0001
71	2	282	0.6216433644294739	0.8333333333333334	0.0001
71	3	283	0.8790422081947327	0.6666666666666666	0.0001
71	4	284	0.4871857166290283	0.9	0.0001
72	1	285	0.6742953658103943	0.8	0.0001
72	2	286	0.956888735294342	0.5333333333333333	0.0001
72	3	287	0.9320088624954224	0.5666666666666667	0.0001
72	4	288	1.7012395858764648	0.4	0.0001
73	1	289	0.7818413376808167	0.7666666666666667	0.0001
73	2	290	0.6940954923629761	0.7666666666666667	0.0001
73	3	291	0.7081690430641174	0.6666666666666666	0.0001
73	4	292	0.566547691822052	0.8	0.0001
74	1	293	0.8638162612915039	0.7333333333333333	0.0001
74	2	294	0.8717164397239685	0.5666666666666667	0.0001
74	3	295	0.47398465871810913	0.8666666666666667	0.0001
74	4	296	1.9046993255615234	0.3	0.0001
75	1	297	0.6938819885253906	0.7333333333333333	0.0001
75	2	298	0.7255976796150208	0.7666666666666667	0.0001
75	3	299	0.8876089453697205	0.6666666666666666	0.0001
75	4	300	1.1565338373184204	0.5	0.0001
76	1	301	0.7592695951461792	0.7	0.0001
76	2	302	0.9102184772491455	0.6333333333333333	0.0001
76	3	303	0.9189717769622803	0.6666666666666666	0.0001
76	4	304	0.7728871703147888	0.8	0.0001
77	1	305	0.5995868444442749	0.8333333333333334	1e-05
77	2	306	1.055768609046936	0.6666666666666666	1e-05
77	3	307	0.8104778528213501	0.7333333333333333	1e-05
77	4	308	1.5878944396972656	0.4	1e-05
78	1	309	1.012220859527588	0.5333333333333333	1e-05
78	2	310	0.8493251204490662	0.7	1e-05
78	3	311	0.6723910570144653	0.8	1e-05
78	4	312	1.2177655696868896	0.5	1e-05
79	1	313	1.0604610443115234	0.6666666666666666	1e-05
79	2	314	0.602798342704773	0.8666666666666667	1e-05
79	3	315	0.66799396276474	0.7333333333333333	1e-05
79	4	316	0.4826316833496094	0.8	1e-05
80	1	317	0.8776258826255798	0.7333333333333333	1e-05
80	2	318	0.915913999080658	0.6666666666666666	1e-05
80	3	319	0.7896638512611389	0.7666666666666667	1e-05
80	4	320	0.7222074866294861	0.7	1e-05
81	1	321	0.7066830992698669	0.7	1e-05
81	2	322	1.0536189079284668	0.5666666666666667	1e-05
81	3	323	1.114336371421814	0.6333333333333333	1e-05
81	4	324	1.1786493062973022	0.4	1e-05
82	1	325	0.7068585157394409	0.7666666666666667	1e-05
82	2	326	0.922946572303772	0.6333333333333333	1e-05
82	3	327	0.7994459271430969	0.8	1e-05
82	4	328	0.7573559880256653	0.7	1e-05
83	1	329	0.7702056169509888	0.6333333333333333	1e-05
83	2	330	0.929925262928009	0.6	1e-05
83	3	331	0.6869558095932007	0.7666666666666667	1e-05
83	4	332	0.921042263507843	0.8	1e-05
84	1	333	0.7707173228263855	0.6666666666666666	1e-05
84	2	334	0.7585353255271912	0.7	1e-05
84	3	335	0.651073157787323	0.7666666666666667	1e-05
84	4	336	1.412980079650879	0.5	1e-05
85	1	337	0.8566848039627075	0.6666666666666666	1e-05
85	2	338	0.5205893516540527	0.8	1e-05
85	3	339	0.5967556834220886	0.7666666666666667	1e-05
85	4	340	0.8437358140945435	0.6	1e-05
86	1	341	0.9027098417282104	0.6	1e-05
86	2	342	0.7207950353622437	0.6666666666666666	1e-05
86	3	343	0.6961161494255066	0.7666666666666667	1e-05
86	4	344	0.8174632787704468	0.7	1e-05
87	1	345	0.7446581125259399	0.7	1e-05
87	2	346	0.5834389925003052	0.8	1e-05
87	3	347	0.7538674473762512	0.7	1e-05
87	4	348	1.2003483772277832	0.5	1e-05
88	1	349	0.7097886800765991	0.7333333333333333	1e-05
88	2	350	0.5602956414222717	0.7	1e-05
88	3	351	0.8967481255531311	0.7	1e-05
88	4	352	0.537489116191864	0.9	1e-05
89	1	353	0.5045763850212097	0.8333333333333334	1e-05
89	2	354	0.7181101441383362	0.7666666666666667	1e-05
89	3	355	0.5703064799308777	0.8	1e-05
89	4	356	1.42392098903656	0.5	1e-05
90	1	357	0.6686127185821533	0.8	1e-05
90	2	358	0.7596347332000732	0.7333333333333333	1e-05
90	3	359	0.5902745723724365	0.8333333333333334	1e-05
90	4	360	1.2288713455200195	0.6	1e-05
91	1	361	0.8560582995414734	0.6	1e-05
91	2	362	0.8840637803077698	0.6333333333333333	1e-05
91	3	363	0.6920791864395142	0.7666666666666667	1e-05
91	4	364	0.9998375177383423	0.5	1e-05
92	1	365	0.5636345744132996	0.7666666666666667	1e-05
92	2	366	0.7153734564781189	0.7333333333333333	1e-05
92	3	367	0.771650493144989	0.7333333333333333	1e-05
92	4	368	1.0678268671035767	0.6	1e-05
93	1	369	0.9078152775764465	0.7	1e-05
93	2	370	0.8528031706809998	0.6	1e-05
93	3	371	0.8073366284370422	0.7	1e-05
93	4	372	1.7772947549819946	0.4	1e-05
94	1	373	0.7267481684684753	0.7666666666666667	1e-05
94	2	374	0.9251775741577148	0.7	1e-05
94	3	375	0.5974390506744385	0.7666666666666667	1e-05
94	4	376	1.6113494634628296	0.4	1e-05
95	1	377	0.7573156356811523	0.7	1e-05
95	2	378	1.1764378547668457	0.5333333333333333	1e-05
95	3	379	0.6852949857711792	0.8	1e-05
95	4	380	0.9202038049697876	0.6	1e-05
96	1	381	0.9678182005882263	0.5333333333333333	1e-05
96	2	382	0.5345004796981812	0.8333333333333334	1e-05
96	3	383	0.6039016842842102	0.7	1e-05
96	4	384	0.5078208446502686	0.8	1e-05
97	1	385	0.6368874311447144	0.7666666666666667	1e-05
97	2	386	0.7527915835380554	0.7333333333333333	1e-05
97	3	387	0.6457117199897766	0.8	1e-05
97	4	388	0.7867001295089722	0.7	1e-05
98	1	389	0.6427678465843201	0.8	1e-05
98	2	390	0.664306640625	0.7666666666666667	1e-05
98	3	391	0.5873170495033264	0.7333333333333333	1e-05
98	4	392	1.2178727388381958	0.6	1e-05
99	1	393	0.5048019289970398	0.8666666666666667	1e-05
99	2	394	0.6814584732055664	0.7333333333333333	1e-05
99	3	395	0.6792157292366028	0.7	1e-05
99	4	396	0.8345710635185242	0.6	1e-05
