epoch	batch	iter	loss	acc	lr
1	1	1	2.9140465259552	12.5	1e-05
1	2	2	2.8820528984069824	5.0	1e-05
1	3	3	2.751265287399292	5.0	1e-05
1	4	4	2.805530309677124	12.5	1e-05
1	5	5	3.1004672050476074	5.0	1e-05
1	6	6	2.9276816844940186	5.0	1e-05
2	1	7	2.6359293460845947	7.5	1e-05
2	2	8	3.092560291290283	2.5	1e-05
2	3	9	2.7624733448028564	10.0	1e-05
2	4	10	2.618957042694092	15.0	1e-05
2	5	11	2.8486111164093018	7.5	1e-05
2	6	12	3.1159615516662598	15.0	1e-05
3	1	13	3.0921778678894043	5.0	1e-05
3	2	14	2.863246202468872	10.0	1e-05
3	3	15	2.8983187675476074	5.0	1e-05
3	4	16	2.4471616744995117	20.0	1e-05
3	5	17	2.8825008869171143	5.0	1e-05
3	6	18	3.0112853050231934	2.5	1e-05
4	1	19	2.7555487155914307	15.0	1e-05
4	2	20	2.8513522148132324	5.0	1e-05
4	3	21	2.6360673904418945	15.0	1e-05
4	4	22	2.7913920879364014	7.5	1e-05
4	5	23	2.5200679302215576	10.0	1e-05
4	6	24	2.924923896789551	2.5	1e-05
5	1	25	2.809525728225708	12.5	1e-05
5	2	26	2.6650583744049072	5.0	1e-05
5	3	27	3.2474091053009033	7.5	1e-05
5	4	28	3.312145233154297	20.0	1e-05
5	5	29	3.0447146892547607	10.0	1e-05
5	6	30	2.8192739486694336	5.0	1e-05
6	1	31	2.879592180252075	10.0	1e-05
6	2	32	3.0651161670684814	10.0	1e-05
6	3	33	2.546485662460327	15.0	1e-05
6	4	34	3.049453020095825	15.0	1e-05
6	5	35	2.866163492202759	5.0	1e-05
6	6	36	2.7412726879119873	5.0	1e-05
7	1	37	2.6310267448425293	15.0	1e-05
7	2	38	2.909971237182617	12.5	1e-05
7	3	39	2.582728147506714	12.5	1e-05
7	4	40	2.9303417205810547	15.0	1e-05
7	5	41	2.728395462036133	7.5	1e-05
7	6	42	2.5539233684539795	5.0	1e-05
8	1	43	2.861332416534424	10.0	1e-05
8	2	44	2.8401103019714355	15.0	1e-05
8	3	45	2.8854830265045166	10.0	1e-05
8	4	46	2.597898006439209	5.0	1e-05
8	5	47	2.7732176780700684	12.5	1e-05
8	6	48	2.706225872039795	10.0	1e-05
9	1	49	2.6181344985961914	12.5	1e-05
9	2	50	2.814439058303833	2.5	1e-05
9	3	51	2.456200361251831	15.0	1e-05
9	4	52	2.5347952842712402	17.5	1e-05
9	5	53	2.9285333156585693	2.5	1e-05
