epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.00020898128296724036	0.12140382065718865	0.0020286773797124624	-4.999939918518066	-3.154810474370606e-05	-4.999939441680908
2	0.0002127837062868565	0.1241972816117618	0.0020272734109312296	-4.999879837036133	-3.151545752189122e-05	-4.999878406524658
3	0.0009507286834165157	0.1318383695793048	0.002008805051445961	-4.999819755554199	-3.163422297802754e-05	-4.999817848205566
4	0.00022474157376074777	0.13249901173702697	0.0020060839597135782	-4.999759674072266	-3.2175918022403494e-05	-4.999756813049316
5	0.0010500540001415204	0.15334221360429154	0.0020044322591274977	-4.999699592590332	-3.288522202637978e-05	-4.999697685241699
6	1.4426166319008588e-05	0.13817352605207764	0.0020116628147661686	-4.999639511108398	-3.305345671833493e-05	-4.999637126922607
7	0.0007073227916249702	0.1666404947531388	0.0020257909782230854	-4.999579429626465	-3.293349436717108e-05	-4.999576091766357
8	0.017022776152777627	0.20154922309682619	0.002037245314568281	-4.999519348144531	-3.326149453641847e-05	-4.999515533447266
9	0.0022878764597711113	0.17032212031197802	0.002048487076535821	-4.999459266662598	-3.419059794396162e-05	-4.999462127685547
10	0.0029773594395722316	0.157919947871532	0.00207553175278008	-4.999399185180664	-3.4850731026381254e-05	-4.999401092529297
11	0.0007859545598797729	0.2004390571280835	0.002082531340420246	-4.9993391036987305	-3.540666148182936e-05	-4.999340534210205
12	0.0009800366908809047	0.15720267160846899	0.0020829602144658566	-4.999279022216797	-3.520177415339276e-05	-4.999281406402588
13	0.0028441900218367025	0.16702593764170567	0.0020773163996636868	-4.999218940734863	-3.452125747571699e-05	-4.999220371246338
14	0.011425541592237659	0.22968864796236085	0.0020867662969976664	-4.99915885925293	-3.388195182196796e-05	-4.999159812927246
15	0.02344496573229682	0.201093697345897	0.0021040537394583225	-4.999098777770996	-3.3155272831209004e-05	-4.999098777770996
16	0.0012368178385086387	0.185876885442079	0.0021136628929525614	-4.9990386962890625	-3.2728788937674835e-05	-4.999038219451904
17	0.0004667425863505367	0.1726291106023324	0.0021202138159424067	-4.998978614807129	-3.1768020562594756e-05	-4.998978614807129
18	0.014352297476200454	0.2171243007662235	0.002126873703673482	-4.998918533325195	-3.114432547590695e-05	-4.998917579650879
19	0.0023336118224154268	0.200573980952412	0.0021437834948301315	-4.998858451843262	-3.0494371458189562e-05	-4.998857498168945
