epoch	batch	iter	loss	acc	lr
1	1	1	2.4802911281585693	12.5	0.0001
1	2	2	2.4912538528442383	15.0	0.0001
1	3	3	2.5625035762786865	5.0	0.0001
1	4	4	2.6183247566223145	5.0	0.0001
1	5	5	2.594381332397461	2.5	0.0001
1	6	6	2.5809757709503174	7.5	0.0001
2	1	7	2.4416089057922363	17.5	0.0001
2	2	8	2.4286715984344482	12.5	0.0001
2	3	9	2.445124626159668	10.0	0.0001
2	4	10	2.4562370777130127	17.5	0.0001
2	5	11	2.5156071186065674	7.5	0.0001
2	6	12	2.5203676223754883	5.0	0.0001
3	1	13	2.424238681793213	7.5	0.0001
3	2	14	2.435030698776245	10.0	0.0001
3	3	15	2.431381940841675	15.0	0.0001
3	4	16	2.483595609664917	7.5	0.0001
3	5	17	2.3708925247192383	10.0	0.0001
3	6	18	2.4164085388183594	12.5	0.0001
4	1	19	2.3442189693450928	15.0	0.0001
4	2	20	2.4617974758148193	17.5	0.0001
4	3	21	2.3504090309143066	17.5	0.0001
4	4	22	2.352663993835449	17.5	0.0001
4	5	23	2.348268508911133	12.5	0.0001
4	6	24	2.360119104385376	12.5	0.0001
5	1	25	2.2822279930114746	22.5	0.0001
5	2	26	2.402984380722046	7.5	0.0001
5	3	27	2.301928997039795	27.5	0.0001
5	4	28	2.261359691619873	15.0	0.0001
5	5	29	2.3684821128845215	12.5	0.0001
5	6	30	2.334345579147339	12.5	0.0001
6	1	31	2.3613500595092773	22.5	0.0001
6	2	32	2.1123483180999756	22.5	0.0001
6	3	33	2.3161654472351074	10.0	0.0001
6	4	34	2.227863311767578	12.5	0.0001
6	5	35	2.4110209941864014	10.0	0.0001
6	6	36	2.2549643516540527	17.5	0.0001
7	1	37	2.2661185264587402	15.0	0.0001
7	2	38	2.1648313999176025	27.5	0.0001
7	3	39	2.2963197231292725	17.5	0.0001
7	4	40	2.155139207839966	15.0	0.0001
7	5	41	2.3742918968200684	12.5	0.0001
7	6	42	2.183410167694092	12.5	0.0001
8	1	43	2.199679136276245	22.5	0.0001
8	2	44	2.3140811920166016	15.0	0.0001
8	3	45	2.203535556793213	22.5	0.0001
8	4	46	2.0236976146698	20.0	0.0001
8	5	47	2.194190740585327	22.5	0.0001
8	6	48	2.227321147918701	25.0	0.0001
9	1	49	2.117791175842285	35.0	0.0001
9	2	50	1.9956207275390625	27.5	0.0001
9	3	51	2.0134599208831787	15.0	0.0001
9	4	52	2.148538112640381	30.0	0.0001
9	5	53	2.23520827293396	12.5	0.0001
9	6	54	2.2813994884490967	12.5	0.0001
10	1	55	2.126906156539917	27.5	0.0001
10	2	56	2.006115674972534	30.0	0.0001
10	3	57	2.1870710849761963	12.5	0.0001
10	4	58	2.0888733863830566	27.5	0.0001
10	5	59	2.2941365242004395	12.5	0.0001
10	6	60	2.0378708839416504	20.0	0.0001
11	1	61	2.1456716060638428	30.0	0.0001
11	2	62	2.244657039642334	22.5	0.0001
11	3	63	2.013871669769287	20.0	0.0001
11	4	64	1.9282594919204712	35.0	0.0001
11	5	65	2.1692464351654053	30.0	0.0001
11	6	66	2.1188738346099854	17.5	0.0001
12	1	67	2.1585636138916016	20.0	0.0001
12	2	68	1.9200496673583984	22.5	0.0001
12	3	69	1.9523550271987915	32.5	0.0001
12	4	70	1.9837992191314697	15.0	0.0001
12	5	71	1.993045449256897	32.5	0.0001
12	6	72	2.1992735862731934	17.5	0.0001
13	1	73	2.0609004497528076	30.0	0.0001
13	2	74	1.7209422588348389	40.0	0.0001
13	3	75	2.308220386505127	15.0	0.0001
13	4	76	1.9901793003082275	22.5	0.0001
13	5	77	2.123450517654419	22.5	0.0001
13	6	78	2.122100830078125	15.0	0.0001
14	1	79	1.9142425060272217	35.0	0.0001
14	2	80	2.02629017829895	32.5	0.0001
14	3	81	2.169994831085205	30.0	0.0001
14	4	82	2.04331374168396	27.5	0.0001
14	5	83	1.962763786315918	27.5	0.0001
14	6	84	2.035579204559326	20.0	0.0001
15	1	85	1.7645988464355469	32.5	0.0001
