epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	3.311110063214384e-09	0.10617515138916717	0	0	0	0
2	1.490447659662636e-06	0.12841055938841403	0	0	0	0
3	2.8538735330936593e-06	0.13060409654626057	0	0	0	0
4	6.814071476402006e-06	0.16733245814344788	0	0	0	0
5	1.5238062300165778e-05	0.19465175447106908	0	0	0	0
6	8.314625197591852e-05	0.18731836300485316	0	0	0	0
7	0.0006920079377549654	0.20640637122774516	0	0	0	0
8	0.0006909402310646684	0.1992839789614814	0	0	0	0
9	9.980544629585586e-05	0.19568473822331534	0	0	0	0
10	7.89619375374806e-05	0.20395331880506706	0	0	0	0
11	0.0015042205408740683	0.2175164367582738	0	0	0	0
12	0.0025729027162739726	0.23203667830892272	0	0	0	0
13	0.0031322245636208335	0.23332826483129399	0	0	0	0
14	0.0034015805765756774	0.21828030599539083	0	0	0	0
15	0.0012425077971788268	0.2392130194360537	0	0	0	0
16	0.003861413479333914	0.23619448212083297	0	0	0	0
17	0.011303554059048412	0.2023387381868927	0	0	0	0
18	0.0019636201193717062	0.24644269636778957	0	0	0	0
19	0.001992319983171953	0.22266548409669618	0	0	0	0
20	0.0011971433723068498	0.21733440771612292	0	0	0	0
21	0.01133465691540661	0.20189962927623792	0	0	0	0
22	0.0038824130886225133	0.20353465742609908	0	0	0	0
23	0.0012222330357032213	0.21889866877102904	0	0	0	0
24	0.0030492537973169503	0.21974670280916916	0	0	0	0
25	0.0007689464422254988	0.2352333380270076	0	0	0	0
26	0.006578070521079837	0.2085140699475181	0	0	0	0
27	0.009357494442337563	0.20838613845708487	0	0	0	0
28	0.006286801573454681	0.24321630688059534	0	0	0	0
29	0.00740405684357881	0.24254553941970838	0	0	0	0
30	0.0039141262850134195	0.2407307343362103	0	0	0	0
31	0.002347068370751937	0.2473920325092213	0	0	0	0
32	0.011059024946877993	0.23460734139017672	0	0	0	0
33	0.004451002488069344	0.24371949446316124	0	0	0	0
