epoch	batch	iter	loss	acc	lr
1	1	1	2.5525529384613037	5.0	1e-05
1	2	2	2.528625726699829	9.375	1e-05
2	1	3	2.5558955669403076	7.5	1e-05
2	2	4	2.5502326488494873	6.25	1e-05
3	1	5	2.540961742401123	0.0	1e-05
3	2	6	2.5386481285095215	12.5	1e-05
4	1	7	2.52372670173645	5.0	1e-05
4	2	8	2.5726163387298584	6.25	1e-05
5	1	9	2.4657070636749268	2.5	1e-05
5	2	10	2.641860008239746	6.25	1e-05
6	1	11	2.5773115158081055	7.5	1e-05
6	2	12	2.4910073280334473	6.25	1e-05
7	1	13	2.4647130966186523	5.0	1e-05
7	2	14	2.5950050354003906	0.0	1e-05
8	1	15	2.5418918132781982	15.0	1e-05
8	2	16	2.53841495513916	6.25	1e-05
9	1	17	2.5419654846191406	15.0	1e-05
9	2	18	2.5182182788848877	3.125	1e-05
10	1	19	2.477076530456543	12.5	1e-05
10	2	20	2.5427043437957764	12.5	1e-05
11	1	21	2.509575366973877	7.5	1e-05
11	2	22	2.50907301902771	9.375	1e-05
12	1	23	2.5560457706451416	5.0	1e-05
12	2	24	2.4583213329315186	12.5	1e-05
13	1	25	2.448127031326294	17.5	1e-05
13	2	26	2.574770450592041	12.5	1e-05
14	1	27	2.490539312362671	17.5	1e-05
14	2	28	2.468414068222046	18.75	1e-05
15	1	29	2.521998167037964	5.0	1e-05
15	2	30	2.472052574157715	21.875	1e-05
16	1	31	2.460082530975342	7.5	1e-05
16	2	32	2.5588793754577637	9.375	1e-05
17	1	33	2.5261635780334473	12.5	1e-05
17	2	34	2.499425172805786	3.125	1e-05
18	1	35	2.4703049659729004	5.0	1e-05
18	2	36	2.5305418968200684	9.375	1e-05
19	1	37	2.5496857166290283	7.5	1e-05
19	2	38	2.4204766750335693	15.625	1e-05
20	1	39	2.427457332611084	17.5	1e-05
20	2	40	2.5477957725524902	9.375	1e-05
21	1	41	2.4559898376464844	22.5	1e-05
21	2	42	2.548973560333252	15.625	1e-05
22	1	43	2.4753365516662598	12.5	1e-05
22	2	44	2.493898868560791	15.625	1e-05
23	1	45	2.496058940887451	12.5	1e-05
