epoch	batch	iter	loss	acc	lr
1	1	1	2.576225757598877	10.0	5e-06
1	2	2	2.5150959491729736	9.375	5e-06
2	1	3	2.570970058441162	7.5	5e-06
2	2	4	2.5111443996429443	12.5	5e-06
3	1	5	2.520846366882324	12.5	5e-06
3	2	6	2.550349473953247	6.25	5e-06
4	1	7	2.530151844024658	5.0	5e-06
4	2	8	2.524240016937256	15.625	5e-06
5	1	9	2.436537504196167	15.0	5e-06
5	2	10	2.6174421310424805	9.375	5e-06
6	1	11	2.5565237998962402	10.0	5e-06
6	2	12	2.4880638122558594	9.375	5e-06
7	1	13	2.42981219291687	15.0	5e-06
7	2	14	2.585428476333618	0.0	5e-06
8	1	15	2.493403911590576	20.0	5e-06
8	2	16	2.5332798957824707	9.375	5e-06
9	1	17	2.490898370742798	12.5	5e-06
9	2	18	2.500568151473999	0.0	5e-06
10	1	19	2.436708927154541	12.5	5e-06
10	2	20	2.5084261894226074	15.625	5e-06
11	1	21	2.456057071685791	17.5	5e-06
11	2	22	2.4690334796905518	18.75	5e-06
12	1	23	2.4896771907806396	12.5	5e-06
12	2	24	2.388789176940918	18.75	5e-06
13	1	25	2.3657398223876953	22.5	5e-06
13	2	26	2.526270866394043	18.75	5e-06
14	1	27	2.4405834674835205	25.0	5e-06
14	2	28	2.39284348487854	15.625	5e-06
15	1	29	2.4525060653686523	15.0	5e-06
15	2	30	2.416632890701294	21.875	5e-06
16	1	31	2.4079642295837402	20.0	5e-06
16	2	32	2.455089569091797	31.25	5e-06
17	1	33	2.444702625274658	20.0	5e-06
17	2	34	2.3995895385742188	12.5	5e-06
18	1	35	2.374701976776123	25.0	5e-06
18	2	36	2.4416615962982178	31.25	5e-06
19	1	37	2.4713170528411865	12.5	5e-06
19	2	38	2.3519318103790283	34.375	5e-06
20	1	39	2.3564484119415283	25.0	5e-06
20	2	40	2.4432942867279053	31.25	5e-06
21	1	41	2.3379533290863037	35.0	5e-06
21	2	42	2.476001024246216	28.125	5e-06
22	1	43	2.3698980808258057	32.5	5e-06
22	2	44	2.3373489379882812	31.25	5e-06
23	1	45	2.383821725845337	22.5	5e-06
23	2	46	2.380993366241455	31.25	5e-06
24	1	47	2.3470969200134277	27.5	5e-06
24	2	48	2.417137384414673	21.875	5e-06
25	1	49	2.3588132858276367	40.0	5e-06
25	2	50	2.387258768081665	15.625	5e-06
26	1	51	2.4412622451782227	27.5	5e-06
26	2	52	2.265242338180542	37.5	5e-06
27	1	53	2.3892147541046143	27.5	5e-06
27	2	54	2.3496286869049072	21.875	5e-06
28	1	55	2.294853925704956	37.5	5e-06
28	2	56	2.4148566722869873	18.75	5e-06
29	1	57	2.3634586334228516	37.5	5e-06
29	2	58	2.340210199356079	28.125	5e-06
30	1	59	2.334653377532959	37.5	5e-06
30	2	60	2.2979044914245605	34.375	5e-06
31	1	61	2.2754952907562256	27.5	5e-06
31	2	62	2.3963875770568848	28.125	5e-06
32	1	63	2.2815170288085938	37.5	5e-06
32	2	64	2.3216159343719482	31.25	5e-06
33	1	65	2.3072195053100586	35.0	5e-06
33	2	66	2.310614824295044	40.625	5e-06
34	1	67	2.266258955001831	50.0	5e-06
34	2	68	2.3233442306518555	28.125	5e-06
35	1	69	2.3124403953552246	37.5	5e-06
35	2	70	2.2586164474487305	53.125	5e-06
36	1	71	2.292966365814209	45.0	5e-06
36	2	72	2.279346466064453	34.375	5e-06
37	1	73	2.292570114135742	50.0	5e-06
37	2	74	2.288479804992676	34.375	5e-06
38	1	75	2.24900484085083	42.5	5e-06
38	2	76	2.282496213912964	37.5	5e-06
39	1	77	2.3146255016326904	32.5	5e-06
39	2	78	2.2220866680145264	46.875	5e-06
40	1	79	2.294606924057007	32.5	5e-06
40	2	80	2.212833881378174	59.375	5e-06
41	1	81	2.2279679775238037	47.5	5e-06
41	2	82	2.273057699203491	37.5	5e-06
42	1	83	2.201202630996704	40.0	5e-06
42	2	84	2.2594518661499023	43.75	5e-06
43	1	85	2.2432169914245605	45.0	5e-06
43	2	86	2.20166015625	53.125	5e-06
44	1	87	2.257596731185913	30.0	5e-06
44	2	88	2.2219786643981934	50.0	5e-06
45	1	89	2.164804697036743	57.5	5e-06
45	2	90	2.2752232551574707	46.875	5e-06
46	1	91	2.1870663166046143	40.0	5e-06
46	2	92	2.2122175693511963	50.0	5e-06
47	1	93	2.278822422027588	30.0	5e-06
47	2	94	2.1680335998535156	53.125	5e-06
48	1	95	2.20426869392395	55.0	5e-06
48	2	96	2.19301438331604	40.625	5e-06
49	1	97	2.1500861644744873	52.5	5e-06
49	2	98	2.2472801208496094	46.875	5e-06
50	1	99	2.196943998336792	47.5	5e-06
50	2	100	2.1787407398223877	59.375	5e-06
51	1	101	2.1434648036956787	52.5	5e-06
51	2	102	2.1946353912353516	50.0	5e-06
52	1	103	2.1775317192077637	52.5	5e-06
52	2	104	2.2041521072387695	46.875	5e-06
53	1	105	2.1479132175445557	47.5	5e-06
53	2	106	2.1486048698425293	53.125	5e-06
54	1	107	2.2285618782043457	47.5	5e-06
54	2	108	2.0458426475524902	65.625	5e-06
55	1	109	2.1722350120544434	47.5	5e-06
55	2	110	2.1734464168548584	40.625	5e-06
56	1	111	2.1547374725341797	50.0	5e-06
56	2	112	2.1051409244537354	68.75	5e-06
57	1	113	2.070178508758545	65.0	5e-06
57	2	114	2.1922738552093506	43.75	5e-06
58	1	115	2.1099531650543213	55.0	5e-06
58	2	116	2.156501531600952	71.875	5e-06
59	1	117	2.148267984390259	47.5	5e-06
