epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	2.6293328601184607e-08	0.08366571109463165	0	0	0	0
2	7.859426607095821e-08	0.08822293607202743	0	0	0	0
3	1.9192956813782192e-07	0.09214227985733436	0	0	0	0
4	9.575872140892006e-08	0.09555324535193481	0	0	0	0
5	9.08952060788698e-08	0.09850308840610578	0	0	0	0
6	1.2358838622807122e-07	0.10091053810691482	0	0	0	0
7	2.1479832124082776e-07	0.10292593904230063	0	0	0	0
8	1.9948125641426617e-07	0.10440320961988507	0	0	0	0
9	2.7749032416313213e-07	0.1056303356683671	0	0	0	0
10	5.1996026285972e-07	0.10714276803122859	0	0	0	0
11	8.924731807018194e-07	0.10845617252961536	0	0	0	0
12	1.1093407961647317e-06	0.10952542442666695	0	0	0	0
13	2.7565014451107206e-06	0.11052284826996929	0	0	0	0
14	4.270238863891135e-06	0.11135966123197805	0	0	0	0
15	6.696782798076839e-06	0.1116017244953913	0	0	0	0
16	7.2945554879903785e-06	0.11169806721795224	0	0	0	0
17	3.6887038447445952e-06	0.11133130883607174	0	0	0	0
18	3.944903453723808e-06	0.11095902260935753	0	0	0	0
19	2.575695061055039e-07	0.10986996485698762	0	0	0	0
20	8.0090839593705e-07	0.10913911147325989	0	0	0	0
21	2.3164425859093646e-06	0.10924003754553134	0	0	0	0
22	7.938956098577782e-07	0.10795443790554664	0	0	0	0
23	1.1833189861067128e-06	0.1062560897475462	0	0	0	0
24	6.722570279350457e-06	0.10420446779366328	0	0	0	0
25	2.2263396113664236e-05	0.10130534378675776	0	0	0	0
26	3.6277324034784605e-05	0.09850413903060522	0	0	0	0
27	2.9823422696801175e-05	0.09587375450170516	0	0	0	0
28	1.5043974170896035e-05	0.09382527915753484	0	0	0	0
29	6.20090369189176e-06	0.092067318051902	0	0	0	0
30	2.3815074366370648e-06	0.09044435615690187	0	0	0	0
31	8.985688802365388e-06	0.08909821319084288	0	0	0	0
32	4.94130950632124e-06	0.08980779686732258	0	0	0	0
33	6.553348501352196e-06	0.09059309973778008	0	0	0	0
34	9.38365310655491e-06	0.09148092664366113	0	0	0	0
35	1.2569954995803392e-05	0.09316793251506951	0	0	0	0
36	1.204602730943069e-05	0.09520525080556902	0	0	0	0
37	1.0882484167917816e-05	0.09727658466630823	0	0	0	0
38	1.1808541213631507e-05	0.09881196738134379	0	0	0	0
39	1.2912594267180943e-05	0.10017168686895518	0	0	0	0
40	7.329700951519413e-06	0.1020711672613408	0	0	0	0
41	7.215042044273964e-06	0.10284035028611037	0	0	0	0
42	9.491401251700629e-06	0.10321749400710878	0	0	0	0
43	6.869984747415181e-06	0.10325394750312233	0	0	0	0
44	3.474731987954463e-06	0.10364133907435598	0	0	0	0
45	7.146319247579302e-07	0.10397926664178475	0	0	0	0
46	4.575789352952511e-06	0.10466021780189126	0	0	0	0
47	8.435616310956476e-06	0.10425774339842798	0	0	0	0
48	7.280011671361927e-06	0.10385574538346598	0	0	0	0
49	6.406135677941571e-06	0.10436845289227627	0	0	0	0
50	1.0854350919459535e-05	0.10482799255760951	0	0	0	0
51	1.4480843262609788e-05	0.10521986594801241	0	0	0	0
52	1.5510582567471523e-05	0.10499900455729967	0	0	0	0
53	1.1761761655380149e-05	0.10470044705929994	0	0	0	0
54	6.360199008606862e-06	0.10501784581569536	0	0	0	0
55	6.268827063818719e-06	0.10528519927852399	0	0	0	0
56	2.906933731663605e-06	0.10541736776596433	0	0	0	0
57	2.5874722844789616e-06	0.10561702074507856	0	0	0	0
58	2.1336847646231255e-06	0.10592033183785217	0	0	0	0
59	2.7894961481568503e-06	0.10639637062204103	0	0	0	0
60	4.365834946932004e-06	0.10743813026637551	0	0	0	0
61	6.384917466012788e-06	0.10876162392879397	0	0	0	0
62	6.656805081533407e-06	0.1099071624218771	0	0	0	0
63	5.194793797548558e-06	0.11235170676176935	0	0	0	0
64	2.2067659333005474e-06	0.11391657050135355	0	0	0	0
65	8.996292274736362e-06	0.11433308404216598	0	0	0	0
66	1.2993093262241018e-05	0.11555692957938597	0	0	0	0
67	1.4859475622460566e-05	0.11648140261380709	0	0	0	0
68	2.0197734695016206e-05	0.11597533036383978	0	0	0	0
69	1.1232544148486595e-05	0.11650513754993796	0	0	0	0
70	1.3744333153428018e-05	0.11653211355198456	0	0	0	0
71	1.7333610545716e-05	0.11660971227772439	0	0	0	0
72	1.1586726716649592e-05	0.11637029953421751	0	0	0	0
73	2.3042405679667838e-05	0.1155279395803593	0	0	0	0
74	1.739560703321527e-05	0.11504700616086223	0	0	0	0
75	3.330476342770436e-05	0.11434141472133004	0	0	0	0
76	5.837388327156745e-05	0.11357078544352839	0	0	0	0
77	8.474614175484757e-05	0.11379051038338302	0	0	0	0
78	0.00012632969413648235	0.11441523406674829	0	0	0	0
79	0.00017680953149099357	0.11520598441283146	0	0	0	0
80	0.00021632513031200062	0.1151856819321837	0	0	0	0
81	0.0002414485446871062	0.11507184927299474	0	0	0	0
82	0.0002461717167727487	0.11473565897600484	0	0	0	0
83	0.00021326600658793868	0.11495304466602652	0	0	0	0
84	0.00026380442380203803	0.115432600529309	0	0	0	0
85	0.00028708362367407467	0.1158522474393253	0	0	0	0
86	0.0002804815561063094	0.11650472558552012	0	0	0	0
87	0.0002809048662505871	0.11772735585924611	0	0	0	0
88	0.0002889999777426766	0.11849786653827876	0	0	0	0
89	0.0002873966382885909	0.11837323950118056	0	0	0	0
90	0.00026768044464170124	0.11821154395365195	0	0	0	0
