epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	1.8865402615420024e-05	0.14831425925854289	0	0	0	0
2	0.00033284854684267895	0.10967855837144133	0	0	0	0
3	0.00046560180207092655	0.11310825739759141	0	0	0	0
4	0.0005604250955443466	0.12016792107522009	0	0	0	0
5	0.00122700411749075	0.13730137098224407	0	0	0	0
6	0.0010990281206152454	0.13187134748788626	0	0	0	0
7	0.0010890497616497692	0.13672397662471394	0	0	0	0
8	0.004113700628019322	0.15187592506030578	0	0	0	0
9	0.0021748371877920794	0.14978692218705075	0	0	0	0
10	0.002821434354327794	0.16712037450299821	0	0	0	0
11	0.0037315617237121124	0.18558728884565082	0	0	0	0
12	0.0035401954379320685	0.16399493877028726	0	0	0	0
13	0.003372839738966363	0.18774776352568634	0	0	0	0
14	0.005717149009893209	0.17911326232928726	0	0	0	0
15	0.011674116888427302	0.1933863193643624	0	0	0	0
16	0.010363684402490483	0.19925965556004357	0	0	0	0
17	0.008999290659398612	0.2074993575352348	0	0	0	0
18	0.004580379270702026	0.2120354761814522	0	0	0	0
19	0.01261848569617302	0.20063103620796138	0	0	0	0
20	0.01394020190966136	0.19344019871513646	0	0	0	0
21	0.008525431046298645	0.19131234025978255	0	0	0	0
22	0.02420955497942151	0.2193971242900945	0	0	0	0
23	0.007318498976317339	0.20395318965003253	0	0	0	0
24	0.015773734926810834	0.21567419847148578	0	0	0	0
25	0.006034252519044658	0.2239998889671277	0	0	0	0
26	0.023887646395840068	0.2150303727424888	0	0	0	0
27	0.03250998532058458	0.2021143828808511	0	0	0	0
28	0.011242182373050955	0.21675653221522612	0	0	0	0
29	0.011287254422857468	0.2176737122015316	0	0	0	0
30	0.01506282175666733	0.21296954139216107	0	0	0	0
31	0.014711208215530666	0.21231511420121954	0	0	0	0
32	0.019766053350566498	0.20714529804808252	0	0	0	0
33	0.014126941597009557	0.21130300944918784	0	0	0	0
34	0.01714033445883105	0.21127230507310593	0	0	0	0
35	0.012085791039692886	0.2152163869181832	0	0	0	0
36	0.01828128347416305	0.21159012978237463	0	0	0	0
37	0.016040275840716406	0.2120544678379594	0	0	0	0
38	0.014974418798525846	0.2118053341351543	0	0	0	0
39	0.015262052888145666	0.21079546852936337	0	0	0	0
40	0.014051894673380985	0.21227484309021544	0	0	0	0
41	0.013484625907867115	0.21199399496436003	0	0	0	0
42	0.018611426178425455	0.2091787617316784	0	0	0	0
43	0.014720234880571129	0.21017328281833528	0	0	0	0
44	0.015757094199191635	0.21121717283715874	0	0	0	0
45	0.01869351260282337	0.21110296250878782	0	0	0	0
46	0.018978033573099212	0.21285709441724637	0	0	0	0
47	0.019036941932332838	0.20906156008762156	0	0	0	0
48	0.015146045824858817	0.2157613426366985	0	0	0	0
49	0.015078327623169158	0.21450308323203657	0	0	0	0
50	0.01759537208911917	0.21076175789306723	0	0	0	0
51	0.017195228304208054	0.21524776225287917	0	0	0	0
52	0.017609045214369623	0.21239192230720455	0	0	0	0
53	0.01518168783100278	0.21313008223463342	0	0	0	0
54	0.01833731229185573	0.2127901235659131	0	0	0	0
55	0.013965128625767292	0.21486773776575516	0	0	0	0
56	0.01792497537882294	0.2100434269413154	0	0	0	0
57	0.017067745156599645	0.21168376294190883	0	0	0	0
58	0.0194583618465842	0.21048403662946097	0	0	0	0
59	0.016605584797048933	0.2136338619533698	0	0	0	0
60	0.01587171618984791	0.21169861216739977	0	0	0	0
61	0.015223732976147555	0.21133906690027454	0	0	0	0
62	0.017707635358787444	0.21353355858098882	0	0	0	0
63	0.017781668761181313	0.21222078900914512	0	0	0	0
64	0.01611332309802463	0.21278492088001286	0	0	0	0
65	0.014989861585719175	0.21171272865372287	0	0	0	0
66	0.02092366906348217	0.20985497436349348	0	0	0	0
67	0.01430267094490055	0.21339535476450608	0	0	0	0
68	0.017656476250910658	0.21196847943367386	0	0	0	0
69	0.01672496795399739	0.21288819473575632	0	0	0	0
70	0.01712829529345747	0.2121652650506519	0	0	0	0
71	0.01754091154784769	0.21015550211323059	0	0	0	0
