epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	1.6925372453430176e-06	0.12340466280986584	0	0	0	0
2	4.4805608233264294e-05	0.12816099953227633	0	0	0	0
3	0.0005762055633178192	0.2051775043975016	0	0	0	0
4	0.00418292548002655	0.18882200921067446	0	0	0	0
5	0.005502646959379021	0.19522286528548555	0	0	0	0
6	0.01851863994811602	0.1954158780225434	0	0	0	0
7	0.016395131997031825	0.185499397328979	0	0	0	0
8	0.0056359409118157955	0.17497729582429236	0	0	0	0
9	0.02029899431179838	0.22937500412041079	0	0	0	0
10	0.01605409630098746	0.19878370648721838	0	0	0	0
11	0.0018290995606826677	0.18570285561920924	0	0	0	0
12	0.010015908928683759	0.2029321476436575	0	0	0	0
13	0.05046289633212364	0.07133678102516194	0	0	0	0
14	0.010699286643745906	0.2085904419033146	0	0	0	0
15	0.05026121940590261	0.19116250906017251	0	0	0	0
16	0.011305529449330165	0.22603729332755906	0	0	0	0
17	0.025906564120735776	0.21409107584313813	0	0	0	0
18	0.031215772711809198	0.21591147232801033	0	0	0	0
19	0.03427504134333942	0.20307562973729829	0	0	0	0
20	0.07918410586157393	0.17027924357459864	0	0	0	0
21	0.0024351681221503746	0.20111788591150936	0	0	0	0
22	0.042070273088041565	0.03327690297189356	0	0	0	0
23	0.01857803376126796	0.20883309966919958	0	0	0	0
24	0.0312653395416122	0.1945708006928562	0	0	0	0
25	0.02349535977198175	0.20883875808503924	0	0	0	0
26	0.0179523623800647	0.23119159955091384	0	0	0	0
27	0.01219699226552795	0.22551129400963818	0	0	0	0
28	0.020995872808294375	0.21843745853904303	0	0	0	0
1	8.779760502820866e-07	0.11599862418305247	0	0	0	0
2	1.205102857205348e-05	0.13437718960927206	0	0	0	0
3	0.00013048404855558332	0.18245496486194362	0	0	0	0
4	0.00043075455389023076	0.17247260173941145	0	0	0	0
5	0.00045107468009985413	0.16700686672595308	0	0	0	0
6	0.0088370401722494	0.17411333631904563	0	0	0	0
7	0.0024768253858861444	0.15771175718527833	0	0	0	0
8	0.004578473005542129	0.1630879057990318	0	0	0	0
9	0.01186859595544483	0.2023613885711674	0	0	0	0
10	0.007153106141561394	0.1801475129616462	0	0	0	0
11	0.0030533724605503187	0.1633754600271645	0	0	0	0
12	0.05122281339958268	0.1971318572113661	0	0	0	0
13	0.05346565540678744	0.17801857691670672	0	0	0	0
14	0.0054432936907287816	0.18804289215436293	0	0	0	0
15	0.0033971732584722886	0.1800403363954599	0	0	0	0
