epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	1.991016016048789e-05	0.0775577114459672	0	0	0	0
2	2.683309634499663e-05	0.08893820030698622	0	0	0	0
3	6.694591723018471e-05	0.09234707156301034	0	0	0	0
4	0.00026058936395286815	0.10067455374442348	0	0	0	0
5	0.0005253308075209764	0.10742662181216464	0	0	0	0
6	0.0009593684615405787	0.11270085586608304	0	0	0	0
7	0.0009250237470713532	0.11210324034834901	0	0	0	0
8	0.001194638215527108	0.11370422918146758	0	0	0	0
9	0.001282714543749102	0.11204193974548288	0	0	0	0
10	0.0012695652172152183	0.11061300124482559	0	0	0	0
11	0.0014201846484948426	0.1102798006426185	0	0	0	0
12	0.001508081767593792	0.11175764905619293	0	0	0	0
13	0.0012779931781782689	0.10951991141424809	0	0	0	0
14	0.0011507269837306953	0.10817771979917887	0	0	0	0
15	0.0017108564159935002	0.11247884924893513	0	0	0	0
16	0.0015464822776477295	0.1110013177860804	0	0	0	0
17	0.0016937968770915114	0.11051256218455117	0	0	0	0
18	0.0019485524683298464	0.11239160144447416	0	0	0	0
19	0.0016765363171479773	0.11159713504523307	0	0	0	0
20	0.0017808402036723105	0.11265618009126678	0	0	0	0
21	0.0017003236342708512	0.11146011295767644	0	0	0	0
22	0.0017727058927973771	0.11192668655737413	0	0	0	0
23	0.0019871727941188425	0.11194461047982089	0	0	0	0
24	0.0016362064345647118	0.11014982758043694	0	0	0	0
25	0.002412932843465561	0.11393167436486934	0	0	0	0
26	0.0021529436676665306	0.1145052585484921	0	0	0	0
27	0.002173114686635849	0.11538726439753273	0	0	0	0
28	0.002059189028103082	0.11401957989914299	0	0	0	0
29	0.002342607763185931	0.11685663041523808	0	0	0	0
30	0.0026377409085855848	0.11889169158644247	0	0	0	0
31	0.0023361728121204274	0.11758450842174667	0	0	0	0
32	0.002075094037565419	0.11748978041089196	0	0	0	0
33	0.00210289483913869	0.11742599645100851	0	0	0	0
34	0.001688364651017047	0.11670614943910818	0	0	0	0
35	0.0022108209788846873	0.11811239849124876	0	0	0	0
36	0.0022621042420821955	0.11956132864585443	0	0	0	0
37	0.0018361839741384348	0.11873077426764136	0	0	0	0
38	0.0022320693590768097	0.12303121861834646	0	0	0	0
39	0.002018811403278583	0.12041246813747228	0	0	0	0
40	0.0016905818722260657	0.12096742007890647	0	0	0	0
41	0.002165513980244664	0.12382968601189354	0	0	0	0
42	0.0017495772135023811	0.12427981385030505	0	0	0	0
43	0.0019233286219446505	0.12438226996684665	0	0	0	0
