epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	1.551649096133336e-05	0.07074578483513494	0	0	0	0
2	0.0001127415135149367	0.10168085040546179	0	0	0	0
3	0.000903834229666417	0.10089130210205549	0	0	0	0
4	0.0014620444160023532	0.1117407741332223	0	0	0	0
5	0.007760747972110439	0.14141960292840708	0	0	0	0
6	0.006162022195584201	0.13658103009647582	0	0	0	0
7	0.0029439331740673674	0.1360669345825734	0	0	0	0
8	0.004135554932160224	0.13949904744260136	0	0	0	0
9	0.0024132084917983104	0.15259767872652297	0	0	0	0
10	0.004295223282610845	0.15826148260239548	0	0	0	0
11	0.002612534629473688	0.16181630299764294	0	0	0	0
12	0.007042947144654345	0.15704381432252823	0	0	0	0
13	0.002804183943298573	0.1558798087916457	0	0	0	0
14	0.003105046601216528	0.17063454401950937	0	0	0	0
15	0.01204289751810296	0.1834702499963787	0	0	0	0
16	0.005341030430513066	0.19514895761908177	0	0	0	0
17	0.0069896661088767326	0.19205154046088477	0	0	0	0
18	0.006597201355149629	0.19110339286587893	0	0	0	0
19	0.00849012538025122	0.17246193897332818	0	0	0	0
20	0.0074914772281298725	0.19166769548045068	0	0	0	0
21	0.018599979869890648	0.19369617116725987	0	0	0	0
22	0.010538381977638109	0.20226855850410044	0	0	0	0
23	0.004527302140654846	0.19299438549943448	0	0	0	0
24	0.008166013008348391	0.21140963919161726	0	0	0	0
25	0.008877184656897463	0.19472011147346135	0	0	0	0
26	0.011528403080445948	0.2078226592072556	0	0	0	0
27	0.010330978767850663	0.20645643313009598	0	0	0	0
28	0.010074286393348175	0.2036687418087843	0	0	0	0
29	0.00815575794143529	0.20017876266422407	0	0	0	0
30	0.012303817039744785	0.20254442179176962	0	0	0	0
31	0.013425794080338171	0.20197989802349667	0	0	0	0
32	0.012603161835423482	0.20197734255453095	0	0	0	0
33	0.010691419451591189	0.1997248411272367	0	0	0	0
34	0.013158529857027826	0.20029172748666885	0	0	0	0
35	0.013150770134635448	0.20111438328700443	0	0	0	0
36	0.011111926985991852	0.19828161786233317	0	0	0	0
37	0.011236311622278727	0.202272593570813	0	0	0	0
38	0.012894748364135997	0.20225160059210745	0	0	0	0
39	0.015574642991541515	0.20371714716681846	0	0	0	0
40	0.014606311641911007	0.20498954643214218	0	0	0	0
41	0.01570505525109875	0.20564488003267226	0	0	0	0
42	0.015491029378769144	0.19866634851040418	0	0	0	0
43	0.01394974437429497	0.20531072028630384	0	0	0	0
44	0.013093498716263127	0.20242363060031912	0	0	0	0
45	0.013573982551594616	0.20287731268924378	0	0	0	0
46	0.014877330380942813	0.20421248563876743	0	0	0	0
47	0.013629601845796827	0.20143756219583944	0	0	0	0
48	0.012960955058568077	0.20276823296728608	0	0	0	0
49	0.014990537657876377	0.20066638833171271	0	0	0	0
50	0.015479593942823736	0.19811142493129275	0	0	0	0
51	0.01248246309855948	0.20093589969906467	0	0	0	0
52	0.012648066050233983	0.20031494858679955	0	0	0	0
53	0.012184948879593219	0.20352213891219126	0	0	0	0
54	0.011468691496411804	0.20532048795497063	0	0	0	0
55	0.01310117918210138	0.20031605435573654	0	0	0	0
56	0.015432109640966099	0.20145376811297233	0	0	0	0
57	0.012736413223071189	0.20156165676206228	0	0	0	0
58	0.014193320526792147	0.20064539456311345	0	0	0	0
59	0.014855853937554522	0.20025446791804463	0	0	0	0
60	0.013588405553678282	0.20188736995695364	0	0	0	0
61	0.01705911570140428	0.20504905430709805	0	0	0	0
62	0.015153408158070078	0.20134841243036966	0	0	0	0
63	0.012322314161963333	0.2065442323213687	0	0	0	0
64	0.013268683966093944	0.19455460399011526	0	0	0	0
65	0.01697385321630905	0.20080242235238668	0	0	0	0
66	0.012379190615466995	0.20367372473352474	0	0	0	0
67	0.014974204602917582	0.20379264415387802	0	0	0	0
68	0.014686058350624434	0.20235423310644196	0	0	0	0
69	0.014718963240007155	0.2048212823331662	0	0	0	0
70	0.015983358729634592	0.20233587366298808	0	0	0	0
71	0.016469542849267715	0.20045553373631558	0	0	0	0
72	0.013049110044456663	0.20354266869439844	0	0	0	0
73	0.016134534432073064	0.20221013049455436	0	0	0	0
74	0.012672649620684429	0.2046084797459073	0	0	0	0
75	0.013357589381814985	0.20431736635809378	0	0	0	0
76	0.013538570135580047	0.20248415204186665	0	0	0	0
77	0.011264981008496724	0.2031631059235679	0	0	0	0
78	0.016223052579507305	0.2010627581872534	0	0	0	0
79	0.013143994704421916	0.2034818079285964	0	0	0	0
80	0.01329915721496315	0.20428827135155012	0	0	0	0
81	0.013590720838288384	0.20051074782509068	0	0	0	0
82	0.01355418424842364	0.19965888825362219	0	0	0	0
83	0.015642548370436535	0.20131734076297403	0	0	0	0
84	0.01766003919437585	0.20162512385089099	0	0	0	0
85	0.014330062909165983	0.2001286068583551	0	0	0	0
86	0.013936659633213916	0.20445831108397405	0	0	0	0
87	0.012031715908649057	0.20561995005093944	0	0	0	0
88	0.01758715790408219	0.20537633023566668	0	0	0	0
89	0.014723290133867348	0.2008943946534202	0	0	0	0
90	0.014147938297385573	0.2067512808018986	0	0	0	0
91	0.01563481520057626	0.20256761981943577	0	0	0	0
92	0.015027268579597228	0.2028989921735524	0	0	0	0
93	0.012525952321401815	0.20169594224899073	0	0	0	0
94	0.013046340910545212	0.1982549336083981	0	0	0	0
95	0.013051876023618528	0.20630725422082322	0	0	0	0
96	0.01350017867195362	0.20144157616498573	0	0	0	0
97	0.014553170307763694	0.20200212070539136	0	0	0	0
98	0.011930971867913961	0.2013862515654684	0	0	0	0
99	0.013785270799261173	0.20293308162837445	0	0	0	0
100	0.012286408609197219	0.20216624478641043	0	0	0	0
101	0.014642588995971553	0.20186219335981107	0	0	0	0
102	0.0114654999260667	0.20790709155189646	0	0	0	0
103	0.013248804626538213	0.20196865463555644	0	0	0	0
104	0.013590578126535274	0.203740692951497	0	0	0	0
105	0.014469320151351786	0.2031838775987708	0	0	0	0
106	0.014955878765830363	0.20303529979426804	0	0	0	0
107	0.01255952471605841	0.20310034677407207	0	0	0	0
108	0.014390413682202702	0.2027344409332693	0	0	0	0
109	0.015254785237982585	0.20486441998342567	0	0	0	0
110	0.013216175672873143	0.20526666984019934	0	0	0	0
111	0.016663379020026972	0.2025025714194628	0	0	0	0
112	0.014560133208443543	0.20062440842538035	0	0	0	0
113	0.013245101622609168	0.20531626253989896	0	0	0	0
114	0.013776272394672703	0.20698186900079232	0	0	0	0
115	0.014252664205275989	0.2040327586252101	0	0	0	0
116	0.011143751280406775	0.20550647621421683	0	0	0	0
117	0.010113952073745894	0.20030236713993682	0	0	0	0
118	0.015480602947699193	0.20364567540095022	0	0	0	0
119	0.013548965447236758	0.20299927140162677	0	0	0	0
120	0.015217175677252642	0.19682085458869605	0	0	0	0
121	0.012655300979402026	0.201645906730464	0	0	0	0
122	0.011364897701573229	0.20184951044130553	0	0	0	0
123	0.014925181032588275	0.20155903897578983	0	0	0	0
124	0.01158749475053153	0.206280100807106	0	0	0	0
125	0.01430378064501911	0.20405372954704878	0	0	0	0
126	0.013792165190395264	0.2021756889577871	0	0	0	0
127	0.011182907756796923	0.19997701695750833	0	0	0	0
128	0.01344533874721919	0.20447866308507406	0	0	0	0
129	0.01352198224421576	0.20586312136660836	0	0	0	0
130	0.012616010690017929	0.20440240406912288	0	0	0	0
131	0.015169583620652877	0.20480490644665345	0	0	0	0
132	0.01441612733570087	0.2034121582470345	0	0	0	0
133	0.01751237948145394	0.2021416407465383	0	0	0	0
134	0.01203640883887623	0.2035299329611179	0	0	0	0
135	0.012912185218776476	0.20360170525094723	0	0	0	0
136	0.014207090455023552	0.20403060823268893	0	0	0	0
137	0.013662228327618875	0.2049878213084459	0	0	0	0
138	0.012252105671113511	0.20672381067464346	0	0	0	0
139	0.013962294175195358	0.20441210323457207	0	0	0	0
140	0.012592278067223933	0.20525984693565327	0	0	0	0
141	0.011251628128957261	0.20609134881804908	0	0	0	0
142	0.01218542797056825	0.20248939249445075	0	0	0	0
143	0.01385273257988967	0.20306764048027146	0	0	0	0
144	0.014294315078557496	0.20629655123680304	0	0	0	0
145	0.014418146740585489	0.20405712949528917	0	0	0	0
146	0.014003044088952782	0.20718715614554956	0	0	0	0
147	0.014706396862223303	0.201243306995691	0	0	0	0
148	0.011687197932017682	0.20187343034906335	0	0	0	0
149	0.01672634455137738	0.19858144889678292	0	0	0	0
150	0.012921085118961048	0.20167076499969125	0	0	0	0
151	0.017862932504219567	0.19999108407170546	0	0	0	0
152	0.016005519418726938	0.19953089190909268	0	0	0	0
153	0.01468554842887787	0.2000087477159513	0	0	0	0
154	0.014508418503777307	0.20587941225216985	0	0	0	0
