epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.0021908707269905105	0.11082464666335468	0	0	0	0
2	0.012534091864391105	0.14681849399486702	0	0	0	0
3	0.023331211067522478	0.1702026705814488	0	0	0	0
4	0.023654436077986327	0.18862759483251967	0	0	0	0
5	0.02620005214085952	0.2012819000124222	0	0	0	0
6	0.03334471497645483	0.20688424890133716	0	0	0	0
7	0.03470517670589432	0.21019169515377112	0	0	0	0
8	0.040258624460562054	0.20829841623582637	0	0	0	0
9	0.045787173371220236	0.20416115933191642	0	0	0	0
10	0.04410570239115161	0.20589094926728654	0	0	0	0
11	0.04943372764988535	0.19974110209412294	0	0	0	0
12	0.051490530209199914	0.19641395233732578	0	0	0	0
13	0.053503816356342715	0.19274107403658966	0	0	0	0
14	0.051437915648592236	0.1952657545987477	0	0	0	0
15	0.05276685529345887	0.1915684884434256	0	0	0	0
16	0.05292083407879833	0.1885731751423891	0	0	0	0
17	0.05621969759420847	0.1855131194618801	0	0	0	0
18	0.05546534614851034	0.18462003507893102	0	0	0	0
19	0.055359801777320916	0.1839277311900909	0	0	0	0
20	0.05563136707751859	0.17971309034288785	0	0	0	0
21	0.05920404191031997	0.17655343110114052	0	0	0	0
22	0.059347541055040476	0.17340502744135036	0	0	0	0
23	0.05414773808216822	0.1779718634280487	0	0	0	0
24	0.05418776875763959	0.1750334426277124	0	0	0	0
25	0.056952777837238955	0.17234039653435804	0	0	0	0
26	0.05961757017074726	0.17079802273071704	0	0	0	0
27	0.059294231978192724	0.16935246786135663	0	0	0	0
28	0.056587806822096076	0.17612433106523187	0	0	0	0
29	0.05814746221949563	0.17104919431908736	0	0	0	0
30	0.061289163129988	0.1674868393618548	0	0	0	0
31	0.05717381433368096	0.16761547001369798	0	0	0	0
32	0.05831097672918806	0.1694364244023195	0	0	0	0
33	0.05932904591415522	0.16532086028464776	0	0	0	0
34	0.055513351091337315	0.1726518195709768	0	0	0	0
35	0.05909335490132023	0.16895878425864322	0	0	0	0
36	0.058738836847067044	0.16906482302290693	0	0	0	0
37	0.05591645403759493	0.17130977648866283	0	0	0	0
38	0.05669083434713268	0.16731397101213097	0	0	0	0
39	0.06030367397092351	0.16834687764319917	0	0	0	0
40	0.058771617478157734	0.16931642996315047	0	0	0	0
41	0.05882725948256434	0.1668769184655931	0	0	0	0
42	0.05992697760350185	0.168501405936398	0	0	0	0
43	0.059426467391544	0.1638932136879867	0	0	0	0
44	0.06159218278554951	0.1637467172976732	0	0	0	0
45	0.057714693607344214	0.16988071606044808	0	0	0	0
46	0.05824272474187914	0.16778528816841146	0	0	0	0
47	0.06263541521164351	0.16339570920495666	0	0	0	0
48	0.057646109067564455	0.17117136466932653	0	0	0	0
49	0.058166077664482674	0.16904349083520215	0	0	0	0
50	0.05638529398052816	0.16776341823904134	0	0	0	0
51	0.05901869324432524	0.16812627565312976	0	0	0	0
52	0.057729047788945276	0.16849421323250968	0	0	0	0
53	0.05968830699751826	0.16238677919344316	0	0	0	0
