epoch	batch	iter	loss	acc	lr
1	1	1	1.8007105588912964	16.0	1e-05
1	2	2	1.8308581113815308	14.0	1e-05
1	3	3	1.8349213600158691	14.0	1e-05
1	4	4	1.7863003015518188	22.0	1e-05
1	5	5	1.7909244298934937	14.0	1e-05
1	6	6	1.8109797239303589	22.0	1e-05
1	7	7	1.8601206541061401	14.0	1e-05
1	8	8	1.802879810333252	22.0	1e-05
1	9	9	1.70404052734375	42.857142857142854	1e-05
2	1	10	1.7840821743011475	22.0	1e-05
2	2	11	1.788318157196045	22.0	1e-05
2	3	12	1.832460880279541	22.0	1e-05
2	4	13	1.8248493671417236	14.0	1e-05
2	5	14	1.7449162006378174	26.0	1e-05
2	6	15	1.7796127796173096	14.0	1e-05
2	7	16	1.6950076818466187	28.0	1e-05
2	8	17	1.7288342714309692	34.0	1e-05
2	9	18	1.7836774587631226	0.0	1e-05
3	1	19	1.7444541454315186	20.0	1e-05
3	2	20	1.7541218996047974	22.0	1e-05
3	3	21	1.7327252626419067	28.0	1e-05
3	4	22	1.6937190294265747	24.0	1e-05
3	5	23	1.7301533222198486	26.0	1e-05
3	6	24	1.7303122282028198	24.0	1e-05
3	7	25	1.6647623777389526	36.0	1e-05
3	8	26	1.731934666633606	28.0	1e-05
3	9	27	1.8784255981445312	0.0	1e-05
4	1	28	1.6968741416931152	18.0	1e-05
4	2	29	1.750047206878662	20.0	1e-05
4	3	30	1.651050090789795	32.0	1e-05
4	4	31	1.6701611280441284	36.0	1e-05
4	5	32	1.7150330543518066	22.0	1e-05
4	6	33	1.6695879697799683	24.0	1e-05
4	7	34	1.6654014587402344	24.0	1e-05
4	8	35	1.5912389755249023	34.0	1e-05
4	9	36	1.5698089599609375	42.857142857142854	1e-05
5	1	37	1.6537277698516846	26.0	1e-05
5	2	38	1.627180814743042	30.0	1e-05
5	3	39	1.6606053113937378	26.0	1e-05
5	4	40	1.6111018657684326	22.0	1e-05
5	5	41	1.613335371017456	20.0	1e-05
5	6	42	1.6697496175765991	30.0	1e-05
5	7	43	1.5641658306121826	34.0	1e-05
5	8	44	1.6252567768096924	20.0	1e-05
5	9	45	1.6425620317459106	28.571428571428573	1e-05
6	1	46	1.6267837285995483	30.0	1e-05
6	2	47	1.5885125398635864	26.0	1e-05
6	3	48	1.5259079933166504	26.0	1e-05
6	4	49	1.5960569381713867	26.0	1e-05
6	5	50	1.541528344154358	28.0	1e-05
6	6	51	1.5271809101104736	20.0	1e-05
6	7	52	1.5652666091918945	32.0	1e-05
6	8	53	1.5074938535690308	24.0	1e-05
6	9	54	1.4628163576126099	42.857142857142854	1e-05
7	1	55	1.5731593370437622	22.0	1e-05
7	2	56	1.4685313701629639	30.0	1e-05
7	3	57	1.4810069799423218	28.0	1e-05
7	4	58	1.5793664455413818	20.0	1e-05
7	5	59	1.4519033432006836	36.0	1e-05
7	6	60	1.5080701112747192	32.0	1e-05
7	7	61	1.579282522201538	32.0	1e-05
7	8	62	1.4338774681091309	32.0	1e-05
7	9	63	1.2361725568771362	57.142857142857146	1e-05
8	1	64	1.4504629373550415	40.0	1e-05
8	2	65	1.3974498510360718	30.0	1e-05
8	3	66	1.5084075927734375	28.0	1e-05
8	4	67	1.485816478729248	26.0	1e-05
8	5	68	1.4082190990447998	26.0	1e-05
8	6	69	1.3962076902389526	32.0	1e-05
8	7	70	1.3287853002548218	44.0	1e-05
