epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	2.7529555261668337e-06	0.16429923091207368	0	0	0	0
2	6.07761660890993e-06	0.19469359954233564	0	0	0	0
3	3.772757745840183e-05	0.21231477733072776	0	0	0	0
4	6.503795479832764e-05	0.2246280040231937	0	0	0	0
5	0.0016964175758733685	0.21697978562668077	0	0	0	0
6	0.001740416354041971	0.2106979554543659	0	0	0	0
7	0.0022396275699023693	0.22083958927579558	0	0	0	0
8	0.008900302059283882	0.2206241044819036	0	0	0	0
9	0.00831046987086112	0.22274624866540385	0	0	0	0
10	0.00883765677100437	0.22055948396200797	0	0	0	0
11	0.009020630663000975	0.21925350168041668	0	0	0	0
12	0.006547047866323347	0.22658056230846083	0	0	0	0
13	0.007473985835651897	0.2292460593205424	0	0	0	0
14	0.012675522558112329	0.22719620402878546	0	0	0	0
15	0.011339252020014734	0.22521524812963958	0	0	0	0
16	0.01693105370298617	0.22787839114170505	0	0	0	0
17	0.014860307119633737	0.23252432236642137	0	0	0	0
18	0.014942801823109919	0.22977147104210624	0	0	0	0
19	0.02806256148383407	0.22185989554557684	0	0	0	0
20	0.010080704239158467	0.23589174717963432	0	0	0	0
21	0.014662843846666801	0.23339405793916548	0	0	0	0
22	0.028233654488370674	0.22155703594498002	0	0	0	0
23	0.03545802139621762	0.2144615356163777	0	0	0	0
24	0.027784544295558183	0.22181399760877385	0	0	0	0
25	0.019657244405048457	0.23005291084354051	0	0	0	0
26	0.03914377844261624	0.21074098879352832	0	0	0	0
27	0.032862882258564985	0.21680801793273022	0	0	0	0
28	0.029420235384619742	0.22051710028561047	0	0	0	0
29	0.041846704172619875	0.2057968564645575	0	0	0	0
30	0.050207122797679304	0.19308346729714065	0	0	0	0
31	0.0457759301395983	0.1990499071966887	0	0	0	0
32	0.03758605716106833	0.20696393846873837	0	0	0	0
33	0.04103082903772198	0.20744575421617406	0	0	0	0
34	0.0415611062820071	0.20618393604172777	0	0	0	0
35	0.04332507832938293	0.20269982719326252	0	0	0	0
36	0.045484218746991045	0.1971937471714121	0	0	0	0
37	0.047253880184151664	0.19016127438632272	0	0	0	0
38	0.0479775412805874	0.1916478846657148	0	0	0	0
39	0.04730101099835099	0.18606823540914497	0	0	0	0
40	0.043343241318263004	0.19930392938567323	0	0	0	0
41	0.0648187654995181	0.16607577892508166	0	0	0	0
42	0.05959163994987776	0.17592791530454063	0	0	0	0
43	0.05017981757626211	0.1881512626650732	0	0	0	0
44	0.06085877937364664	0.16964775608734625	0	0	0	0
45	0.057045169563975595	0.17548832772530862	0	0	0	0
46	0.056558529635456045	0.17960731297421972	0	0	0	0
47	0.054866319971617616	0.17912022287624216	0	0	0	0
48	0.05114005903313751	0.1804952072195336	0	0	0	0
49	0.055266180576929	0.179485409397667	0	0	0	0
50	0.057175575052952454	0.17570648366540254	0	0	0	0
51	0.0587662182930721	0.15797739981499048	0	0	0	0
52	0.06001893021941729	0.15503539313308953	0	0	0	0
53	0.05420799314025948	0.16947125021504053	0	0	0	0
54	0.052632731237794494	0.17267036479804823	0	0	0	0
55	0.04059552697305946	0.1919992296212855	0	0	0	0
56	0.05487519278427444	0.17591099062507376	0	0	0	0
57	0.05414458749514872	0.16693703991904454	0	0	0	0
58	0.05079077278595984	0.18623477404346592	0	0	0	0
59	0.06326086963137467	0.1500745891137106	0	0	0	0
60	0.05753637701680292	0.16060688604720266	0	0	0	0
61	0.059087621603391816	0.16740318185499695	0	0	0	0
62	0.057636971506508095	0.16938529100960423	0	0	0	0
63	0.05276600130248027	0.16996632070265685	0	0	0	0
64	0.04799340340731356	0.16295252799489868	0	0	0	0
65	0.05912686343200346	0.1651360977740226	0	0	0	0
66	0.04757453359944114	0.17142480235394641	0	0	0	0
67	0.03983725758747181	0.1850912592904972	0	0	0	0
68	0.04345932319740581	0.17419380665919215	0	0	0	0
69	0.05917581455109511	0.14298026647367887	0	0	0	0
70	0.03907710495077332	0.16698941947743498	0	0	0	0
71	0.03996355015524544	0.1807135497440974	0	0	0	0
72	0.03967088972134264	0.17137482954905195	0	0	0	0
73	0.03902954109942558	0.19366528336724728	0	0	0	0
74	0.044328457774966745	0.17401240697484063	0	0	0	0
75	0.039650600431655636	0.18346192379184179	0	0	0	0
76	0.040064579097237984	0.18001852879334282	0	0	0	0
77	0.04993812621390026	0.1540489867674848	0	0	0	0
78	0.04423653049720194	0.16534247349941644	0	0	0	0
79	0.0586267393991734	0.13342248671257506	0	0	0	0
80	0.044353662676171524	0.18014807767797536	0	0	0	0
81	0.050460166834588094	0.15663359901721577	0	0	0	0
82	0.05329275993630922	0.1739562541206384	0	0	0	0
83	0.0564532060915251	0.16410389664625602	0	0	0	0
84	0.06355122075223474	0.12701275541765425	0	0	0	0
85	0.05824751259541361	0.13955537404339968	0	0	0	0
86	0.050952871731862914	0.15487069640189155	0	0	0	0
87	0.04895273899384889	0.13394242664722666	0	0	0	0
88	0.04624907383574539	0.16005341075567814	0	0	0	0
89	0.039452549188861874	0.16562856699179815	0	0	0	0
90	0.041592310571759716	0.1539786775524974	0	0	0	0
91	0.04265662058650643	0.16164308768754335	0	0	0	0
92	0.039898376660870594	0.15818772896763064	0	0	0	0
93	0.04553489591870835	0.1715511952920216	0	0	0	0
94	0.03818722953034781	0.17647870041899205	0	0	0	0
95	0.046849762700353126	0.1646713909272298	0	0	0	0
96	0.048202903465665026	0.15221283334391722	0	0	0	0
97	0.044085301738273186	0.14639342982353556	0	0	0	0
98	0.03861194509607446	0.1639472115018017	0	0	0	0
99	0.038106793667513905	0.160840346942647	0	0	0	0
100	0.031176480954852925	0.12388177693362896	0	0	0	0
101	0.042715074345003656	0.1284765205090471	0	0	0	0
102	0.03896223754659234	0.1449233319773732	0	0	0	0
103	0.04858751229443159	0.13830995571884194	0	0	0	0
104	0.025130954476505374	0.12173651811305201	0	0	0	0
105	0.03790872900656517	0.15199484416091877	0	0	0	0
106	0.047309817766383544	0.14775842286492402	0	0	0	0
107	0.03842557225381038	0.1518330208965546	0	0	0	0
108	0.03723283086502882	0.16487073602006372	0	0	0	0
109	0.05231301422775225	0.1440258145015382	0	0	0	0
110	0.02850834706283434	0.1505907937595697	0	0	0	0
111	0.025205453688884494	0.14826894569075333	0	0	0	0
112	0.04685592846953879	0.12244875388417371	0	0	0	0
113	0.04241868396574966	0.14220031347335116	0	0	0	0
114	0.04866656550195503	0.13686030611524927	0	0	0	0
115	0.031773323489861616	0.13888499449417532	0	0	0	0
116	0.030852527833821197	0.12876413659716324	0	0	0	0
117	0.041406517189943925	0.1252634230817915	0	0	0	0
118	0.04997731466492916	0.1296143316015214	0	0	0	0
119	0.04022488866655838	0.12621780726084544	0	0	0	0
120	0.05384750858700471	0.12170220062475819	0	0	0	0
121	0.05284334437680471	0.12281293780266737	0	0	0	0
122	0.05119015522715242	0.13387083347597528	0	0	0	0
123	0.04066217804264738	0.12358774234242238	0	0	0	0
124	0.03307837573371175	0.13628059932110462	0	0	0	0
125	0.046132492865682884	0.12603599593807466	0	0	0	0
126	0.04157114015683827	0.12010041058847887	0	0	0	0
127	0.028093090390850284	0.12511160848517763	0	0	0	0
128	0.031183619087974845	0.11235987345475618	0	0	0	0
129	0.054463970079314805	0.13182633911025707	0	0	0	0
130	0.04472170051460411	0.11877513843555058	0	0	0	0
131	0.026179616685502505	0.12264744931819178	0	0	0	0
132	0.02135231414793759	0.13881137094902693	0	0	0	0
133	0.03370832693653869	0.13803820129230351	0	0	0	0
134	0.03216745589475212	0.16784348477381558	0	0	0	0
135	0.029885439822993742	0.14544063208615268	0	0	0	0
136	0.022718642918651	0.12785141256427934	0	0	0	0
137	0.04532327486599963	0.11183952531239279	0	0	0	0
138	0.039174045317648565	0.1137974177315076	0	0	0	0
139	0.040049714530454805	0.12537252950040756	0	0	0	0
