epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.0002914033089151391	0.1586272888619387	0.002020755549892783	-4.999969959259033	-3.239786019548774e-05	-4.999969959259033
2	0.0010869309077631908	0.17563670003149348	0.0020185024477541447	-4.999939918518066	-3.234917312511243e-05	-4.999939441680908
3	0.0013555007863961244	0.17763322710733442	0.0020231560338288546	-4.9999098777771	-3.2058294891612604e-05	-4.999908924102783
4	0.001901010117050704	0.18350636747855828	0.0020169520284980536	-4.999879837036133	-3.1528787076240405e-05	-4.999878406524658
5	0.0025038741382219926	0.193349440404867	0.0020099878311157227	-4.999849796295166	-3.1103721994441e-05	-4.999848365783691
6	0.0010780307067634332	0.2008714875341339	0.0020096818916499615	-4.999819755554199	-3.071351966354996e-05	-4.999817848205566
7	0.001875492118108571	0.20001328625030024	0.0020173860248178244	-4.999789714813232	-3.068920341320336e-05	-4.999787330627441
8	0.0021146421765925183	0.20714610973162295	0.002023720880970359	-4.999759674072266	-3.0722570954822004e-05	-4.999756813049316
9	0.003243107103707926	0.21412843463540146	0.002029275055974722	-4.999729633331299	-3.0566043278668076e-05	-4.999728202819824
10	0.009389604151764486	0.21998300074937713	0.002032920252531767	-4.999699592590332	-3.0337901989696547e-05	-4.999697685241699
11	0.005780258736416577	0.23001559564823593	0.002035282552242279	-4.999669551849365	-3.0363842597580515e-05	-4.999667167663574
12	0.006074010308354139	0.22598737300119023	0.002038332400843501	-4.999639511108398	-3.0247671020333655e-05	-4.999637126922607
13	0.015416941447076754	0.2281728122791263	0.0020443464163690805	-4.999609470367432	-3.003069468832109e-05	-4.999606609344482
14	0.009362873934393834	0.22837420287958254	0.0020446458365768194	-4.999579429626465	-2.989965651067905e-05	-4.999576091766357
15	0.01734789977105397	0.2324763950616681	0.0020409459248185158	-4.999549388885498	-2.9761340556433424e-05	-4.999545574188232
16	0.02221622799146286	0.2266079511624793	0.002036282792687416	-4.999519348144531	-2.9642964364029467e-05	-4.999515533447266
17	0.010394086280447218	0.23924825955853937	0.002030273200944066	-4.9994893074035645	-2.944104198832065e-05	-4.999492645263672
18	0.01325795845139699	0.23574130249588698	0.00202571926638484	-4.999459266662598	-2.9332215490285307e-05	-4.999462127685547
