epoch	batch	iter	loss	acc	lr
1	1	1	2.076230764389038	20.0	1e-06
1	2	2	2.022940158843994	20.0	1e-06
1	3	3	2.1639997959136963	20.0	1e-06
2	1	4	2.029956817626953	18.0	1e-06
2	2	5	2.3054680824279785	24.0	1e-06
2	3	6	2.103020429611206	5.0	1e-06
3	1	7	1.9571789503097534	28.0	1e-06
3	2	8	2.191033124923706	14.0	1e-06
3	3	9	2.6362476348876953	15.0	1e-06
4	1	10	2.1055054664611816	12.0	1e-06
4	2	11	1.8925673961639404	12.0	1e-06
4	3	12	2.4141428470611572	25.0	1e-06
5	1	13	1.923316478729248	24.0	1e-06
5	2	14	2.3243846893310547	14.0	1e-06
5	3	15	1.865277647972107	25.0	1e-06
6	1	16	2.5388376712799072	16.0	1e-06
6	2	17	1.927401065826416	24.0	1e-06
6	3	18	1.8009965419769287	25.0	1e-06
7	1	19	2.249575138092041	18.0	1e-06
7	2	20	2.0803089141845703	10.0	1e-06
7	3	21	1.8494513034820557	20.0	1e-06
8	1	22	1.8691229820251465	24.0	1e-06
8	2	23	2.108750581741333	16.0	1e-06
8	3	24	1.8275492191314697	25.0	1e-06
9	1	25	1.899010419845581	14.0	1e-06
9	2	26	2.339505195617676	18.0	1e-06
9	3	27	2.0248866081237793	10.0	1e-06
10	1	28	2.226741075515747	20.0	1e-06
10	2	29	1.918357253074646	22.0	1e-06
10	3	30	2.2475638389587402	5.0	1e-06
11	1	31	1.9685591459274292	12.0	1e-06
11	2	32	2.655724287033081	6.0	1e-06
11	3	33	2.6394219398498535	10.0	1e-06
