epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	7.409515788148191e-07	0.14998711835635267	0	0	0	0
2	3.813579940926959e-06	0.179338581575861	0	0	0	0
3	4.636399663818236e-06	0.2035506511579134	0	0	0	0
4	3.751015325376139e-06	0.22304818996089915	0	0	0	0
5	1.8777388712282184e-05	0.23320667703419948	0	0	0	0
6	1.8152555532641168e-05	0.2375993874557376	0	0	0	0
7	2.0800611837679117e-05	0.23870087234738838	0	0	0	0
8	1.8549246268373398e-05	0.2324739372122461	0	0	0	0
9	0.00012272197634924376	0.2409415353037807	0	0	0	0
10	0.0002273111748223311	0.24052179699855447	0	0	0	0
11	0.0003897941960953888	0.23901638533922123	0	0	0	0
12	0.0017101769997404648	0.23297898891179014	0	0	0	0
13	0.005612092365367444	0.22992556601760059	0	0	0	0
14	0.0032356088070280564	0.243612570779813	0	0	0	0
15	0.0067350327140403565	0.23891077346465842	0	0	0	0
16	0.007004399714618137	0.24290320899680454	0	0	0	0
17	0.009019747709526404	0.2409287100491022	0	0	0	0
18	0.006423224899173435	0.24099282471628589	0	0	0	0
19	0.011021760069358733	0.23896331929619574	0	0	0	0
20	0.010106193268667962	0.23984995720853167	0	0	0	0
21	0.003375035321775355	0.2459274686535516	0	0	0	0
22	0.024935646983393678	0.2224478522519512	0	0	0	0
23	0.031028256786852226	0.21483295728819254	0	0	0	0
24	0.020909278429552425	0.22361048850296342	0	0	0	0
25	0.008942748239246956	0.24032269453169763	0	0	0	0
26	0.02064729637500029	0.2248824775276476	0	0	0	0
27	0.026364961197975767	0.20995426456545227	0	0	0	0
28	0.04004569003012487	0.19553669384487002	0	0	0	0
29	0.04427380323707886	0.1987487493482294	0	0	0	0
30	0.03986076906517272	0.2004327912991383	0	0	0	0
31	0.030987009427933088	0.20431934820358913	0	0	0	0
32	0.03679638898548948	0.18498515902637017	0	0	0	0
33	0.0052877097581249255	0.23181041806944447	0	0	0	0
34	0.014779657361406018	0.20923225329978448	0	0	0	0
35	0.037221977210962376	0.1886363446562982	0	0	0	0
36	0.025381063079062738	0.19444952897602286	0	0	0	0
37	0.016835731851843505	0.19964804864356545	0	0	0	0
38	0.010702735452064127	0.21077052164644852	0	0	0	0
39	0.009652911980748469	0.20188291963119642	0	0	0	0
40	0.014315007470603158	0.20266256568856664	0	0	0	0
41	0.029354281382118486	0.2031870740458417	0	0	0	0
42	0.017843188306406188	0.22290260836194378	0	0	0	0
43	0.023811731915452716	0.2165110325210935	0	0	0	0
44	0.03069318985220454	0.1978214819393941	0	0	0	0
45	0.018730889877930257	0.21806245743204275	0	0	0	0
46	0.025882955845126954	0.19963499518402364	0	0	0	0
47	0.02708386664344753	0.19947747655585565	0	0	0	0
48	0.01848181033500962	0.20411531892251364	0	0	0	0
49	0.017197644743642937	0.22364381140364112	0	0	0	0
50	0.02276758939209983	0.20861836569856637	0	0	0	0
51	0.02472590846289796	0.19031634018102897	0	0	0	0
52	0.028926346349582244	0.20559010110182338	0	0	0	0
53	0.01262617407870037	0.206925842959628	0	0	0	0
54	0.017035032472611067	0.19012469950674138	0	0	0	0
55	0.021956799392494397	0.19934269762229703	0	0	0	0
56	0.023876566220293938	0.19717824100854853	0	0	0	0
57	0.027704021899524145	0.20675781656077374	0	0	0	0
58	0.024862888207670686	0.18688593650776664	0	0	0	0
59	0.029714664336077612	0.18351810085363054	0	0	0	0
60	0.0261041140178227	0.18430904576942328	0	0	0	0
61	0.02421136552765435	0.1771960166975779	0	0	0	0
62	0.03072585344832357	0.17193739976754982	0	0	0	0
63	0.03293642742421987	0.17324716045761415	0	0	0	0
64	0.03551516834162899	0.17571557954140685	0	0	0	0
65	0.03713856867432341	0.17591631234741442	0	0	0	0
66	0.03356927840974866	0.16697362333373697	0	0	0	0
67	0.03127379863087387	0.15856009735214513	0	0	0	0
68	0.029673243251666093	0.15387293608832717	0	0	0	0
