epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	4.310024288370351e-07	0.1420538196065546	0	0	0	0
2	9.814220584131172e-07	0.14321875031000436	0	0	0	0
3	2.4633332699613986e-06	0.14416052592755596	0	0	0	0
4	3.2912055137890306e-06	0.14545604834184067	0	0	0	0
5	5.324291370581435e-06	0.14651628937557729	0	0	0	0
6	5.300027322144296e-06	0.14809831605878584	0	0	0	0
7	6.313247400913102e-06	0.1498592678340737	0	0	0	0
8	1.0249726197474052e-05	0.1512843612797599	0	0	0	0
9	1.703280700034171e-05	0.152999256951921	0	0	0	0
10	2.9145554450001054e-05	0.15419305381048595	0	0	0	0
11	1.6505378631383183e-05	0.15497037361501945	0	0	0	0
12	1.9739910403916705e-05	0.1550001656514505	0	0	0	0
13	2.368617139089646e-05	0.1545070668944116	0	0	0	0
14	4.394241743641003e-05	0.15412573965664875	0	0	0	0
15	3.88630663447978e-05	0.154134190988856	0	0	0	0
16	3.402190743506672e-05	0.15431438174551868	0	0	0	0
17	3.7150101399908986e-05	0.15486440474703986	0	0	0	0
18	4.860920491508297e-05	0.15590463980098904	0	0	0	0
19	5.521568446002073e-05	0.15794859390506433	0	0	0	0
20	8.038761529365057e-05	0.1601816746225351	0	0	0	0
21	0.0001287605612441886	0.16185329518278277	0	0	0	0
22	0.0001935722608571097	0.16346991669921143	0	0	0	0
23	0.00024047344373091806	0.16495129700868388	0	0	0	0
24	0.0002766075704932064	0.16632747576057252	0	0	0	0
25	0.00031321232021795653	0.1672979240982622	0	0	0	0
26	0.0003727641218933611	0.16856235151778587	0	0	0	0
27	0.00040930573680610094	0.16926619936013299	0	0	0	0
28	0.00048328846973074574	0.17042649143410907	0	0	0	0
29	0.0005187657382900099	0.17103210789850298	0	0	0	0
30	0.0005308318286737154	0.17114331512972472	0	0	0	0
31	0.0005613881815365457	0.17196155292087792	0	0	0	0
32	0.000598902583649634	0.17222233570807052	0	0	0	0
33	0.0006227726533718711	0.17296209403825294	0	0	0	0
34	0.0006290270776098741	0.1731265161006448	0	0	0	0
35	0.0006933752793348638	0.17429513581989645	0	0	0	0
36	0.0007681034494876546	0.17536128296310882	0	0	0	0
37	0.0007799573261816142	0.17540631670344356	0	0	0	0
38	0.000766915718587613	0.1757788226757373	0	0	0	0
39	0.0007436155206515388	0.17611963404907507	0	0	0	0
