epoch	batch	iter	loss	acc	lr
1	1	1	1.7824041843414307	12.0	1e-06
1	2	2	1.847174882888794	16.0	1e-06
1	3	3	1.7495677471160889	50.0	1e-06
2	1	4	1.824720859527588	14.0	1e-06
2	2	5	1.8071686029434204	10.0	1e-06
2	3	6	1.870520830154419	50.0	1e-06
3	1	7	1.8000259399414062	14.0	1e-06
3	2	8	1.804807186126709	10.0	1e-06
3	3	9	1.8125898838043213	50.0	1e-06
4	1	10	1.8009780645370483	14.0	1e-06
4	2	11	1.8008650541305542	10.0	1e-06
4	3	12	1.9582351446151733	0.0	1e-06
5	1	13	1.8176301717758179	16.0	1e-06
5	2	14	1.7819730043411255	16.0	1e-06
5	3	15	1.7841875553131104	0.0	1e-06
6	1	16	1.7717763185501099	18.0	1e-06
6	2	17	1.8010298013687134	12.0	1e-06
6	3	18	1.6594130992889404	50.0	1e-06
7	1	19	1.7617703676223755	22.0	1e-06
7	2	20	1.809745192527771	10.0	1e-06
7	3	21	1.9559789896011353	0.0	1e-06
8	1	22	1.811545729637146	10.0	1e-06
8	2	23	1.7667503356933594	24.0	1e-06
8	3	24	1.7288365364074707	50.0	1e-06
9	1	25	1.7924587726593018	12.0	1e-06
9	2	26	1.7799264192581177	22.0	1e-06
9	3	27	1.7159521579742432	50.0	1e-06
10	1	28	1.764674425125122	18.0	1e-06
10	2	29	1.7516348361968994	28.0	1e-06
10	3	30	1.875907063484192	0.0	1e-06
11	1	31	1.792381763458252	16.0	1e-06
11	2	32	1.7484110593795776	22.0	1e-06
11	3	33	1.8032420873641968	0.0	1e-06
12	1	34	1.760727047920227	20.0	1e-06
12	2	35	1.7620744705200195	26.0	1e-06
12	3	36	1.577203392982483	100.0	1e-06
13	1	37	1.78019380569458	22.0	1e-06
13	2	38	1.748153805732727	22.0	1e-06
13	3	39	1.5740172863006592	50.0	1e-06
14	1	40	1.7389863729476929	28.0	1e-06
14	2	41	1.7932074069976807	16.0	1e-06
14	3	42	1.7935371398925781	0.0	1e-06
15	1	43	1.7345657348632812	24.0	1e-06
15	2	44	1.7828232049942017	18.0	1e-06
15	3	45	1.9139995574951172	0.0	1e-06
16	1	46	1.741732120513916	24.0	1e-06
16	2	47	1.7173560857772827	32.0	1e-06
16	3	48	1.8991888761520386	0.0	1e-06
17	1	49	1.7739508152008057	30.0	1e-06
17	2	50	1.740990400314331	28.0	1e-06
17	3	51	1.7123318910598755	0.0	1e-06
18	1	52	1.747514247894287	34.0	1e-06
18	2	53	1.7155494689941406	20.0	1e-06
18	3	54	1.9807795286178589	0.0	1e-06
19	1	55	1.801604151725769	24.0	1e-06
19	2	56	1.718783974647522	30.0	1e-06
19	3	57	1.5913400650024414	50.0	1e-06
20	1	58	1.7368745803833008	26.0	1e-06
20	2	59	1.7248667478561401	38.0	1e-06
20	3	60	1.82271409034729	0.0	1e-06
21	1	61	1.7057996988296509	28.0	1e-06
21	2	62	1.7408474683761597	30.0	1e-06
21	3	63	1.7412192821502686	50.0	1e-06
22	1	64	1.7532817125320435	24.0	1e-06
22	2	65	1.7067351341247559	32.0	1e-06
22	3	66	1.611956238746643	50.0	1e-06
