epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
41	0.05941130841497466	0.18837745549883414	0.0019741456490010023	-4.997927665710449	-4.18732306570746e-05	-4.997925758361816
42	0.0404080378993239	0.20859849603209524	0.001968155615031719	-4.99787712097168	-4.2204326746286824e-05	-4.997878074645996
43	0.045968493827335116	0.20379486242574765	0.001968969125300646	-4.99782657623291	-4.2340459913248196e-05	-4.997829914093018
44	0.03027257130073413	0.21918693485555685	0.001964241499081254	-4.997776031494141	-4.30478248745203e-05	-4.997773170471191
45	0.0597789042162466	0.1895720131130385	0.0019698699470609426	-4.997725486755371	-4.281912333681248e-05	-4.997725486755371
46	0.05011322566555648	0.19980298495872675	0.001974525162950158	-4.997674942016602	-4.255977910361253e-05	-4.997677326202393
47	0.04586763267531363	0.20339861626546188	0.001980968751013279	-4.997624397277832	-4.268320481060073e-05	-4.997622489929199
48	0.028316093743917248	0.22148910442010866	0.0019826525822281837	-4.9975738525390625	-4.282319059711881e-05	-4.997573375701904
49	0.05803192621397413	0.18936788598830448	0.001981208333745599	-4.997523307800293	-4.289388016331941e-05	-4.997525215148926
50	0.04797627381499392	0.19817718422631253	0.001991192577406764	-4.997472763061523	-4.3013369577238336e-05	-4.997470378875732
51	0.05207693416074077	0.1978825353351683	0.001985813258215785	-4.997422218322754	-4.352886026026681e-05	-4.997422218322754
52	0.048765854140146836	0.20088819066604024	0.001978139625862241	-4.997371673583984	-4.3518048187252134e-05	-4.997374534606934
53	0.04937289170313208	0.19979545692774145	0.001974557526409626	-4.997321128845215	-4.343181717558764e-05	-4.997317790985107
54	0.037376958201299326	0.21100444753817746	0.0019747258629649878	-4.997270584106445	-4.3783387809526175e-05	-4.997269630432129
55	0.02643612860965422	0.22302994904250992	0.001972820842638612	-4.997220039367676	-4.380052268970758e-05	-4.997221946716309
56	0.05643960210613341	0.1910700816290388	0.001974279759451747	-4.997169494628906	-4.4139269448351115e-05	-4.997165679931641
57	0.04273019593602079	0.1976982964734097	0.001974622020497918	-4.997118949890137	-4.462655488168821e-05	-4.99711799621582
58	0.06236291647748099	0.18543277600603608	0.0019736778922379017	-4.997068405151367	-4.4505384721560404e-05	-4.997069835662842
59	0.035943823967222954	0.2099610199834408	0.001975567312911153	-4.997017860412598	-4.526052362052724e-05	-4.997020721435547
60	0.05056795319288049	0.17358199295533266	0.001973832491785288	-4.996967315673828	-4.5589589717565104e-05	-4.996965408325195
61	0.06645439845686163	0.1760656347085577	0.001974067883566022	-4.996916770935059	-4.555848136078566e-05	-4.996917247772217
62	0.045676157782631344	0.1933847821772455	0.0019718960393220186	-4.996866226196289	-4.553937105811201e-05	-4.996868133544922
63	0.05368878411403605	0.1770955794017548	0.0019593837205320597	-4.9968156814575195	-4.5773696911055595e-05	-4.996814250946045
64	0.03803608005960002	0.19202096484636982	0.001960391877219081	-4.99676513671875	-4.564212940749712e-05	-4.99676513671875
65	0.04048534560683653	0.20644262265641294	0.0019582088571041822	-4.9967145919799805	-4.572000398184173e-05	-4.996716022491455
66	0.04499035018767422	0.20099184262657674	0.001959394197911024	-4.996664047241211	-4.613019700627774e-05	-4.996662139892578
67	0.04312124237373194	0.18376154335025507	0.0019612435717135668	-4.996613502502441	-4.601349792210385e-05	-4.996613025665283
68	0.0669812107218471	0.17658682765750214	0.0019454770954325795	-4.996562957763672	-4.640346742235124e-05	-4.996565341949463
69	0.03785071449191402	0.20721863869782173	0.0019557687919586897	-4.996512413024902	-4.626849477062933e-05	-4.996509552001953
70	0.038552091792236565	0.19197297735531946	0.0019491163548082113	-4.996461868286133	-4.641072155209258e-05	-4.996460437774658
71	0.049750753313278495	0.1910288268606668	0.0019505575764924288	-4.996411323547363	-4.670407361118123e-05	-4.996412754058838
72	0.0427696836649793	0.19829377849382399	0.001949034514836967	-4.996360778808594	-4.6855373511789367e-05	-4.996364593505859
73	0.06278443268803813	0.18105428763019651	0.001957900822162628	-4.996310234069824	-4.651704875868745e-05	-4.996308326721191
74	0.041218709197544945	0.1931515198315598	0.0019640729296952486	-4.996259689331055	-4.652445204555988e-05	-4.996260643005371
75	0.051215049376950816	0.17308253889085107	0.001964500406756997	-4.996209144592285	-4.6690431190654635e-05	-4.996212482452393
76	0.053988855004274916	0.18837589305990482	0.001967604272067547	-4.996158599853516	-4.6734425268368796e-05	-4.996155738830566
77	0.04422850191891925	0.1894429994447599	0.0019780644215643406	-4.996108055114746	-4.6778444811934605e-05	-4.996108055114746
78	0.05147038824137634	0.18536625031852197	0.001980880508199334	-4.996057510375977	-4.7045912651810795e-05	-4.996059894561768
79	0.03501567751102608	0.19841864367971937	0.0019926324021071196	-4.996006965637207	-4.731693843496032e-05	-4.996005058288574
80	0.04220437290937762	0.18643728622826336	0.0019993360619992018	-4.9959564208984375	-4.737740528071299e-05	-4.995956897735596
