epoch	batch	iter	loss	acc	lr
1	1	1	2.7694005966186523	12.0	1e-06
1	2	2	3.0824553966522217	6.0	1e-06
1	3	3	2.8858225345611572	8.0	1e-06
1	4	4	2.941183090209961	18.0	1e-06
1	5	5	2.805026054382324	12.0	1e-06
1	6	6	2.5615041255950928	12.0	1e-06
1	7	7	2.6631360054016113	4.0	1e-06
1	8	8	2.8437862396240234	6.0	1e-06
1	9	9	2.644803762435913	14.0	1e-06
1	10	10	2.673124074935913	6.0	1e-06
1	11	11	2.585536241531372	8.0	1e-06
1	12	12	3.048095464706421	10.0	1e-06
1	13	13	2.7391717433929443	12.0	1e-06
1	14	14	2.807555913925171	8.0	1e-06
1	15	15	3.144054651260376	6.0	1e-06
1	16	16	2.627070426940918	14.0	1e-06
1	17	17	3.2679431438446045	8.0	1e-06
1	18	18	2.933406352996826	10.0	1e-06
1	19	19	2.8184614181518555	12.0	1e-06
1	20	20	2.7728111743927	8.0	1e-06
1	21	21	2.574385166168213	18.0	1e-06
1	22	22	2.9643824100494385	6.0	1e-06
1	23	23	3.0126421451568604	8.0	1e-06
1	24	24	2.5134341716766357	10.0	1e-06
1	25	25	2.9540774822235107	10.0	1e-06
1	26	26	2.7484607696533203	6.0	1e-06
1	27	27	3.0589513778686523	4.0	1e-06
1	28	28	2.3454437255859375	12.0	1e-06
1	29	29	3.067551374435425	4.0	1e-06
1	30	30	2.5094454288482666	16.0	1e-06
1	31	31	2.7619574069976807	14.0	1e-06
1	32	32	2.8435420989990234	14.0	1e-06
1	33	33	2.5915069580078125	10.0	1e-06
1	34	34	2.647671699523926	12.0	1e-06
1	35	35	3.111025333404541	10.0	1e-06
1	36	36	2.47367262840271	6.0	1e-06
1	37	37	3.097243070602417	6.0	1e-06
1	38	38	2.5058352947235107	6.0	1e-06
1	39	39	3.0245537757873535	2.0	1e-06
1	40	40	2.6754848957061768	4.0	1e-06
1	41	41	2.539245367050171	10.0	1e-06
1	42	42	2.702131748199463	14.0	1e-06
1	43	43	3.038947343826294	20.0	1e-06
1	44	44	2.7769663333892822	10.0	1e-06
1	45	45	2.7506330013275146	12.0	1e-06
1	46	46	2.518456220626831	12.0	1e-06
1	47	47	2.4853925704956055	10.0	1e-06
1	48	48	2.7393546104431152	6.0	1e-06
1	49	49	3.108760356903076	12.0	1e-06
1	50	50	2.4074699878692627	10.0	1e-06
1	51	51	2.85823917388916	10.0	1e-06
1	52	52	2.4564075469970703	16.0	1e-06
1	53	53	2.540583610534668	8.571428571428571	1e-06
2	1	54	2.8562378883361816	10.0	1e-06
2	2	55	2.613983392715454	4.0	1e-06
2	3	56	2.7159698009490967	8.0	1e-06
2	4	57	2.9624648094177246	10.0	1e-06
2	5	58	2.4909424781799316	6.0	1e-06
2	6	59	2.6358394622802734	12.0	1e-06
2	7	60	2.58652400970459	12.0	1e-06
2	8	61	2.8545150756835938	6.0	1e-06
2	9	62	2.9473001956939697	6.0	1e-06
2	10	63	2.902341604232788	14.0	1e-06
2	11	64	2.944108486175537	4.0	1e-06
2	12	65	2.772533655166626	8.0	1e-06
2	13	66	2.6493210792541504	12.0	1e-06
2	14	67	2.996185064315796	8.0	1e-06
2	15	68	2.9646120071411133	4.0	1e-06
2	16	69	2.8140673637390137	12.0	1e-06
2	17	70	2.6242973804473877	12.0	1e-06
2	18	71	2.8842761516571045	14.0	1e-06
2	19	72	2.637819290161133	10.0	1e-06
2	20	73	3.027575969696045	2.0	1e-06
2	21	74	2.8100030422210693	6.0	1e-06
2	22	75	2.54025936126709	10.0	1e-06
2	23	76	2.6493184566497803	14.0	1e-06
2	24	77	2.5741772651672363	18.0	1e-06
2	25	78	2.6863455772399902	6.0	1e-06
2	26	79	2.6131317615509033	8.0	1e-06
2	27	80	2.5958940982818604	10.0	1e-06
2	28	81	3.1594436168670654	12.0	1e-06
2	29	82	2.7652900218963623	6.0	1e-06
2	30	83	3.2025973796844482	2.0	1e-06
2	31	84	2.632603645324707	16.0	1e-06
2	32	85	2.530917167663574	6.0	1e-06
2	33	86	2.6855456829071045	12.0	1e-06
2	34	87	2.5042004585266113	18.0	1e-06
2	35	88	2.7918145656585693	14.0	1e-06
2	36	89	2.6850364208221436	6.0	1e-06
2	37	90	2.689802646636963	4.0	1e-06
2	38	91	2.576075553894043	8.0	1e-06
2	39	92	2.7357795238494873	12.0	1e-06
2	40	93	2.92861270904541	6.0	1e-06
2	41	94	2.9041006565093994	10.0	1e-06
2	42	95	2.8566219806671143	14.0	1e-06
2	43	96	2.930399179458618	8.0	1e-06
2	44	97	2.975511074066162	8.0	1e-06
2	45	98	2.5862374305725098	20.0	1e-06
2	46	99	3.1525559425354004	6.0	1e-06
2	47	100	2.563096046447754	10.0	1e-06
2	48	101	2.666940689086914	4.0	1e-06
2	49	102	2.5254666805267334	10.0	1e-06
2	50	103	2.9289510250091553	12.0	1e-06
2	51	104	2.7218093872070312	12.0	1e-06
2	52	105	2.7034788131713867	14.0	1e-06
2	53	106	2.5915582180023193	11.428571428571429	1e-06
3	1	107	3.179201364517212	8.0	1e-06
3	2	108	2.9633841514587402	10.0	1e-06
3	3	109	2.7785894870758057	12.0	1e-06
3	4	110	2.815138339996338	6.0	1e-06
3	5	111	3.2682416439056396	4.0	1e-06
3	6	112	3.1986007690429688	4.0	1e-06
3	7	113	2.7899439334869385	12.0	1e-06
3	8	114	2.6233010292053223	16.0	1e-06
3	9	115	2.469548463821411	4.0	1e-06
3	10	116	2.612689256668091	12.0	1e-06
3	11	117	2.736220121383667	10.0	1e-06
3	12	118	2.439662218093872	12.0	1e-06
3	13	119	2.751420497894287	6.0	1e-06
3	14	120	2.7244460582733154	14.0	1e-06
3	15	121	2.6096746921539307	10.0	1e-06
3	16	122	2.8997552394866943	6.0	1e-06
3	17	123	2.519824266433716	12.0	1e-06
