epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.0004434028627646053	0.14286179863299092	0	0	0	0
2	0.0010138956005411488	0.1386704322838824	0	0	0	0
3	0.009463142210046266	0.17914167811208115	0	0	0	0
4	0.009466964516794268	0.18796906955486983	0	0	0	0
5	0.008537227092762986	0.20232141394597986	0	0	0	0
6	0.033766367363479904	0.21504932744073985	0	0	0	0
7	0.025341854860381957	0.21934346418299316	0	0	0	0
8	0.011558907589433565	0.22201968072021505	0	0	0	0
9	0.04077512747892703	0.20799612953141966	0	0	0	0
10	0.02419455353340147	0.2257720139951321	0	0	0	0
11	0.04954223385149931	0.1950576674233678	0	0	0	0
12	0.046744175434006	0.19076161254719767	0	0	0	0
13	0.023951324038991112	0.22552567506118	0	0	0	0
14	0.06415745193959027	0.17601161831916032	0	0	0	0
15	0.032097163806514784	0.21384048091453786	0	0	0	0
16	0.0337886709514395	0.2160850558001625	0	0	0	0
17	0.04707047126452252	0.19459773409369566	0	0	0	0
18	0.05478716166981773	0.16073720010888998	0	0	0	0
19	0.03579603945614207	0.21378008138835378	0	0	0	0
20	0.03463433291447643	0.20737475172950903	0	0	0	0
21	0.044442072987037784	0.17510713703170647	0	0	0	0
22	0.032025082417334705	0.16904999527430525	0	0	0	0
23	0.028457123513358995	0.20739719140508286	0	0	0	0
24	0.037303216872281886	0.17884900793750572	0	0	0	0
25	0.0327276387955604	0.17953759745369502	0	0	0	0
26	0.04786429347339477	0.17256503522757655	0	0	0	0
27	0.03160902587193004	0.1632610430102428	0	0	0	0
28	0.05608178613286385	0.1705019956375992	0	0	0	0
29	0.04851041409829243	0.1640161929263208	0	0	0	0
30	0.052757937508164376	0.15405614500811282	0	0	0	0
31	0.0398745338434886	0.17566015005770277	0	0	0	0
32	0.04841147956593195	0.17390719132639174	0	0	0	0
33	0.02672665420047604	0.16037812980518976	0	0	0	0
34	0.04344630148776585	0.1528328505018711	0	0	0	0
35	0.041404807451981496	0.18810709444156393	0	0	0	0
36	0.033000669781204695	0.17483583373411352	0	0	0	0
37	0.03242947989686007	0.15502902540518945	0	0	0	0
38	0.0613847871935681	0.12840173959192538	0	0	0	0
39	0.0351296512675946	0.142276557773677	0	0	0	0
40	0.042414968811514187	0.14633311116291106	0	0	0	0
41	0.04576817187435567	0.15192472129193937	0	0	0	0
42	0.03547250711612149	0.138807956170295	0	0	0	0
43	0.032936709299399625	0.1352130571734395	0	0	0	0
44	0.04297051526731133	0.11777668927953125	0	0	0	0
45	0.04069329177382486	0.15314702673427974	0	0	0	0
46	0.047938248699551544	0.15816866546758482	0	0	0	0
47	0.04247656401394506	0.1623815278108129	0	0	0	0
48	0.052798372707080654	0.14003900142591008	0	0	0	0
49	0.03726639351970229	0.13983175397405084	0	0	0	0
50	0.03660974929396266	0.1547960400262151	0	0	0	0
51	0.02769690471121844	0.13518893778964386	0	0	0	0
52	0.029601007667009793	0.15486968301914902	0	0	0	0
53	0.03045758755284722	0.13230979338986737	0	0	0	0
54	0.043150127077949074	0.13821076755081996	0	0	0	0
55	0.031917422086991665	0.1300602280780923	0	0	0	0
56	0.02820042853045146	0.13357506605477804	0	0	0	0
57	0.03994891889147523	0.13154879008377546	0	0	0	0
58	0.03101769790220288	0.1361935505891873	0	0	0	0
59	0.04117910588254192	0.13091769208805565	0	0	0	0
60	0.032717580199777	0.13460336747679408	0	0	0	0
61	0.03763864500080172	0.128583135372982	0	0	0	0
62	0.04195439305585913	0.13069417261551713	0	0	0	0
63	0.04109615548607659	0.13050963743002017	0	0	0	0
64	0.0402227621305018	0.12966414258736955	0	0	0	0
65	0.03949075393614587	0.1311184023233039	0	0	0	0
66	0.04053488064633437	0.13111804570859104	0	0	0	0
67	0.03927388040227475	0.12409311759520891	0	0	0	0
68	0.03253492721961415	0.13216036900488012	0	0	0	0
69	0.03161120931329542	0.1308064109483424	0	0	0	0
70	0.03247856640955782	0.12635132222867357	0	0	0	0
