epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.0001048420282783076	0.1304750354427367	0	0	0	0
2	0.0015866136313756676	0.14186733302151827	0	0	0	0
3	0.001925603396639823	0.1486220753319123	0	0	0	0
4	0.0013631603260791034	0.1531847449782182	0	0	0	0
5	0.0035911613505541923	0.17875355532054815	0	0	0	0
6	0.0027859309381302183	0.1898745369359553	0	0	0	0
7	0.014674306469588339	0.21053603558889789	0	0	0	0
8	0.006765786031951229	0.2161014058616701	0	0	0	0
9	0.019041918547308134	0.22006589243495472	0	0	0	0
10	0.03645977282489504	0.21353320467428363	0	0	0	0
11	0.0380257826309755	0.20857924819081686	0	0	0	0
12	0.04144525489093065	0.19906916403325986	0	0	0	0
13	0.04163819890020104	0.2057470401694999	0	0	0	0
14	0.0427258961399507	0.19917260593800118	0	0	0	0
15	0.04515843015545262	0.1881936780809307	0	0	0	0
16	0.043185499616011536	0.205759668657562	0	0	0	0
17	0.04909965182733428	0.1765077605064221	0	0	0	0
18	0.049922843584830234	0.19371807357720233	0	0	0	0
19	0.04491603291911095	0.19778031152963008	0	0	0	0
20	0.04728953107095857	0.16613749851609008	0	0	0	0
21	0.05347785227251928	0.1887286567637092	0	0	0	0
22	0.05461961602460175	0.14860923159257192	0	0	0	0
23	0.044719578461437315	0.16953603040788376	0	0	0	0
24	0.04690110209209608	0.19168411494992607	0	0	0	0
25	0.0492170387664268	0.1246727120227773	0	0	0	0
26	0.046743775243802854	0.16241653376578644	0	0	0	0
27	0.05277605313336975	0.17097813136167658	0	0	0	0
28	0.06216501577732314	0.14407316316491886	0	0	0	0
29	0.04861308824144073	0.18457537934378904	0	0	0	0
30	0.04199495349880322	0.18221287296561767	0	0	0	0
31	0.06995307951915736	0.13862434167469181	0	0	0	0
32	0.05240434960846663	0.12311486382376816	0	0	0	0
33	0.03153523329024377	0.1265392106276771	0	0	0	0
34	0.05061052014086087	0.15305874737231445	0	0	0	0
35	0.04187574676053568	0.18946211182203201	0	0	0	0
36	0.03284821519809977	0.17615799703413612	0	0	0	0
37	0.03253508652486592	0.18481954040643803	0	0	0	0
38	0.03932290107434233	0.13042296117568647	0	0	0	0
39	0.031655291681138564	0.1436684667879792	0	0	0	0
40	0.05418425332055299	0.14286608434819117	0	0	0	0
41	0.0527541346963728	0.15080333398758353	0	0	0	0
42	0.0450128501937167	0.15780962006759452	0	0	0	0
43	0.04300128818682314	0.11874622810597421	0	0	0	0
44	0.042737436120699135	0.17809762882414776	0	0	0	0
45	0.038064757441792885	0.177453981436083	0	0	0	0
46	0.06053502656653159	0.15030917260000853	0	0	0	0
47	0.03676424837502851	0.19100026022315472	0	0	0	0
48	0.04238327812702303	0.12636481036443917	0	0	0	0
49	0.03935690124346425	0.15145133176135323	0	0	0	0
50	0.0432981503648564	0.1589224150823319	0	0	0	0
51	0.0434911159420725	0.178483389239047	0	0	0	0
