epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	7.05450399924347e-05	0.10647424077571536	0	0	0	0
2	0.00025658005621983365	0.11608049608202568	0	0	0	0
3	0.0003869576681338298	0.11659249820367265	0	0	0	0
4	0.0006593719439461632	0.11943433767651106	0	0	0	0
5	0.0011518230907197682	0.1215949878726446	0	0	0	0
6	0.001137307444488509	0.12333505640669991	0	0	0	0
7	0.0012740325599422155	0.12692973793122936	0	0	0	0
8	0.0014138929053284892	0.12902532726616167	0	0	0	0
9	0.001995063225394618	0.13687535821827274	0	0	0	0
10	0.0028060303311046517	0.14056092683101692	0	0	0	0
11	0.005150481198832345	0.14737492253463724	0	0	0	0
12	0.010290426010199867	0.1522058266730412	0	0	0	0
13	0.016861237016103654	0.15987919030451186	0	0	0	0
14	0.02142604341582144	0.16493774822339202	0	0	0	0
15	0.024697425820608188	0.17021475550776902	0	0	0	0
16	0.02793423542793766	0.1736104457849522	0	0	0	0
17	0.031824505634026126	0.17649244022645258	0	0	0	0
18	0.03317190147388917	0.1786558327782865	0	0	0	0
19	0.03440441037066559	0.18417490640593198	0	0	0	0
20	0.035538903014600456	0.186605387513117	0	0	0	0
21	0.038863074348813115	0.1901476322898566	0	0	0	0
22	0.03257536100815682	0.19483344173923062	0	0	0	0
23	0.03618284817160361	0.1977171824401351	0	0	0	0
24	0.040509307932806715	0.19768552171554904	0	0	0	0
25	0.03449505270404887	0.2028123937522166	0	0	0	0
26	0.038397690646841315	0.20266763675609334	0	0	0	0
27	0.04045966091700709	0.20098967319312436	0	0	0	0
28	0.04321958328727299	0.20167758075162528	0	0	0	0
29	0.04532434349771558	0.20118040182848979	0	0	0	0
30	0.04631458477874806	0.20065034001185827	0	0	0	0
31	0.04638553997067993	0.20129456227919337	0	0	0	0
32	0.044909401180887376	0.20299170229505367	0	0	0	0
33	0.04934883278392832	0.1999933976401872	0	0	0	0
34	0.048961216520577056	0.2005428329363966	0	0	0	0
35	0.04677034312269632	0.20268538751272386	0	0	0	0
36	0.04359061507564474	0.20606962033435822	0	0	0	0
37	0.044077097984549424	0.20591637261958096	0	0	0	0
38	0.04947181770326092	0.20051342058337954	0	0	0	0
39	0.04773170567128765	0.20225258400806082	0	0	0	0
40	0.050756055230155084	0.19919919393328905	0	0	0	0
41	0.047860196298677604	0.20199547761708944	0	0	0	0
42	0.04247092312621653	0.207405532066503	0	0	0	0
43	0.049566050840298415	0.19964093654474988	0	0	0	0
44	0.04944517624557926	0.1999992114352603	0	0	0	0
45	0.044408606813883644	0.20418400950089471	0	0	0	0
46	0.04573342399044833	0.20224098357354406	0	0	0	0
47	0.05123636761595918	0.19754093092352792	0	0	0	0
48	0.04826328301325716	0.19907062561623184	0	0	0	0
49	0.04931180578349015	0.19821443463601374	0	0	0	0
50	0.05095266398918763	0.1951951036371598	0	0	0	0
51	0.05432809274774991	0.19294596494188407	0	0	0	0
52	0.048115893627384	0.19630068039937826	0	0	0	0
53	0.053303257577151486	0.19312559490949516	0	0	0	0
54	0.04365812198954888	0.20242794958401994	0	0	0	0
55	0.054362458881639375	0.19136687842485256	0	0	0	0
56	0.04306334242945903	0.2007118350042833	0	0	0	0
57	0.054012316397581306	0.19003322381866544	0	0	0	0
58	0.04436158073974017	0.19718320363718958	0	0	0	0
59	0.04655513307985687	0.19606258260987416	0	0	0	0
60	0.04620721788943233	0.19645253339373525	0	0	0	0
61	0.04729207652296008	0.1940418206787209	0	0	0	0
