epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	5.610484293882417e-06	0.10685566072062404	0	0	0	0
2	2.699349115717342e-05	0.15880088326747718	0	0	0	0
3	0.0002635630354419355	0.20025410208671357	0	0	0	0
4	0.0027032508257959498	0.21655689923642849	0	0	0	0
5	0.009803761376542819	0.21557530101787034	0	0	0	0
6	0.01307378205386947	0.2159774868172036	0	0	0	0
7	0.01708578785202816	0.21776898034502454	0	0	0	0
8	0.020626268090083555	0.2184402011606644	0	0	0	0
9	0.025615464343282046	0.2192803124612531	0	0	0	0
10	0.028134187998441085	0.2184272834834562	0	0	0	0
11	0.031175371644659666	0.21774068394846013	0	0	0	0
12	0.03818007770284204	0.21178812933422342	0	0	0	0
13	0.03384419263279537	0.2160635727779533	0	0	0	0
14	0.0322929095936666	0.21755377176043267	0	0	0	0
15	0.031918051613809284	0.21466709882989443	0	0	0	0
16	0.022701524015006358	0.22635222083502737	0	0	0	0
17	0.022529097598105396	0.22415874746543873	0	0	0	0
18	0.017901474049931365	0.22480505731455602	0	0	0	0
19	0.01973331659614308	0.2200507308915809	0	0	0	0
20	0.021625479999937913	0.2193115597326195	0	0	0	0
21	0.022561895627048356	0.20293774856755586	0	0	0	0
22	0.020210319851124703	0.21581978303224014	0	0	0	0
23	0.02573880853512106	0.19840494840814538	0	0	0	0
24	0.03233545064027349	0.2043383647969519	0	0	0	0
25	0.05731179576545897	0.19267125714575184	0	0	0	0
26	0.03809968941053227	0.19255573491617928	0	0	0	0
27	0.04040728569645058	0.18936250095715135	0	0	0	0
28	0.03377032900147725	0.20159640337671547	0	0	0	0
29	0.050855785692556	0.19632181434222062	0	0	0	0
30	0.03230562741455545	0.19795455864915723	0	0	0	0
31	0.04175481593895258	0.19289647193944004	0	0	0	0
32	0.0639886992692455	0.1810108163594598	0	0	0	0
33	0.06432906778074371	0.17694406060283918	0	0	0	0
34	0.05227661288291097	0.1812810499179397	0	0	0	0
35	0.06451109137665534	0.17887456279586963	0	0	0	0
36	0.027871951663485772	0.1646317163061477	0	0	0	0
37	0.07008227562074826	0.17477420291212262	0	0	0	0
38	0.05042365120424552	0.17070894124401104	0	0	0	0
39	0.0743071353548368	0.16519981860087063	0	0	0	0
40	0.06981931714107431	0.16506126627300755	0	0	0	0
41	0.06193769466802368	0.16685128521932777	0	0	0	0
42	0.05950153165347871	0.1730657258068716	0	0	0	0
43	0.05333484573222491	0.1705246794986357	0	0	0	0
44	0.06868106538643237	0.16766436614972557	0	0	0	0
45	0.04890979802786649	0.17915588525596934	0	0	0	0
46	0.06655715647815053	0.17362383109882928	0	0	0	0
47	0.03506778235085739	0.16845392282124239	0	0	0	0
48	0.06830440783070635	0.17036258207864863	0	0	0	0
49	0.026521936149164205	0.14774522902170384	0	0	0	0
50	0.06760011869572535	0.16041423581315029	0	0	0	0
51	0.059192087537776494	0.1570421907150491	0	0	0	0
52	0.06052862653218327	0.1626867433951732	0	0	0	0
53	0.0582551379672962	0.157509120146881	0	0	0	0
54	0.0675268120810355	0.1498921885862513	0	0	0	0
55	0.059283692322549486	0.15573518844349965	0	0	0	0
56	0.042305346349398976	0.1637079091625202	0	0	0	0
57	0.057626534715389865	0.15105076973203535	0	0	0	0
58	0.011818051113541728	0.13405002885247974	0	0	0	0
59	0.04030469958873828	0.15817978836676783	0	0	0	0
60	0.03161868519177924	0.15198208148554204	0	0	0	0
61	0.04482599155749778	0.15299406557228368	0	0	0	0
62	0.05727851574293841	0.14813565704215959	0	0	0	0
63	0.028205878756417002	0.16840958167999465	0	0	0	0
64	0.012571809049910065	0.10234938933199134	0	0	0	0
65	0.053164969776529736	0.14771654735936912	0	0	0	0
66	0.04421230138508814	0.14126914345245556	0	0	0	0
67	0.054126958951690396	0.1509230539383516	0	0	0	0
68	0.056372027933680846	0.1524708818581547	0	0	0	0
69	0.05809360816178755	0.1478130142586752	0	0	0	0
70	0.04977278529264545	0.16265921731455757	0	0	0	0
71	0.037626242189628734	0.14344182058333654	0	0	0	0
72	0.04541110653030578	0.1522343739291383	0	0	0	0
73	0.05090806144439619	0.15876800198041863	0	0	0	0
74	0.04589363154948889	0.1503814660005086	0	0	0	0
75	0.024126589562604384	0.1163387150391072	0	0	0	0
76	0.05391111251772718	0.13670692238528503	0	0	0	0
77	0.05968309694352414	0.13953018543748452	0	0	0	0
78	0.008136253690391726	0.09907509201189635	0	0	0	0
79	0.03856647628278642	0.1595312328329429	0	0	0	0
80	0.008644461794816038	0.1207504247411002	0	0	0	0
81	0.04722105713482505	0.13913261074040228	0	0	0	0
82	0.02946883655864796	0.16491993507960268	0	0	0	0
83	0.04157709464399251	0.15660479156399754	0	0	0	0
84	0.029896535488775466	0.11757509531440469	0	0	0	0
85	0.04768469534678532	0.14059634849869473	0	0	0	0
86	0.05185148313031851	0.1391992306390829	0	0	0	0
87	0.030540890821982303	0.150348219595838	0	0	0	0
88	0.034601985719417194	0.13963160092265825	0	0	0	0
89	0.05360803173109163	0.12141213089390257	0	0	0	0
90	0.05934231873896634	0.13159783557385163	0	0	0	0
91	0.04811039924580773	0.13502878789515715	0	0	0	0
92	0.048445041266516276	0.14803778246046673	0	0	0	0
93	0.050247752441208715	0.14308672465913108	0	0	0	0
94	0.0463775419204171	0.14117481351634664	0	0	0	0
95	0.0432805377600296	0.1392071684249343	0	0	0	0
96	0.047929990608656325	0.14691247347105596	0	0	0	0
97	0.042297778386450435	0.14053779617180373	0	0	0	0
98	0.04255116166134032	0.12996763583967919	0	0	0	0
99	0.04645817085862447	0.13466015363999062	0	0	0	0
100	0.04367918522404324	0.13190622751728043	0	0	0	0
101	0.04753496181098593	0.13387191577409074	0	0	0	0
102	0.049790197525261704	0.13853484343959344	0	0	0	0
103	0.04536672056520863	0.14097402218588972	0	0	0	0
104	0.04095798495478564	0.13801835929546413	0	0	0	0
105	0.043956565281491944	0.1330027603999112	0	0	0	0
106	0.039755347107403916	0.13020742341070857	0	0	0	0
107	0.05219981223372805	0.14142585137060315	0	0	0	0
108	0.042413234875290695	0.14136865145692423	0	0	0	0
109	0.04117294959542084	0.1248486676776247	0	0	0	0
110	0.049010762678285635	0.1263903903772946	0	0	0	0
111	0.052850392493395626	0.1394851546719893	0	0	0	0
112	0.04908105255855366	0.13435244012747227	0	0	0	0
113	0.052293324505162	0.12608934896849255	0	0	0	0
114	0.03750229404510175	0.1370471117411265	0	0	0	0
115	0.03725301053111352	0.14130992180262303	0	0	0	0
116	0.045620105990689996	0.1232741499701473	0	0	0	0
117	0.052772312212943095	0.11844776960255465	0	0	0	0
118	0.055918526418506254	0.12558237881223056	0	0	0	0
119	0.05079940906847891	0.1314422186364992	0	0	0	0
120	0.04269241153917358	0.13604371664308212	0	0	0	0
121	0.04744710184031953	0.12484417941975268	0	0	0	0
122	0.0384893204588268	0.12946864915975764	0	0	0	0
123	0.03347144892552811	0.13873724976588342	0	0	0	0
124	0.03855621168472201	0.12655179381214632	0	0	0	0
125	0.04260041813979254	0.1272221285705103	0	0	0	0
126	0.04004739356823328	0.12853064860277996	0	0	0	0
127	0.047656021377197044	0.13383773110105124	0	0	0	0
128	0.03496696738198146	0.11393362905416715	0	0	0	0
129	0.04798769343876863	0.11836186266393844	0	0	0	0
130	0.0452789093287046	0.13362721472200512	0	0	0	0
131	0.04356041528656085	0.12147431579830881	0	0	0	0
132	0.05152504790676493	0.12165906235442348	0	0	0	0
133	0.05169182670022909	0.12222475715142556	0	0	0	0
134	0.044484389978680094	0.12187642933249332	0	0	0	0
135	0.037623295902427856	0.12478434183106657	0	0	0	0
136	0.03630943707478096	0.12214907911445694	0	0	0	0
137	0.038325929606684905	0.13025806947482677	0	0	0	0
138	0.04407143871770458	0.11973893403888558	0	0	0	0
139	0.03872741542930802	0.12519944883256207	0	0	0	0
140	0.05876160469045466	0.13161834815597506	0	0	0	0
