epoch	batch	iter	loss	acc	lr
1	1	1	2.428032875061035	6.0	1e-06
1	2	2	2.5443341732025146	4.0	1e-06
1	3	3	2.2342841625213623	6.0	1e-06
1	4	4	2.319169521331787	8.0	1e-06
1	5	5	2.3329384326934814	10.0	1e-06
1	6	6	2.372549057006836	2.0	1e-06
1	7	7	2.2862753868103027	12.0	1e-06
1	8	8	2.2742385864257812	10.0	1e-06
1	9	9	2.2472028732299805	8.0	1e-06
1	10	10	2.331115484237671	0.0	1e-06
1	11	11	2.433957099914551	0.0	1e-06
2	1	12	2.3447983264923096	8.0	1e-06
2	2	13	2.377802848815918	8.0	1e-06
2	3	14	2.259223699569702	8.0	1e-06
2	4	15	2.2175474166870117	8.0	1e-06
2	5	16	2.2469587326049805	4.0	1e-06
2	6	17	2.360985517501831	14.0	1e-06
2	7	18	2.327784776687622	6.0	1e-06
2	8	19	2.336423397064209	6.0	1e-06
2	9	20	2.2961931228637695	4.0	1e-06
2	10	21	2.3042666912078857	6.0	1e-06
2	11	22	2.321376085281372	5.2631578947368425	1e-06
3	1	23	2.2628908157348633	14.0	1e-06
3	2	24	2.2770895957946777	4.0	1e-06
3	3	25	2.216230869293213	12.0	1e-06
3	4	26	2.328601598739624	12.0	1e-06
3	5	27	2.3056886196136475	6.0	1e-06
3	6	28	2.2958288192749023	6.0	1e-06
3	7	29	2.2549960613250732	12.0	1e-06
3	8	30	2.3219668865203857	8.0	1e-06
3	9	31	2.2613799571990967	2.0	1e-06
3	10	32	2.228114128112793	12.0	1e-06
3	11	33	2.4081690311431885	15.789473684210526	1e-06
4	1	34	2.2473909854888916	6.0	1e-06
4	2	35	2.213717460632324	12.0	1e-06
4	3	36	2.1853253841400146	8.0	1e-06
4	4	37	2.2024786472320557	26.0	1e-06
4	5	38	2.249380111694336	4.0	1e-06
4	6	39	2.2805240154266357	18.0	1e-06
4	7	40	2.236374616622925	20.0	1e-06
4	8	41	2.384531259536743	10.0	1e-06
4	9	42	2.2638165950775146	10.0	1e-06
4	10	43	2.2377731800079346	10.0	1e-06
4	11	44	2.3364458084106445	26.31578947368421	1e-06
5	1	45	2.2235329151153564	20.0	1e-06
5	2	46	2.109137773513794	32.0	1e-06
5	3	47	2.263695478439331	22.0	1e-06
5	4	48	2.1996381282806396	20.0	1e-06
5	5	49	2.1826276779174805	26.0	1e-06
5	6	50	2.251450300216675	28.0	1e-06
5	7	51	2.257896661758423	18.0	1e-06
5	8	52	2.192007064819336	28.0	1e-06
5	9	53	2.2507567405700684	24.0	1e-06
5	10	54	2.2475669384002686	32.0	1e-06
5	11	55	2.2338759899139404	26.31578947368421	1e-06
6	1	56	2.2690155506134033	24.0	1e-06
6	2	57	2.1765193939208984	26.0	1e-06
6	3	58	2.1692910194396973	32.0	1e-06
6	4	59	2.2326550483703613	34.0	1e-06
6	5	60	2.202303409576416	28.0	1e-06
6	6	61	2.1598291397094727	32.0	1e-06
6	7	62	2.1488735675811768	34.0	1e-06
6	8	63	2.2354929447174072	32.0	1e-06
6	9	64	2.2223567962646484	34.0	1e-06
6	10	65	2.146946907043457	40.0	1e-06
6	11	66	2.1242685317993164	42.10526315789474	1e-06
7	1	67	2.1869897842407227	38.0	1e-06
7	2	68	2.159736394882202	38.0	1e-06
7	3	69	2.1776349544525146	38.0	1e-06
7	4	70	2.1521987915039062	26.0	1e-06
7	5	71	2.1946303844451904	34.0	1e-06
7	6	72	2.1847774982452393	34.0	1e-06
7	7	73	2.0955636501312256	48.0	1e-06
7	8	74	2.2144367694854736	36.0	1e-06
7	9	75	2.1501941680908203	42.0	1e-06
7	10	76	2.174433946609497	40.0	1e-06
7	11	77	2.171473264694214	31.57894736842105	1e-06
8	1	78	2.268077850341797	34.0	1e-06
8	2	79	2.197345018386841	38.0	1e-06
8	3	80	2.1318042278289795	40.0	1e-06
8	4	81	2.1690797805786133	28.0	1e-06
8	5	82	2.151787757873535	42.0	1e-06
8	6	83	2.1022889614105225	40.0	1e-06
8	7	84	2.0758323669433594	50.0	1e-06
8	8	85	2.0993123054504395	46.0	1e-06
8	9	86	2.1746957302093506	42.0	1e-06
8	10	87	2.111194610595703	46.0	1e-06
8	11	88	2.1599068641662598	26.31578947368421	1e-06
9	1	89	2.1413683891296387	50.0	1e-06
9	2	90	2.193861484527588	38.0	1e-06
9	3	91	2.106217861175537	48.0	1e-06
9	4	92	2.1647119522094727	32.0	1e-06
9	5	93	2.0643320083618164	52.0	1e-06
9	6	94	2.0999298095703125	42.0	1e-06
9	7	95	2.1573095321655273	38.0	1e-06
9	8	96	2.1608922481536865	52.0	1e-06
9	9	97	2.074826717376709	50.0	1e-06
9	10	98	2.0353901386260986	50.0	1e-06
