epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	8.835519958033666e-07	0.10639236435751714	0	0	0	0
2	4.211801620777195e-06	0.11001952029571445	0	0	0	0
3	9.733592237189462e-06	0.10792366020631132	0	0	0	0
4	6.387316913441729e-06	0.10807629605599985	0	0	0	0
5	5.2574051712363234e-05	0.11378431431454854	0	0	0	0
6	5.939560588672649e-05	0.11855451121654974	0	0	0	0
7	0.00012354481583045154	0.12054415725665994	0	0	0	0
8	0.00018021786974035253	0.124954337359232	0	0	0	0
9	0.0002590193832870194	0.13088916845820575	0	0	0	0
10	0.0003579473577632157	0.13670806096692786	0	0	0	0
11	0.0005976383039282968	0.14489978049687705	0	0	0	0
12	0.000789015902536154	0.15012157944751414	0	0	0	0
13	0.0009510079678978767	0.1546821204188563	0	0	0	0
14	0.0011800549570620267	0.1597587326101403	0	0	0	0
15	0.0014020392864575251	0.16525025812427094	0	0	0	0
16	0.0016116525353796346	0.17042527001019273	0	0	0	0
17	0.0018559934830894367	0.1724072718339685	0	0	0	0
18	0.0021540973214948314	0.17872136630323918	0	0	0	0
19	0.002526259813875109	0.18298860197968092	0	0	0	0
20	0.003057156460915908	0.18776156592844503	0	0	0	0
21	0.003414707009349524	0.19343796066615213	0	0	0	0
22	0.0038633990528092466	0.19943541919372518	0	0	0	0
23	0.004442461953102689	0.20332218252189518	0	0	0	0
24	0.0050355564872010955	0.20739589735763306	0	0	0	0
25	0.005478316865319466	0.21145946961063297	0	0	0	0
26	0.005985965130252888	0.2152409901089055	0	0	0	0
27	0.006429896718568154	0.21632486724441527	0	0	0	0
28	0.006832972791331798	0.21897812126561908	0	0	0	0
29	0.007551382916598431	0.22075036203259993	0	0	0	0
30	0.008292391588528514	0.22389723527791702	0	0	0	0
31	0.008907033935154324	0.22552189146305116	0	0	0	0
32	0.009003672265019413	0.22638675843743125	0	0	0	0
33	0.009383602554546538	0.22829061486633442	0	0	0	0
34	0.009919442493820846	0.2287894772242923	0	0	0	0
35	0.010236539764189673	0.23040911640710557	0	0	0	0
36	0.010283675939322973	0.23093341931792924	0	0	0	0
37	0.011277181985560741	0.23009840328125172	0	0	0	0
38	0.011003941755597296	0.2321862851719899	0	0	0	0
39	0.01141513552039583	0.23202570618464882	0	0	0	0
40	0.011708204102159864	0.23376280951612685	0	0	0	0
41	0.012423662302457006	0.2333416269849865	0	0	0	0
42	0.01303678403185804	0.23308773347286874	0	0	0	0
43	0.013599893000115687	0.23331609947564566	0	0	0	0
44	0.014017752829072916	0.2332991442888468	0	0	0	0
45	0.015015897435592479	0.23217741655020238	0	0	0	0
46	0.015289939492528631	0.23300350645366633	0	0	0	0
47	0.016330256518565622	0.23244014221220835	0	0	0	0
48	0.016873882219714448	0.23254351700505702	0	0	0	0
49	0.018051265840166808	0.23141073380817767	0	0	0	0
50	0.018098825780983263	0.23174631800620368	0	0	0	0
51	0.019481003966507038	0.23028598974845813	0	0	0	0
52	0.020340393049134764	0.22960113987135258	0	0	0	0
53	0.020217701993521242	0.2297556327274776	0	0	0	0
54	0.019939940573811932	0.22990484735079578	0	0	0	0
55	0.02109236645675816	0.2287099840058516	0	0	0	0
56	0.021283088667928662	0.22824874844016296	0	0	0	0
57	0.021212017807268724	0.22792664380025393	0	0	0	0
58	0.02230135447535997	0.2270313439403536	0	0	0	0
59	0.02271643348382535	0.22649611264605696	0	0	0	0
60	0.02304446125375864	0.22628548464967815	0	0	0	0
61	0.023499840952835693	0.22541422027044833	0	0	0	0
62	0.02368261170599062	0.22460495250296977	0	0	0	0
63	0.02331689793783992	0.22394206525549146	0	0	0	0
64	0.025011404169579032	0.22284217802094344	0	0	0	0
65	0.024865741820721265	0.22193108956785487	0	0	0	0
66	0.024796726060637042	0.221516998923307	0	0	0	0
67	0.0250346782064243	0.22064620902538326	0	0	0	0
68	0.025770746321618798	0.21995705530123288	0	0	0	0
69	0.026291372519815726	0.2198742566290819	0	0	0	0
70	0.02533772485617125	0.21923393772041125	0	0	0	0
71	0.026015229709088983	0.21912623469056772	0	0	0	0
72	0.02680180368402668	0.21783332207394665	0	0	0	0
73	0.02754012755505081	0.21702100054701243	0	0	0	0
74	0.028891830692406473	0.21528657554664812	0	0	0	0
75	0.028027650127793124	0.2145169831301493	0	0	0	0
76	0.029234303229071668	0.2131582837652458	0	0	0	0
77	0.029235462750009766	0.21171644261023026	0	0	0	0
78	0.030294428974914578	0.21055559712504554	0	0	0	0
79	0.029326037319177045	0.21096669454027017	0	0	0	0
80	0.030568548059638045	0.21037601262808522	0	0	0	0
81	0.031542257019477826	0.2100110509284557	0	0	0	0
82	0.031388967721244	0.2091694461207685	0	0	0	0
83	0.032358632144956545	0.2078529784653448	0	0	0	0
84	0.03103741387920117	0.20670260658295017	0	0	0	0
85	0.03157943537519431	0.20671291859371074	0	0	0	0
86	0.03156258276147217	0.20576316612552073	0	0	0	0
87	0.03126962051163673	0.2053713968055879	0	0	0	0
88	0.03235506434358931	0.20414205930004106	0	0	0	0
89	0.033133565048674984	0.20302703896319643	0	0	0	0
90	0.03252765443269484	0.20370858783795068	0	0	0	0
91	0.03358836320743758	0.20302241538406607	0	0	0	0
92	0.033781928063350175	0.2029322986151175	0	0	0	0
93	0.03356002474339975	0.20015338681677206	0	0	0	0
94	0.03483550966283694	0.1987040473857212	0	0	0	0
95	0.03537566401050901	0.19885467626905085	0	0	0	0
96	0.03465535539439529	0.19843577252990782	0	0	0	0
97	0.034937967656875624	0.1978569873626541	0	0	0	0
98	0.03706006441652593	0.19790966905591315	0	0	0	0
99	0.03759128507199422	0.19641539842535968	0	0	0	0
100	0.03830673198694656	0.19580007829631216	0	0	0	0
101	0.037469905712642915	0.19426277522913185	0	0	0	0
102	0.0384947318763027	0.19336158751034027	0	0	0	0
103	0.03939698258792951	0.1936023465388678	0	0	0	0
104	0.038430953057113415	0.19199988480871477	0	0	0	0
105	0.03816224700184362	0.19062113646027967	0	0	0	0
106	0.039914529804735366	0.19041006631497956	0	0	0	0
107	0.0401107432508247	0.19027539505897995	0	0	0	0
108	0.04095751595385394	0.18749297423244396	0	0	0	0
109	0.04366167361232459	0.18531751476434502	0	0	0	0
110	0.04257731418204885	0.18541214682648985	0	0	0	0
111	0.04464163821353295	0.1847483284903039	0	0	0	0
112	0.04312329424297667	0.1851422189929517	0	0	0	0
113	0.044215956949984314	0.18168809552214546	0	0	0	0
114	0.0436347468680498	0.18057025691642878	0	0	0	0
115	0.04122097317024481	0.18327451282996776	0	0	0	0
116	0.03884218243472376	0.18637471268546632	0	0	0	0
117	0.03770961723255878	0.18661546256434866	0	0	0	0
118	0.03843867229495196	0.1841045715237891	0	0	0	0
119	0.03836756478448172	0.1831175719824968	0	0	0	0
120	0.036523160405893706	0.18537175794040492	0	0	0	0
121	0.03469016072877129	0.18590850135333392	0	0	0	0
122	0.03242019650369582	0.18714064395748528	0	0	0	0
