epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	3.4137993387192006e-06	0.10924646033710202	0	0	0	0
2	2.0139428865206116e-05	0.11617239310042686	0	0	0	0
3	3.852652322149444e-05	0.1140264706752212	0	0	0	0
4	7.220851124838806e-05	0.11399895192862271	0	0	0	0
5	6.607143076806793e-05	0.11587108746508627	0	0	0	0
6	0.00020533037867354748	0.12042920438472833	0	0	0	0
7	0.0005812853463558025	0.13316284664555808	0	0	0	0
8	0.0008638641839895829	0.13914754728290832	0	0	0	0
9	0.001169780695216005	0.14151611204952097	0	0	0	0
10	0.0014119143704061435	0.1449560277487808	0	0	0	0
11	0.0016186602753288301	0.1439608719522855	0	0	0	0
12	0.0020140964465857683	0.1480739149730023	0	0	0	0
13	0.002448386911002902	0.150160496510074	0	0	0	0
14	0.0023252548633260137	0.15169867036486762	0	0	0	0
15	0.0022340151171459585	0.15255873964437397	0	0	0	0
16	0.002264982816825717	0.15632767051194837	0	0	0	0
17	0.0024088799316887913	0.16071009066574135	0	0	0	0
18	0.0018181938712255943	0.16270497199957915	0	0	0	0
19	0.0017284669967975522	0.1667628713059451	0	0	0	0
20	0.0018893064958396752	0.17065165183164552	0	0	0	0
21	0.0025127296214011233	0.17835511116622013	0	0	0	0
22	0.0024161761581014615	0.18325331511534074	0	0	0	0
23	0.0029662582609554233	0.18825972859776482	0	0	0	0
24	0.002942922565066841	0.19473181116476168	0	0	0	0
25	0.0033075129490622024	0.2031572467263417	0	0	0	0
26	0.0037070622413387655	0.20833640154954317	0	0	0	0
27	0.004207928202491842	0.21196413744926976	0	0	0	0
28	0.005338375290184896	0.21517896136029638	0	0	0	0
29	0.006711426513755905	0.21686166086081807	0	0	0	0
30	0.007421525131081047	0.22055106994604723	0	0	0	0
31	0.008415823551537	0.22457661012896604	0	0	0	0
32	0.009327279714001546	0.22652725839256904	0	0	0	0
33	0.01136007807280534	0.2281239038435596	0	0	0	0
34	0.01320294300374178	0.22925075074905146	0	0	0	0
35	0.01335140579930641	0.2304408092977499	0	0	0	0
36	0.014293089685471522	0.23107725702830909	0	0	0	0
37	0.014165933390888036	0.23141307986388723	0	0	0	0
38	0.012756325020772147	0.23517517156906478	0	0	0	0
39	0.014167764585500592	0.2342686207125397	0	0	0	0
40	0.015178288622925168	0.23473069917884656	0	0	0	0
41	0.01680279799727674	0.23319709304297	0	0	0	0
42	0.014280792481233318	0.23563243794254327	0	0	0	0
43	0.0168882696618482	0.23264537596307377	0	0	0	0
44	0.015084443660803304	0.23411498836230793	0	0	0	0
45	0.014935973670667013	0.23413709173652064	0	0	0	0
46	0.01603296778913027	0.23159794914247658	0	0	0	0
47	0.016028016298015146	0.23154583633895212	0	0	0	0
48	0.014092620749579177	0.23128735062380082	0	0	0	0
49	0.017891585378616015	0.2271582729478642	0	0	0	0
50	0.013852466265294128	0.2296909615715177	0	0	0	0
51	0.016624882038131783	0.22588775099209238	0	0	0	0
52	0.018974858065390232	0.22430091510332698	0	0	0	0
53	0.016900466457754615	0.22451365703530066	0	0	0	0
54	0.016306264938808157	0.22414818692714475	0	0	0	0
55	0.017960785473036867	0.22160754923281015	0	0	0	0
56	0.014700367588128482	0.22080299000647452	0	0	0	0
57	0.013828009800453012	0.216876555308995	0	0	0	0
58	0.01509470875264829	0.2149558083930896	0	0	0	0
59	0.015520410819585606	0.2146278160942122	0	0	0	0
60	0.015470691079457033	0.2132795867114717	0	0	0	0
61	0.016635435760828876	0.20985990423394738	0	0	0	0
62	0.013448294044203835	0.20888281167218517	0	0	0	0
63	0.012368815829057134	0.2040360785111215	0	0	0	0
64	0.014596211358237743	0.20488394442532432	0	0	0	0
65	0.01282904428491749	0.20437769600729006	0	0	0	0
66	0.013506043241218735	0.203060483359506	0	0	0	0
67	0.012809385711357757	0.1981084572310768	0	0	0	0
68	0.011068376763102017	0.19682358168225159	0	0	0	0
69	0.011776348741214804	0.19398757103553876	0	0	0	0
70	0.010802251897335746	0.19251329920242574	0	0	0	0
71	0.012010431923838105	0.19493286425314812	0	0	0	0
72	0.010308474478973872	0.19278148201679812	0	0	0	0
73	0.013853883166109804	0.19180907042816978	0	0	0	0
74	0.01559906550319412	0.19214376286728432	0	0	0	0
75	0.013313445238311128	0.1870280784096797	0	0	0	0
76	0.011819942474915468	0.1839810829408055	0	0	0	0
77	0.011657574857065423	0.181648765713008	0	0	0	0
78	0.01263076395769902	0.18153439975158214	0	0	0	0
79	0.013126322629009923	0.1782317727852701	0	0	0	0
80	0.01526885380647125	0.18162473837225276	0	0	0	0
81	0.015056246635180126	0.17949529470207182	0	0	0	0
82	0.01421257611795046	0.17736895955899948	0	0	0	0
