epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	7.91929692565696e-05	0.11723144602031821	0.0020276664290577173	-4.999988555908203	-3.231146911275573e-05	-4.99998664855957
2	0.0020326529479208766	0.1704859392366349	0.0020244678016752005	-4.999977111816406	-3.239559009671211e-05	-4.999973297119141
3	0.00013592636018759652	0.14712782556008058	0.0020248275250196457	-4.999965667724609	-3.2485815609106794e-05	-4.999968528747559
4	0.0005057273389882933	0.19472585643441565	0.0020248328801244497	-4.9999542236328125	-3.2448187994305044e-05	-4.999953746795654
5	0.016752497879760464	0.19911698299062974	0.0020281269680708647	-4.999942779541016	-3.2369454856961966e-05	-4.999939918518066
6	0.0019045714965379434	0.18620737051194491	0.0020299118477851152	-4.999931335449219	-3.2165622542379424e-05	-4.999935150146484
7	0.007097259005295953	0.21060614345775908	0.0020316194277256727	-4.999919891357422	-3.2024170650402084e-05	-4.999922275543213
8	0.015397813239875699	0.20938783399812183	0.0020350799895823	-4.999908447265625	-3.194226519553922e-05	-4.999908447265625
9	0.005587732390910871	0.18523121958381805	0.0020368946716189384	-4.999897003173828	-3.186968024238013e-05	-4.999895095825195
10	0.021963698950818733	0.21934066231366023	0.0020392436999827623	-4.999885559082031	-3.177956386934966e-05	-4.999881744384766
11	0.0005188524074885431	0.18481756370589636	0.0020390457939356565	-4.999874114990234	-3.173162986058742e-05	-4.999876976013184
12	0.004007289581057005	0.21576374804892184	0.0020422381348907948	-4.9998626708984375	-3.163440487696789e-05	-4.999863147735596
13	0.004998279832278893	0.20757813154568322	0.0020408746786415577	-4.999851226806641	-3.1477764423470944e-05	-4.999848365783691
14	0.07041254160714178	0.17867249225021514	0.0020417356863617897	-4.999839782714844	-3.143024514429271e-05	-4.999843597412109
15	0.016952269863411196	0.19941560339881703	0.0020414243917912245	-4.999828338623047	-3.143017602269538e-05	-4.999830722808838
16	0.004665183921170213	0.2058559108779403	0.00203731213696301	-4.99981689453125	-3.1543047953164205e-05	-4.99981689453125
17	0.04802923339037024	0.19674962189795986	0.002035614103078842	-4.999805450439453	-3.161918721161783e-05	-4.99980354309082
18	0.03618208599699119	0.21211952190909922	0.002034313278272748	-4.999794006347656	-3.163111978210509e-05	-4.999790191650391
19	0.03556492112517434	0.21438754922640196	0.00203100498765707	-4.999782562255859	-3.1474097340833396e-05	-4.999785423278809
20	0.042533860001042256	0.19512906224106064	0.002026781439781189	-4.9997711181640625	-3.150797783746384e-05	-4.999770641326904
21	0.01909652859046468	0.22431624983194776	0.0020235064439475536	-4.999759674072266	-3.1600677175447345e-05	-4.999756813049316
22	0.006705335863754491	0.2330713167436793	0.00202249176800251	-4.999748229980469	-3.166927126585506e-05	-4.999752044677734
23	0.021445690945075757	0.2174478448450361	0.002021299907937646	-4.999736785888672	-3.155203739879653e-05	-4.999739170074463
24	0.003344566242031888	0.246055286463285	0.002017874037846923	-4.999725341796875	-3.148423638776876e-05	-4.999725341796875
25	0.02293170903803149	0.21831514377422562	0.0020147180184721947	-4.999713897705078	-3.132313213427551e-05	-4.999711990356445
26	0.028989575509945353	0.21881843419843228	0.002014411613345146	-4.999702453613281	-3.117172309430316e-05	-4.999698638916016
27	0.0058843410116105055	0.24285276123802335	0.002012619748711586	-4.999691009521484	-3.112693229923025e-05	-4.999693870544434
28	0.03049621500502897	0.2035474518093663	0.002007744973525405	-4.9996795654296875	-3.108553937636316e-05	-4.999680042266846
29	0.02048197173396299	0.2286675722938234	0.0020057668443769217	-4.999668121337891	-3.113891580142081e-05	-4.999665260314941
30	0.060024734534126434	0.1855215989139818	0.00200248952023685	-4.999656677246094	-3.125274088233709e-05	-4.999660491943359
31	0.014339322501449536	0.2121223497315473	0.0019987907726317644	-4.999645233154297	-3.126865703961812e-05	-4.999647617340088
32	0.10624356449318045	0.14016051236465027	0.0019996229093521833	-4.9996337890625	-3.11210096697323e-05	-4.9996337890625
33	0.03513556993730366	0.20879681403723782	0.0019984813407063484	-4.999622344970703	-3.0967919883551076e-05	-4.99962043762207
34	0.06956819824754773	0.1662576743232005	0.0019971230067312717	-4.999610900878906	-3.088257653871551e-05	-4.999607086181641
35	0.06454257622952014	0.16598879577605596	0.001993549522012472	-4.999599456787109	-3.0777307983953506e-05	-4.999602317810059
36	0.026715149646989955	0.1728317504545105	0.0019910417031496763	-4.9995880126953125	-3.061610914301127e-05	-4.999587535858154
37	0.04901732704819278	0.1964996839440578	0.0019859427120536566	-4.999576568603516	-3.05565154121723e-05	-4.999573707580566
38	0.03829290420790765	0.16956944793176287	0.0019801987800747156	-4.999565124511719	-3.0572275136364624e-05	-4.999568939208984
39	0.08079743875264289	0.16862217106830224	0.001978622516617179	-4.999553680419922	-3.060993549297564e-05	-4.999556064605713
40	0.017352076627932034	0.1943238233932254	0.0019747065380215645	-4.999542236328125	-3.0662864446640015e-05	-4.999542236328125
41	0.02604906764556486	0.21607160081815446	0.0019717903342097998	-4.999530792236328	-3.070103775826283e-05	-4.999528884887695
42	0.06422384192049851	0.15751180722385238	0.001970181940123439	-4.999519348144531	-3.0640010663773865e-05	-4.999515533447266
43	0.040412429768261926	0.17780519203664436	0.001970689743757248	-4.999507904052734	-3.058130823774263e-05	-4.999510765075684
44	0.05675258094347835	0.14925691797009555	0.0019739517010748386	-4.9994964599609375	-3.0511495424434543e-05	-4.999496936798096
45	0.030998480401174255	0.21489662900697049	0.0019720757845789194	-4.999485015869141	-3.0497611078317277e-05	-4.999482154846191
46	0.08772734044723474	0.11572169333818483	0.001968118827790022	-4.999473571777344	-3.056856076000258e-05	-4.999477386474609
47	0.06048439381835918	0.15319877051949393	0.001967341871932149	-4.999462127685547	-3.053199907299131e-05	-4.999464511871338
48	0.057694124465804186	0.15170157531995243	0.001967936521396041	-4.99945068359375	-3.0432776839006692e-05	-4.99945068359375
49	0.08600538692199833	0.09330451677193063	0.0019703609868884087	-4.999439239501953	-3.0423301723203622e-05	-4.99943733215332
50	0.10701432636624553	0.11381935521858999	0.0019707984756678343	-4.999427795410156	-3.0344883271027356e-05	-4.999423980712891
51	0.041119129498327966	0.12157750025607572	0.0019696587696671486	-4.999416351318359	-3.0170762329362333e-05	-4.999419212341309
52	0.004665529619528597	0.15495683310163155	0.0019699889235198498	-4.9994049072265625	-3.0057668482186273e-05	-4.999404430389404
53	0.006269734605605315	0.23313069013773813	0.001968798926100135	-4.999393463134766	-2.9996406738064252e-05	-4.999390602111816
54	0.07606584027482732	0.12455240323232353	0.001969503238797188	-4.999382019042969	-2.995091381308157e-05	-4.999385833740234
55	0.020436389297558755	0.12162829235849237	0.001968551427125931	-4.999370574951172	-2.9796879971399903e-05	-4.999372959136963
56	0.04251020778233716	0.17932438704143472	0.001966386567801237	-4.999359130859375	-2.9639491913258098e-05	-4.999359130859375
57	0.055608654716086336	0.18393083457260362	0.0019605865236371756	-4.999347686767578	-2.9552262276411057e-05	-4.999345779418945
58	0.07765308356272871	0.1395867546074454	0.001960005611181259	-4.999336242675781	-2.9505239581339993e-05	-4.999332427978516
59	0.024819356703340734	0.192773068403002	0.001958934124559164	-4.999324798583984	-2.9400400308077224e-05	-4.999327659606934
60	0.011517769619619811	0.13609769343488676	0.0019601918756961823	-4.9993133544921875	-2.932069037342444e-05	-4.999313831329346
61	0.061564822872862246	0.12055293577686288	0.0019613117910921574	-4.999301910400391	-2.916925586760044e-05	-4.999299049377441
62	0.004204970179854328	0.17377716238107332	0.0019617623183876276	-4.999290466308594	-2.9017197448411025e-05	-4.999294281005859
63	0.014909494154088376	0.09939529203232222	0.001962465699762106	-4.999279022216797	-2.8985443350393325e-05	-4.999281406402588
64	0.02581636276352217	0.16318847110078671	0.0019618335645645857	-4.999267578125	-2.8977630790905096e-05	-4.999267578125
65	0.07992635288736061	0.07497501355674352	0.001961369765922427	-4.999256134033203	-2.8974145607207902e-05	-4.99925422668457
66	0.013292752563534016	0.17785023457965288	0.0019598372746258974	-4.999244689941406	-2.8953027140232734e-05	-4.999240875244141
67	0.011504505748461069	0.1997416696594696	0.0019611946772783995	-4.999233245849609	-2.8946195016033016e-05	-4.999236106872559
68	0.006471276415001448	0.11398563424034691	0.0019631260074675083	-4.9992218017578125	-2.8843056497862563e-05	-4.999221324920654
69	0.06487527940667537	0.12255238434002003	0.001962477806955576	-4.999210357666016	-2.8840648155892268e-05	-4.999207496643066
70	0.03520983510625331	0.18505359121310772	0.0019617083016783	-4.999198913574219	-2.875249265343882e-05	-4.999202728271484
71	0.01759131012969628	0.17567117066788906	0.0019611595198512077	-4.999187469482422	-2.867443981813267e-05	-4.999189853668213
72	0.010882149716505252	0.12411908349089895	0.0019619769882410765	-4.999176025390625	-2.865528585971333e-05	-4.999176025390625
73	0.035027068828071384	0.16467888874046266	0.0019644650164991617	-4.999164581298828	-2.858421066775918e-05	-4.999162673950195
74	0.011150630014406415	0.11215004039874987	0.001966828480362892	-4.999153137207031	-2.8666128855547868e-05	-4.999149322509766
75	0.04028726956187145	0.14628765843300062	0.0019676326774060726	-4.999141693115234	-2.866307295334991e-05	-4.999144554138184
76	0.004722597794821537	0.0753485469529549	0.0019650005269795656	-4.9991302490234375	-2.853373189282138e-05	-4.999130725860596
77	0.026226793677802673	0.11533709044193596	0.0019638938829302788	-4.999118804931641	-2.859163396351505e-05	-4.999115943908691
78	0.0027768986534164597	0.056903473225167645	0.0019634352065622807	-4.999107360839844	-2.8653652407228947e-05	-4.999111175537109
79	0.00908437612074553	0.0611221265834887	0.001962951384484768	-4.999095916748047	-2.857901927200146e-05	-4.999098300933838
80	0.08686096825597356	0.07536721691211223	0.00196103029884398	-4.99908447265625	-2.848776421160437e-05	-4.99908447265625
81	0.012918366334844888	0.09463969661108518	0.0019598265644162893	-4.999073028564453	-2.8324962840997614e-05	-4.99907112121582
82	0.055241148902154924	0.08766595938173771	0.001962360693141818	-4.999061584472656	-2.8306783860898577e-05	-4.999057769775391
83	0.020931569404032402	0.08334811956367538	0.0019658030942082405	-4.999050140380859	-2.8435579224606045e-05	-4.999053001403809
84	0.02368175905163583	0.17785628557831212	0.0019667232409119606	-4.9990386962890625	-2.8546575776999816e-05	-4.999038219451904
85	0.0013876571245541314	0.05033430843531583	0.0019719197880476713	-4.999027252197266	-2.8688431484624743e-05	-4.999024391174316
86	0.00818895339389858	0.21255056439205866	0.0019737654365599155	-4.999015808105469	-2.872840195777826e-05	-4.999019622802734
87	0.001309169023138601	0.0956156331787863	0.0019769396167248487	-4.999004364013672	-2.8667549486272037e-05	-4.999006748199463
88	0.0012988027301641392	0.09978636209324687	0.001979760592803359	-4.998992919921875	-2.8621185265365057e-05	-4.998992919921875
89	0.04995886878090805	0.09292753325474279	0.001977971289306879	-4.998981475830078	-2.859816413547378e-05	-4.998979568481445
90	0.02183099405421518	0.11489789962812669	0.001976652769371867	-4.998970031738281	-2.8517519240267575e-05	-4.998966217041016
91	0.02386144079029684	0.10311924812445561	0.00197526253759861	-4.998958587646484	-2.8380229196045548e-05	-4.998961448669434
92	0.03924464800231031	0.09077578628952399	0.0019770071376115084	-4.9989471435546875	-2.8318274416960776e-05	-4.998947620391846
93	0.008641097156401045	0.0982499435605444	0.0019762746524065733	-4.998935699462891	-2.8347780244075693e-05	-4.998932838439941
94	0.0015659562722400988	0.0676952624526459	0.001977053936570883	-4.998924255371094	-2.8488504540291615e-05	-4.998928070068359
95	0.0021572861255350073	0.0517292233341875	0.0019784194882959127	-4.998912811279297	-2.8565025786519982e-05	-4.998915195465088
96	0.028800674206864718	0.172152731805985	0.001980638364329934	-4.9989013671875	-2.865119677153416e-05	-4.9989013671875
97	0.003137789024494353	0.08060111915963297	0.0019792451057583094	-4.998889923095703	-2.8734970328514464e-05	-4.99888801574707
98	0.007810223167611596	0.08216805139401906	0.001980630913749337	-4.998878479003906	-2.8825243134633638e-05	-4.998874664306641
99	0.007871313884274755	0.08793672937044228	0.0019828651566058397	-4.998867034912109	-2.8900245524710044e-05	-4.998869895935059
100	0.006342090733339134	0.1166642571744756	0.001986319199204445	-4.9988555908203125	-2.8969043341930956e-05	-4.998855113983154
101	0.003000963536891277	0.12156647230622752	0.0019894258584827185	-4.998844146728516	-2.899105311371386e-05	-4.998841285705566
102	0.0072307465918619584	0.11179542031684875	0.0019905155058950186	-4.998832702636719	-2.9025850381003693e-05	-4.998836517333984
103	0.01749341936827764	0.13005247612055282	0.001990552293136716	-4.998821258544922	-2.915793447755277e-05	-4.998823642730713
104	0.007423034825221775	0.05542213202423785	0.0019900845363736153	-4.998809814453125	-2.9212265872047283e-05	-4.998809814453125
105	0.031835728041253786	0.13039259839602213	0.001989642856642604	-4.998798370361328	-2.9138827812857926e-05	-4.998796463012695
106	0.04493504672453574	0.09458117554080281	0.0019887827802449465	-4.998786926269531	-2.9039039873168804e-05	-4.998783111572266
107	0.01735391554534438	0.09645616963353909	0.0019901683554053307	-4.998775482177734	-2.9173132134019397e-05	-4.998778343200684
108	0.003530840906837973	0.08942898968393287	0.001991019584238529	-4.9987640380859375	-2.9337787054828368e-05	-4.998764514923096
109	0.046043766357801885	0.16595878644247963	0.0019928275141865015	-4.998752593994141	-2.941821003332734e-05	-4.998749732971191
110	0.002839714939420146	0.0454378846804131	0.0019933083094656467	-4.998741149902344	-2.9612992875627242e-05	-4.998744964599609
111	0.0007158737094261625	0.033754211348620444	0.001995390048250556	-4.998729705810547	-2.971937647089362e-05	-4.998732089996338
