epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.0	0.11941575290188311	0.002025190507993102	-4.999969959259033	-3.1689076422480866e-05	-4.999969959259033
2	0.0	0.12448174686623914	0.002040574327111244	-4.999939918518066	-3.1702900741947815e-05	-4.999939441680908
3	0.0	0.10923068249898815	0.0020473459735512733	-4.9999098777771	-3.1626834243070334e-05	-4.999908924102783
4	0.0	0.12772546665897777	0.002045676577836275	-4.999879837036133	-3.119414031971246e-05	-4.999878406524658
5	0.0	0.15754743654688408	0.002048168098554015	-4.999849796295166	-3.0576975404983386e-05	-4.999848365783691
6	0.0	0.12817955490925903	0.0020463410764932632	-4.999819755554199	-3.021567863470409e-05	-4.999817848205566
7	0.0	0.1888018142665535	0.0020443801768124104	-4.999789714813232	-3.0078317649895325e-05	-4.999787330627441
8	0.0	0.20134485290679915	0.002043157583102584	-4.999759674072266	-2.998207855853252e-05	-4.999756813049316
9	0.0	0.1966692013299962	0.002038544975221157	-4.999729633331299	-3.004132304340601e-05	-4.999728202819824
10	0.0	0.18579999493925925	0.002028095768764615	-4.999699592590332	-2.9994920623721555e-05	-4.999697685241699
11	0.0	0.24744875302729596	0.0020174793899059296	-4.999669551849365	-2.999479511345271e-05	-4.999667167663574
12	0.0	0.23133958028667134	0.002009523566812277	-4.999639511108398	-2.9957896913401783e-05	-4.999637126922607
13	0.0	0.15758237515307538	0.0020066946744918823	-4.999609470367432	-2.9793684007017873e-05	-4.999606609344482
14	0.0	0.21398291932541724	0.002008202252909541	-4.999579429626465	-2.98760332952952e-05	-4.999576091766357
15	0.0	0.20287689594407254	0.0020117168314754963	-4.999549388885498	-3.004722202604171e-05	-4.999545574188232
16	0.0	0.18259636674133617	0.0020105589646846056	-4.999519348144531	-3.0421449991990812e-05	-4.999515533447266
17	0.0	0.22915465563138948	0.0020071202889084816	-4.9994893074035645	-3.0904200684744865e-05	-4.999492645263672
18	0.0	0.2111059770185051	0.002013089135289192	-4.999459266662598	-3.126801675534807e-05	-4.999462127685547
19	0.0	0.24526983565044347	0.002016519196331501	-4.999429225921631	-3.1856925488682464e-05	-4.999431610107422
20	0.0	0.24999740258430947	0.0020163853187114	-4.999399185180664	-3.2667194318491966e-05	-4.999401092529297
21	0.0	0.23396349749276624	0.0020163075532764196	-4.999369144439697	-3.325096258777194e-05	-4.99937105178833
22	0.0	0.22286828414631543	0.00201904377900064	-4.9993391036987305	-3.358510002726689e-05	-4.999340534210205
23	0.0	0.14347733122480122	0.002022344619035721	-4.999309062957764	-3.381404167157598e-05	-4.99931001663208
24	0.0	0.21445075354720355	0.002029869705438614	-4.999279022216797	-3.3858341339509934e-05	-4.999281406402588
25	0.0	0.1958133423003936	0.0020338341128081083	-4.99924898147583	-3.386518801562488e-05	-4.999250888824463
26	0.0	0.11802404838179825	0.002034468110650778	-4.999218940734863	-3.3702090149745345e-05	-4.999220371246338
27	0.0	0.09853669710807011	0.0020307800732553005	-4.9991888999938965	-3.375038431840949e-05	-4.999189853668213
28	0.0	0.23813308818262158	0.00202685478143394	-4.99915885925293	-3.366158125572838e-05	-4.999159812927246
29	0.0	0.24934825204294864	0.0020258354488760233	-4.999128818511963	-3.3438638638472185e-05	-4.999129295349121
30	0.0	0.15771100028359797	0.002022385597229004	-4.999098777770996	-3.31978480971884e-05	-4.999098777770996
31	0.0	0.19930332211486856	0.0020175480749458075	-4.999068737030029	-3.286918581579812e-05	-4.999068260192871
32	0.0	0.20944943861164145	0.0020060990937054157	-4.9990386962890625	-3.252864189562388e-05	-4.999038219451904
33	0.0	0.23672250863753774	0.0019944217056035995	-4.999008655548096	-3.221732549718581e-05	-4.999009132385254
34	0.0	0.11183411120913433	0.0019852379336953163	-4.998978614807129	-3.207248664693907e-05	-4.998978614807129
35	0.0	0.19967473711993478	0.00197782670147717	-4.998948574066162	-3.185836976626888e-05	-4.998948097229004
36	0.0	0.24999003360349192	0.001972432481124997	-4.998918533325195	-3.1605119147570804e-05	-4.998917579650879
37	0.0	0.013090967872525283	0.001969515113160014	-4.9988884925842285	-3.140729677397758e-05	-4.99888801574707
38	0.0	0.008801808453423376	0.001964842202141881	-4.998858451843262	-3.127390664303675e-05	-4.998857498168945
39	0.0	0.17218767573475802	0.001955014653503895	-4.998828411102295	-3.1244220735970885e-05	-4.99882698059082
40	0.0	0.025864056031448257	0.0019446820951998234	-4.998798370361328	-3.109332101303153e-05	-4.998796463012695
41	0.0	0.21986032267068367	0.0019345495384186506	-4.998768329620361	-3.0615541618317366e-05	-4.998767375946045
42	0.0	0.17271205785874244	0.00192961934953928	-4.9987382888793945	-3.010502041433938e-05	-4.99873685836792
43	0.0	0.0376248584696981	0.0019279675325378776	-4.998708248138428	-2.9685299523407593e-05	-4.998706340789795
44	0.0	0.10704459842003189	0.001923348056152463	-4.998678207397461	-2.9507938961614855e-05	-4.998676300048828
45	0.0	0.21754819937427783	0.0019233395578339696	-4.998648166656494	-2.941690217994619e-05	-4.998645782470703
46	0.0	0.04610162237655402	0.0019216740038245916	-4.998618125915527	-2.9566584998974577e-05	-4.998615264892578
47	0.0	0.0025336000732600894	0.0019189635058864951	-4.9985880851745605	-2.94997025775956e-05	-4.998584747314453
48	0.0	0.0017200821661731425	0.001916568842716515	-4.998558044433594	-2.9427168556139804e-05	-4.998561859130859
