epoch	batch	iter	loss	acc	lr
1	1	1	2.2532498836517334	6.0	1e-06
1	2	2	2.4567437171936035	2.0	1e-06
1	3	3	2.3529627323150635	12.0	1e-06
1	4	4	2.2991673946380615	8.0	1e-06
1	5	5	2.3848459720611572	6.0	1e-06
1	6	6	2.2596161365509033	10.0	1e-06
1	7	7	2.2662715911865234	6.0	1e-06
1	8	8	2.3469583988189697	10.0	1e-06
1	9	9	2.3000283241271973	10.0	1e-06
1	10	10	2.321807861328125	12.0	1e-06
1	11	11	2.3167755603790283	12.0	1e-06
1	12	12	2.2773969173431396	15.555555555555555	1e-06
2	1	13	2.2413394451141357	14.0	1e-06
2	2	14	2.26987886428833	6.0	1e-06
2	3	15	2.263115406036377	12.0	1e-06
2	4	16	2.3596293926239014	14.0	1e-06
2	5	17	2.275451421737671	10.0	1e-06
2	6	18	2.2564218044281006	16.0	1e-06
2	7	19	2.2815451622009277	12.0	1e-06
2	8	20	2.223414421081543	26.0	1e-06
2	9	21	2.193452835083008	32.0	1e-06
2	10	22	2.1555335521698	20.0	1e-06
2	11	23	2.3326761722564697	22.0	1e-06
2	12	24	2.1330950260162354	28.88888888888889	1e-06
3	1	25	2.163102149963379	38.0	1e-06
3	2	26	2.1900475025177	28.0	1e-06
3	3	27	2.202131986618042	26.0	1e-06
3	4	28	2.166741371154785	30.0	1e-06
3	5	29	2.156362533569336	24.0	1e-06
3	6	30	2.1898019313812256	32.0	1e-06
3	7	31	2.169844388961792	32.0	1e-06
3	8	32	2.1824584007263184	34.0	1e-06
3	9	33	2.224829912185669	30.0	1e-06
3	10	34	2.301466941833496	28.0	1e-06
3	11	35	2.1477785110473633	40.0	1e-06
3	12	36	2.180607318878174	53.333333333333336	1e-06
4	1	37	2.1257290840148926	36.0	1e-06
4	2	38	2.1556971073150635	34.0	1e-06
4	3	39	2.197146415710449	40.0	1e-06
4	4	40	2.0094923973083496	46.0	1e-06
4	5	41	2.144439458847046	42.0	1e-06
4	6	42	2.188145160675049	40.0	1e-06
4	7	43	2.1523406505584717	40.0	1e-06
4	8	44	2.1903183460235596	42.0	1e-06
4	9	45	2.1155028343200684	44.0	1e-06
4	10	46	2.149376392364502	48.0	1e-06
4	11	47	2.1131186485290527	48.0	1e-06
4	12	48	2.0684216022491455	37.77777777777778	1e-06
5	1	49	2.130774736404419	42.0	1e-06
5	2	50	2.076233386993408	48.0	1e-06
5	3	51	2.1018590927124023	42.0	1e-06
5	4	52	2.052846908569336	46.0	1e-06
5	5	53	2.1012210845947266	38.0	1e-06
5	6	54	2.039030075073242	52.0	1e-06
5	7	55	2.0897459983825684	48.0	1e-06
5	8	56	1.9875705242156982	58.0	1e-06
5	9	57	2.1062369346618652	46.0	1e-06
5	10	58	2.0604686737060547	56.0	1e-06
5	11	59	2.1502444744110107	50.0	1e-06
