epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	5.524586598065068e-06	0.109732530627405	0	0	0	0
2	2.478120854713939e-05	0.11369089260194704	0	0	0	0
3	1.26736587929277e-05	0.11241650556769545	0	0	0	0
4	3.53189206281912e-05	0.11879419136003067	0	0	0	0
5	0.0002782159125967465	0.12427003561613026	0	0	0	0
6	0.0008609618373535133	0.13114062313806618	0	0	0	0
7	0.0012527242597660908	0.13874706149271132	0	0	0	0
8	0.001919061571478864	0.14496014607200858	0	0	0	0
9	0.003103440959779616	0.1509620983509607	0	0	0	0
10	0.004361861139595358	0.15669633501444935	0	0	0	0
11	0.005532071803068195	0.16188104780124646	0	0	0	0
12	0.0067751635268965965	0.16718663835976538	0	0	0	0
13	0.008456549053650897	0.17145800317460969	0	0	0	0
14	0.010258497637236352	0.17797892224301148	0	0	0	0
15	0.012884156531059718	0.18308587995087938	0	0	0	0
16	0.015167839234038916	0.18803794704786114	0	0	0	0
17	0.01752492429934531	0.19082515336708478	0	0	0	0
18	0.01856761642039567	0.19625180229422978	0	0	0	0
19	0.020048084497276075	0.20188352002084975	0	0	0	0
20	0.02131493590620452	0.206184627562161	0	0	0	0
21	0.022618956586607453	0.20851145233820634	0	0	0	0
22	0.021971719537799306	0.21579715436760205	0	0	0	0
23	0.02360041257703044	0.21763163951188086	0	0	0	0
24	0.027130322669177087	0.21573407222231417	0	0	0	0
25	0.029413731530621046	0.2174443257410148	0	0	0	0
26	0.031192408552231543	0.21583958706538747	0	0	0	0
27	0.034179531451557166	0.21443203132732602	0	0	0	0
28	0.03738772490085668	0.21218204627037046	0	0	0	0
29	0.03968668982627793	0.21030482680712675	0	0	0	0
30	0.04325443049654393	0.20616294660823992	0	0	0	0
31	0.04266665246915474	0.20640175140561418	0	0	0	0
32	0.04406738806828686	0.2037253671729235	0	0	0	0
33	0.04327360890837434	0.20257417889523838	0	0	0	0
34	0.040706213069985564	0.20269540145953702	0	0	0	0
35	0.038243485115068365	0.2024885197494113	0	0	0	0
36	0.0369417260253051	0.2024724983947097	0	0	0	0
37	0.0391307781013317	0.1935724828412928	0	0	0	0
38	0.031060572177459278	0.2010418921867725	0	0	0	0
39	0.03267859346518076	0.19500160879593054	0	0	0	0
40	0.0307411056648636	0.18977175837214388	0	0	0	0
41	0.02846231435903296	0.18508962219979685	0	0	0	0
42	0.023961996981848976	0.18526063463569997	0	0	0	0
43	0.021567461944344446	0.183393050509008	0	0	0	0
44	0.022047650390531137	0.1779848958260002	0	0	0	0
45	0.017429384423341077	0.1801006600856212	0	0	0	0
46	0.017429969994938288	0.17581853949335358	0	0	0	0
47	0.019086502624902302	0.17307602682478596	0	0	0	0
48	0.018210603307265316	0.16329890111242484	0	0	0	0
49	0.015162163842678211	0.1642892382048693	0	0	0	0
50	0.011848949252389884	0.16656035799685842	0	0	0	0
51	0.010496030344496532	0.16444620070534022	0	0	0	0
52	0.011089281762449943	0.15896867756383593	0	0	0	0
53	0.010462434087762373	0.1569090007707219	0	0	0	0
54	0.009731287921938003	0.15232282028406186	0	0	0	0
55	0.010375118874326184	0.1495742446279369	0	0	0	0
56	0.01117652456977214	0.1518877574013926	0	0	0	0
57	0.01053818463443612	0.14794510166179542	0	0	0	0
58	0.00833345213367398	0.14126818300026578	0	0	0	0
59	0.008776554113796742	0.14143685069028678	0	0	0	0
60	0.011098710108134568	0.14120316314049752	0	0	0	0
61	0.010446483215996949	0.13751102737377607	0	0	0	0
62	0.00924147801506936	0.13372157004247232	0	0	0	0
63	0.008151988018940015	0.13328194213961186	0	0	0	0
64	0.008975939824201973	0.13193205132854224	0	0	0	0
65	0.012775450859106696	0.13087517104323876	0	0	0	0
66	0.01176501776396055	0.1295457289131381	0	0	0	0
67	0.012530749108109474	0.13068464323116924	0	0	0	0
68	0.014800192731145856	0.12870783414350662	0	0	0	0
69	0.013376197913903098	0.12523023734548389	0	0	0	0
70	0.012664274830203937	0.1201259134661079	0	0	0	0
71	0.01309459338235719	0.1209313033987538	0	0	0	0
72	0.013342681590579941	0.11879708780984988	0	0	0	0
73	0.013219471692542895	0.11792336145646498	0	0	0	0
74	0.012352530458783262	0.11837042265969355	0	0	0	0
75	0.011376137861462965	0.12044504702852343	0	0	0	0
76	0.011362891927833907	0.11121736958887496	0	0	0	0
77	0.010738971896683047	0.11201220953718583	0	0	0	0
78	0.012258688553761443	0.11553371479001573	0	0	0	0
79	0.008110276071104927	0.11182738271085135	0	0	0	0
80	0.016953329858785393	0.11896604943603517	0	0	0	0
81	0.014421406356897037	0.11913105681794	0	0	0	0
82	0.014252440371188335	0.11826518732342173	0	0	0	0
83	0.01542012387784819	0.10978349313219482	0	0	0	0
84	0.012833611437370607	0.1063044424533377	0	0	0	0
85	0.012830438591123539	0.10676432814810255	0	0	0	0
86	0.016344444507842892	0.10864817342653676	0	0	0	0
87	0.018207825910833364	0.11024517499386555	0	0	0	0
88	0.01942487170494278	0.11022107427051786	0	0	0	0
89	0.012408141994444177	0.10526546165665973	0	0	0	0
90	0.009555352016818786	0.10280132103257156	0	0	0	0
91	0.012831400070497878	0.10495582643087964	0	0	0	0
92	0.01459250450710936	0.10729721277206394	0	0	0	0
93	0.013125948068792637	0.10733635794989116	0	0	0	0
94	0.01171330391752523	0.10542248029527279	0	0	0	0
95	0.012864169702448969	0.10213365234864469	0	0	0	0
96	0.011150455599765463	0.09849025920364074	0	0	0	0
97	0.011671595680658342	0.1005771312267516	0	0	0	0
98	0.016734493591757937	0.10333347300148521	0	0	0	0
99	0.015254644976016918	0.10168965145475628	0	0	0	0
100	0.015850590091741834	0.10172861411286238	0	0	0	0
101	0.01731648454726087	0.10222947143493233	0	0	0	0
102	0.017811733635044957	0.10173443762963341	0	0	0	0
103	0.023776584608996343	0.1052128385507567	0	0	0	0
104	0.01465252165072961	0.10176665903762405	0	0	0	0
105	0.019635017088224016	0.09800152908893356	0	0	0	0
106	0.023138073693769634	0.09860994672856016	0	0	0	0
107	0.019094436810402682	0.10308330860602322	0	0	0	0
108	0.01452907230158118	0.09380438202912345	0	0	0	0
109	0.02088543414516497	0.09637954618535183	0	0	0	0
110	0.0202052172894287	0.09644938517525947	0	0	0	0
111	0.019717456480290885	0.0945001595335544	0	0	0	0
112	0.016302777135720703	0.09166777115525448	0	0	0	0
113	0.01474614324121748	0.09435503769380649	0	0	0	0
114	0.013226211173143154	0.09034081266772365	0	0	0	0
115	0.01581790198471178	0.08998016249392204	0	0	0	0
116	0.016222133924945537	0.08881754958342558	0	0	0	0
117	0.02290698798238533	0.09484784640221822	0	0	0	0
118	0.02049880371213142	0.09111654670901181	0	0	0	0
119	0.018509274101903728	0.08858751335730908	0	0	0	0
120	0.01803117408524546	0.08967596242212572	0	0	0	0
121	0.021625036752804583	0.09063671981028776	0	0	0	0
122	0.02423035740751689	0.09214711316231483	0	0	0	0
123	0.015046945345798868	0.08505033274562557	0	0	0	0
124	0.01023631151344584	0.07928874768649496	0	0	0	0
125	0.012479814901594777	0.08267665664182022	0	0	0	0
126	0.01337155120773037	0.08609389854364657	0	0	0	0
127	0.010623768629316244	0.08299561453586701	0	0	0	0
128	0.009076528859014443	0.0807489560165271	0	0	0	0
129	0.009095610952846611	0.07752378363112289	0	0	0	0
130	0.007878873507911832	0.07859959825202001	0	0	0	0
131	0.00471764141154285	0.07246304300233142	0	0	0	0
132	0.005552255080527813	0.07146989686837113	0	0	0	0
133	0.0076250875746566305	0.07631631951048501	0	0	0	0
134	0.0056798503536228395	0.07110476973591418	0	0	0	0
135	0.006425304441060931	0.07230498663266438	0	0	0	0
136	0.012098752871760432	0.0801610438445799	0	0	0	0
137	0.014934844188556395	0.08028923936685839	0	0	0	0
138	0.009643542320079801	0.07286423079357451	0	0	0	0
139	0.005411176086731473	0.06369037836766012	0	0	0	0
140	0.0037729750532065065	0.059504344138855636	0	0	0	0
141	0.005178120108347173	0.06907604628080222	0	0	0	0
142	0.006756543371912782	0.06914159785225227	0	0	0	0
143	0.009050534500397944	0.07194672094758481	0	0	0	0
