epoch	epistemic	aleatoric	random_param_mean	random_param_log_alpha	total_param_mean	total_param_log_alpha
1	0.0	0.09605282215101929	0	0	0	0
2	0.0	0.1007418881849213	0	0	0	0
3	0.0	0.1074773707809662	0	0	0	0
4	0.0	0.1167929517599029	0	0	0	0
5	0.0	0.12628235642724817	0	0	0	0
6	0.0	0.14032830129786844	0	0	0	0
7	0.0	0.1473771910189059	0	0	0	0
8	0.0	0.15293422592546957	0	0	0	0
9	0.0	0.15511489706851633	0	0	0	0
10	0.0	0.15872358655996854	0	0	0	0
11	0.0	0.157851278957164	0	0	0	0
12	0.0	0.15484328306150075	0	0	0	0
13	0.0	0.1423361943921284	0	0	0	0
14	0.0	0.1400799515238793	0	0	0	0
15	0.0	0.13262781099867538	0	0	0	0
16	0.0	0.14107721283453056	0	0	0	0
17	0.0	0.1851938078994948	0	0	0	0
18	0.0	0.21529458281795755	0	0	0	0
19	0.0	0.23181325224025784	0	0	0	0
20	0.0	0.24943126307989072	0	0	0	0
21	0.0	0.2444978969195466	0	0	0	0
22	0.0	0.24284681775519346	0	0	0	0
23	0.0	0.21156229868244836	0	0	0	0
24	0.0	0.22716904825562878	0	0	0	0
25	0.0	0.22841944488240173	0	0	0	0
26	0.0	0.2346633507178204	0	0	0	0
27	0.0	0.23753441281154153	0	0	0	0
28	0.0	0.2277773103464682	0	0	0	0
29	0.0	0.21601025947100183	0	0	0	0
30	0.0	0.19696962000466556	0	0	0	0
31	0.0	0.181471250463769	0	0	0	0
32	0.0	0.1940174024470842	0	0	0	0
33	0.0	0.1713362036794841	0	0	0	0
34	0.0	0.1539950599080271	0	0	0	0
35	0.0	0.12886787862052174	0	0	0	0
36	0.0	0.1592701743280962	0	0	0	0
37	0.0	0.21354129324785376	0	0	0	0
38	0.0	0.2218172666507563	0	0	0	0
39	0.0	0.2423416157069731	0	0	0	0
40	0.0	0.19763250290389678	0	0	0	0
41	0.0	0.16376493339165776	0	0	0	0
42	0.0	0.19041764667416317	0	0	0	0
43	0.0	0.23843354342025336	0	0	0	0
44	0.0	0.15391995312105777	0	0	0	0
45	0.0	0.13593068310989054	0	0	0	0
46	0.0	0.04971041580014557	0	0	0	0
47	0.0	0.043577564694203375	0	0	0	0
48	0.0	0.1186384201823465	0	0	0	0
49	0.0	0.2267978829435009	0	0	0	0
50	0.0	0.033413953966771714	0	0	0	0
51	0.0	0.04099983320394074	0	0	0	0
52	0.0	0.20668832807677617	0	0	0	0
53	0.0	0.07319966650094045	0	0	0	0
54	0.0	0.039520209176544085	0	0	0	0
55	0.0	0.05618100519009417	0	0	0	0
56	0.0	0.24418732559739453	0	0	0	0
57	0.0	0.13745374643586672	0	0	0	0
58	0.0	0.07375035790365914	0	0	0	0
59	0.0	0.10834642109619708	0	0	0	0
60	0.0	0.21930563341061315	0	0	0	0
61	0.0	0.21897614556381484	0	0	0	0
62	0.0	0.035888843960592	0	0	0	0
63	0.0	0.2192574322571339	0	0	0	0
64	0.0	0.10268550399950627	0	0	0	0
65	0.0	0.20855978561161237	0	0	0	0
66	0.0	0.05038915295062907	0	0	0	0
67	0.0	0.035234801305918495	0	0	0	0
68	0.0	0.01892474400096944	0	0	0	0
69	0.0	0.01747301736246243	0	0	0	0
70	0.0	0.009977556258888853	0	0	0	0
71	0.0	0.013185768128149533	0	0	0	0
