epoch	loss	acc	lr
1	2472403.148618164	0.13	0.001
2	2457099.6615405274	0.09	0.001
3	2444056.645695801	0.12	0.001
4	2430690.0264746095	0.1	0.001
5	2416741.3089160156	0.15	0.001
6	2402951.216846924	0.13	0.001
7	2388805.12387207	0.12	0.001
8	2374736.9078393555	0.12	0.001
9	2360758.787624512	0.18	0.001
10	2346600.98850708	0.17	0.001
11	2332490.4001977537	0.23	0.001
12	2317998.1365673826	0.11	0.001
13	2304318.97164917	0.15	0.001
14	2289892.4712768556	0.25	0.001
15	2275737.7752575683	0.14	0.001
16	2261394.309554443	0.14	0.001
17	2247391.4014086914	0.13	0.001
18	2233342.6008447264	0.13	0.001
19	2219221.606689453	0.18	0.001
20	2205156.0750720217	0.17	0.001
21	2190954.358165283	0.12	0.001
22	2177013.4408117677	0.24	0.001
23	2162962.9873950197	0.29	0.001
24	2148997.1934863282	0.15	0.001
25	2135155.905991211	0.21	0.001
26	2121354.650505371	0.18	0.001
27	2107147.575968018	0.21	0.001
28	2093563.8492028809	0.27	0.001
29	2079485.0384606933	0.22	0.001
30	2065509.4650378418	0.19	0.001
31	2051937.469366455	0.24	0.001
32	2037906.6799230957	0.33	0.001
33	2024500.2534375	0.3	0.001
34	2010592.029918213	0.22	0.001
35	1997091.9887823486	0.21	0.001
36	1983661.6550134278	0.28	0.001
37	1969975.9937634277	0.28	0.001
38	1956424.3804138184	0.15	0.001
39	1943054.9115924072	0.2	0.001
40	1929172.5960845947	0.26	0.001
41	1915731.503684082	0.28	0.001
42	1902724.3926397704	0.27	0.001
43	1889106.426669922	0.22	0.001
44	1875822.6167083741	0.26	0.001
45	1862322.4054473876	0.32	0.001
46	1849311.71727417	0.24	0.001
47	1835904.9575036622	0.32	0.001
48	1822963.9369305419	0.33	0.001
49	1809633.4530316163	0.34	0.001
50	1796727.959480591	0.26	0.001
51	1783434.781665039	0.28	0.001
52	1770472.1514147948	0.28	0.001
53	1757615.9791943359	0.24	0.001
54	1744600.3119799804	0.35	0.001
55	1731548.0744219972	0.27	0.001
56	1718877.7331341552	0.29	0.001
57	1706150.0571081543	0.34	0.001
58	1693363.2550445558	0.33	0.001
59	1680468.6023138429	0.44	0.001
60	1668001.8107720946	0.29	0.001
61	1655121.5494750976	0.29	0.001
62	1642632.9501556396	0.27	0.001
63	1630065.9146044923	0.28	0.001
64	1617449.470308838	0.28	0.001
65	1605103.4422540283	0.29	0.001
66	1592520.9420837401	0.29	0.001
67	1580089.1464019776	0.32	0.001
68	1567794.4179437256	0.43	0.001
69	1555814.7166125488	0.3	0.001
70	1543391.7673937988	0.29	0.001
71	1530903.2888165284	0.26	0.001
72	1518866.2256445312	0.35	0.001
73	1507068.2103375243	0.33	0.001
74	1494485.0662042235	0.28	0.001
75	1482658.3537890625	0.37	0.001
76	1470659.9071972657	0.3	0.001
77	1458679.928956909	0.38	0.001
78	1447128.8352722167	0.4	0.001
79	1434719.6107714844	0.28	0.001
80	1422771.4315588379	0.29	0.001
81	1411494.0227416991	0.34	0.001
82	1399653.477310791	0.42	0.001
83	1388131.6497589112	0.36	0.001
84	1376445.7486627197	0.38	0.001
85	1364727.573560791	0.4	0.001
86	1353452.4022851563	0.42	0.001
87	1341952.8220050049	0.42	0.001
88	1330202.5553265382	0.31	0.001
89	1319106.2939282227	0.34	0.001
90	1307612.3242608642	0.44	0.001
91	1296562.0697473146	0.45	0.001
92	1285021.4410028076	0.39	0.001
93	1273945.4958599852	0.37	0.001
94	1262831.8085858154	0.4	0.001
95	1251738.540357666	0.39	0.001
96	1240885.5663739014	0.46	0.001
97	1229815.3624902344	0.41	0.001
98	1218853.1130999755	0.44	0.001
99	1208251.5428240967	0.44	0.001
100	1197166.3285479737	0.38	0.001
101	1186552.1947937012	0.47	0.001
102	1175667.345466919	0.47	0.001
103	1165125.6713415526	0.45	0.001
104	1154243.6582147216	0.51	0.001
105	1143939.7966851806	0.41	0.001
106	1133000.8752093506	0.52	0.001
107	1122846.0457800294	0.35	0.001
108	1112204.2765545654	0.44	0.001
109	1102295.835684204	0.49	0.001
110	1091951.4083154297	0.45	0.001
111	1081699.0683953858	0.44	0.001
112	1071656.1507513428	0.43	0.001
113	1061511.4400042724	0.48	0.001
114	1051242.1946289062	0.42	0.001
115	1041073.590123291	0.46	0.001
116	1031244.2724957275	0.44	0.001
117	1021481.8458050537	0.39	0.001
118	1011341.1330944825	0.39	0.001
119	1001726.7183575439	0.58	0.001
120	991734.6637097168	0.58	0.001
121	982252.8018972778	0.52	0.001
122	972585.8030050659	0.57	0.001
123	962908.443949585	0.57	0.001
124	953462.0970993042	0.54	0.001
125	943976.91336792	0.44	0.001
126	934459.0170181275	0.48	0.001
127	924948.48506073	0.5	0.001
128	915998.7586608886	0.66	0.001
129	906805.3373275757	0.45	0.001
130	897447.5696069336	0.49	0.001
131	888440.8106506348	0.59	0.001
132	879335.6274716187	0.46	0.001
133	870515.350272522	0.54	0.001
134	861267.9349377442	0.54	0.001
135	852268.4600952149	0.46	0.001
136	843812.3068051147	0.51	0.001
137	835011.4511203003	0.48	0.001
138	826204.5550256348	0.64	0.001
139	817599.8456454468	0.63	0.001
140	809030.739447937	0.48	0.001
141	800209.5809112549	0.47	0.001
142	791607.9058383178	0.53	0.001
143	783550.9872677613	0.56	0.001
144	775228.9507098389	0.55	0.001
145	766675.2613381958	0.52	0.001
146	758460.0667752075	0.56	0.001
147	749992.6299093628	0.56	0.001
148	742046.6101013183	0.56	0.001
149	733950.705501709	0.66	0.001
150	726199.3431484986	0.6	0.001
151	717957.1216452026	0.51	0.001
152	710092.6397628784	0.56	0.001
153	702089.4899349975	0.56	0.001
154	694668.5898031616	0.6	0.001
155	686764.1747854614	0.55	0.001
156	679337.6132629395	0.57	0.001
157	671643.8308862305	0.57	0.001
158	663964.4619058227	0.67	0.001
159	656483.057883606	0.59	0.001
160	648996.2564245606	0.5	0.001
161	641774.2301824951	0.59	0.001
162	634505.8610809327	0.59	0.001
163	627134.5790774536	0.62	0.001
164	620078.331605835	0.58	0.001
165	612770.983128357	0.6	0.001
166	605923.9242874145	0.6	0.001
167	598685.5569100953	0.53	0.001
168	591666.9549081421	0.58	0.001
169	584875.1871435547	0.54	0.001
170	578300.6100289917	0.6	0.001
171	571220.8016845703	0.61	0.001
172	564568.7269662475	0.53	0.001
173	558050.8069430542	0.63	0.001
174	551346.6933636474	0.68	0.001
175	544792.8870388794	0.59	0.001
176	538397.8255871582	0.6	0.001
177	531723.5699349976	0.47	0.001
178	525519.3754272461	0.6	0.001
179	519384.2842279053	0.68	0.001
180	512942.202897644	0.6	0.001
181	506695.84602996823	0.62	0.001
182	500543.26026992797	0.65	0.001
183	494493.3039675903	0.57	0.001
184	488600.03790740966	0.65	0.001
185	482482.15769607545	0.64	0.001
186	476625.77044403076	0.56	0.001
187	470743.45046279905	0.63	0.001
188	464962.666204834	0.67	0.001
189	459107.9189279175	0.61	0.001
190	453304.9949609375	0.68	0.001
191	447925.5479924011	0.57	0.001
192	442239.63378723146	0.63	0.001
193	436546.70398727414	0.6	0.001
194	431333.3146723938	0.64	0.001
195	425969.9002383423	0.65	0.001
196	420676.38238296506	0.6	0.001
197	415071.14210098266	0.66	0.001
198	409935.1457394409	0.62	0.001
199	404386.46765197755	0.63	0.001
200	399419.3720706177	0.64	0.001
201	394572.02043045044	0.68	0.001
202	389533.82288497925	0.65	0.001
203	384276.99232360837	0.68	0.001
204	379569.24135223386	0.62	0.001
205	374557.7286279297	0.6	0.001
206	369689.9420591736	0.51	0.001
207	364837.99845962523	0.76	0.001
208	360356.9616421509	0.67	0.001
209	355475.1675088501	0.64	0.001
210	350785.548959198	0.68	0.001
211	346452.6772598267	0.74	0.001
212	341769.7261746216	0.7	0.001
213	337332.8185046387	0.76	0.001
214	332977.79023635865	0.62	0.001
215	328792.41809799196	0.66	0.001
216	324007.7422155762	0.65	0.001
217	320103.22015640256	0.69	0.001
218	315656.55526992795	0.71	0.001
219	311468.4291191101	0.69	0.001
220	307393.2899682617	0.6	0.001
221	303322.07620788575	0.63	0.001
222	299272.2240997314	0.59	0.001
223	295255.95275375363	0.67	0.001
224	291211.18195602414	0.73	0.001
225	287618.17729690555	0.75	0.001
226	283508.11017791746	0.65	0.001
227	279744.5815420532	0.74	0.001
228	275937.4684152222	0.67	0.001
229	272273.5512438965	0.66	0.001
230	268651.50393218995	0.67	0.001
231	264944.8590843201	0.77	0.001
232	261396.73874588014	0.66	0.001
233	258059.43319732667	0.73	0.001
234	254441.8665322876	0.65	0.001
235	250920.44231460572	0.69	0.001
236	247647.62995056153	0.71	0.001
237	244110.67793693542	0.7	0.001
238	240767.36942390443	0.73	0.001
239	237442.83846359252	0.74	0.001
240	234268.78576904297	0.77	0.001
241	231192.91336738586	0.71	0.001
242	227930.47712471007	0.67	0.001
243	224743.3075832367	0.66	0.001
244	221761.9651045227	0.71	0.001
245	218820.72364891053	0.73	0.001
246	215595.57156921388	0.73	0.001
247	212610.38997512817	0.69	0.001
248	209699.23965805053	0.76	0.001
249	206723.18036758422	0.8	0.001
250	204059.72213973998	0.71	0.001
251	201309.4214038086	0.73	0.001
252	198391.4860722351	0.7	0.001
253	195819.49461425783	0.69	0.001
254	192929.60924812316	0.73	0.001
255	190377.67591361998	0.67	0.001
256	187689.29760246276	0.73	0.001
257	185036.3559641266	0.71	0.001
258	182388.35124946595	0.7	0.001
259	179907.2657813263	0.63	0.001
260	177492.48382255554	0.75	0.001
261	174861.72504623412	0.77	0.001
262	172523.58363449096	0.73	0.001
263	170077.57798225404	0.72	0.001
264	167753.47727684022	0.69	0.001
265	165355.21229278564	0.7	0.001
266	163091.75242637633	0.7	0.001
267	160713.51588516234	0.69	0.001
268	158605.5670101166	0.7	0.001
269	156567.41053245545	0.73	0.001
270	154174.05126998902	0.72	0.001
271	151976.7534363556	0.72	0.001
272	149947.82598068236	0.78	0.001
273	147739.82672218324	0.64	0.001
274	145775.70479454042	0.73	0.001
275	143678.53573760987	0.77	0.001
276	141699.707191391	0.69	0.001
277	139940.09813560487	0.67	0.001
278	137768.57705307007	0.64	0.001
