epoch	batch	iter	loss	acc	lr
1	1	1	19241560.0	0.2	0.001
1	2	2	9616204.0	0.4	0.001
1	3	3	4804241.0	0.0	0.001
1	4	4	2399976.5	0.2	0.001
1	5	5	1199686.25	0.0	0.001
1	6	6	599408.375	0.0	0.001
1	7	7	299565.71875	0.4	0.001
1	8	8	149738.71875	0.2	0.001
1	9	9	74858.1640625	0.0	0.001
1	10	10	37425.86328125	0.0	0.001
1	11	11	18712.8984375	0.0	0.001
1	12	12	9358.013671875	0.2	0.001
1	13	13	4682.63232421875	0.2	0.001
1	14	14	2351.04150390625	0.4	0.001
1	15	15	1184.2208251953125	0.0	0.001
1	16	16	592.9205322265625	0.2	0.001
1	17	17	305.3294372558594	0.2	0.001
1	18	18	158.28379821777344	0.0	0.001
1	19	19	85.76985931396484	0.0	0.001
1	20	20	56.52621078491211	0.4	0.001
